QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does the '==' operator do in Python?,Assigns a value,Compares values for equality,Checks type,Checks identity,B,`==` checks whether the values of two operands are equal.
Which operator is used to raise a number to a power in Python?,^,**,pow(),//,B,`**` is the exponentiation operator in Python.
What is the output of 9 % 4 in Python?,2,1,0,5,A,"`%` returns the remainder after division, so 9 % 4 is 1."
Which operator performs integer (floor) division?,/,%,//,**,C,`//` performs integer division by discarding the fractional part.
What does the 'is' operator check in Python?,Value equality,Memory identity,String type,Boolean comparison,B,`is` checks whether two variables point to the same object in memory.
Which operator is used to combine two Boolean conditions that must both be True?,or,and,not,&,B,`and` returns True only if both operands are True.
What will the expression not False return?,TRUE,FALSE,0,None,A,`not False` evaluates to True.
Which operator will return True if either condition is True?,not,and,or,xor,C,`or` returns True if at least one operand is True.
Which operator would you use to check if x is not equal to y?,!=,!==,<>,==!,A,`!=` checks for inequality in Python.
Which of the following is a bitwise operator?,and,or,&,not,C,`&` is a bitwise AND operator.
What does 'x += 1' do in Python?,Assigns 1 to x,Increments x by 1,Multiplies x by 1,None of the above,B,`+=` adds the right value to the variable and stores the result in the variable.
Which of these is a compound assignment operator?,===,+=,==,!=,B,`+=` is a compound operator that adds and assigns.
What does the '^' operator do in Python?,Exponentiation,Bitwise XOR,Logical AND,Modulo,B,`^` is the bitwise XOR operator in Python.
Which of these returns the quotient without remainder?,%,/,//,**,C,`//` performs integer (floor) division.
Which is not a valid Python operator?,!==,==,>=,<=,A,`!==` is not used in Python; use `!=` instead.
What does 'x += 1' do in Python?,Assigns 1 to x,Increments x by 1,Multiplies x by 1,None of the above,B,`+=` adds the right value to the variable and stores the result in the variable.
Which of these is a compound assignment operator?,===,+=,==,!=,B,`+=` is a compound operator that adds and assigns.
What does the '^' operator do in Python?,Exponentiation,Bitwise XOR,Logical AND,Modulo,B,`^` is the bitwise XOR operator in Python.
Which of these returns the quotient without remainder?,%,/,//,**,C,`//` performs integer (floor) division.
Which is not a valid Python operator?,!==,==,>=,<=,A,`!==` is not used in Python; use `!=` instead.
What does 'x += 1' do in Python?,Assigns 1 to x,Increments x by 1,Multiplies x by 1,None of the above,B,`+=` adds the right value to the variable and stores the result in the variable.
Which of these is a compound assignment operator?,===,+=,==,!=,B,`+=` is a compound operator that adds and assigns.
What does the '^' operator do in Python?,Exponentiation,Bitwise XOR,Logical AND,Modulo,B,`^` is the bitwise XOR operator in Python.
Which of these returns the quotient without remainder?,%,/,//,**,C,`//` performs integer (floor) division.
Which is not a valid Python operator?,!==,==,>=,<=,A,`!==` is not used in Python; use `!=` instead.
