"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is a delegate in C#?","A type-safe function pointer","A class used for threading","An event handler","A static method","A","Delegates are type-safe object-oriented function pointers in C#."
"Which keyword is used to declare a delegate?","event","function","delegate","handler","C","The 'delegate' keyword is used to define a delegate type."
"What is the purpose of delegates?","To encapsulate a reference to a method","To inherit methods","To define interfaces","To declare classes","A","Delegates are used to encapsulate method references with a specific signature."
"Which delegate can refer to multiple methods?","Action","Func","Multicast delegate","Predicate","C","Multicast delegates can hold references to more than one method."
"Which method is used to remove a method from a delegate?","-=","+=","delete","remove()","A","Use the -= operator to unsubscribe or remove a method from a delegate."
"Which delegate is used to return a value?","Action","VoidDelegate","Func","Predicate","C","Func delegate is used when a return value is expected."
"Which delegate returns a boolean?","Action","Func","Predicate","Compare","C","Predicate delegate returns a boolean and takes one input parameter."
"What is an event in C#?","A static method call","A user-defined data type","A way for a class to notify subscribers","A database trigger","C","Events allow a class to notify other classes or objects when something occurs."
"Which keyword is used to define an event?","delegate","signal","event","trigger","C","The 'event' keyword is used to declare an event in C#."
"Which keyword is used to raise an event?","raise","throw","event.raise()","None, just invoke the delegate","D","Events are raised by invoking the associated delegate."
"Can static methods be assigned to delegates?","No","Yes","Only with parameters","Only in sealed classes","B","Static and instance methods can be assigned to delegates."
"Which of these best represents a multicast delegate?","Action += Method1;","Func += Method2;","delegate.Add()","new Event()","A","Adding multiple methods using += forms a multicast delegate."
"How do you check if a delegate is null before invoking?","if (delegate)","if (delegate != null)","delegate.IsValid()","CheckValid(delegate)","B","Always check delegate != null before invoking to prevent exceptions."
"What is the typical use of events in .NET applications?","Database operations","Memory management","Event-driven programming like UI and controls","Thread creation","C","Events are commonly used in UI programming to respond to user actions."
"What is an anonymous method?","A method without parameters","A method without return type","A method declared inline without a name","A static constructor","C","Anonymous methods are declared inline using the delegate keyword without a name."
"Which C# feature simplifies the use of anonymous methods?","Events","Generics","Lambda expressions","Inheritance","C","Lambda expressions are shorthand syntax for anonymous methods."
"Which symbol is used in lambda expressions?","=>","->","::","**","A","Lambda expressions use the => syntax in C#."
"Which method is automatically created by compiler for events?","add_OnEvent","raiseEvent()","add and remove accessors","notify()","C","Compiler automatically adds add and remove methods for events."
"What will happen if you invoke a null event?","Nothing","Exception","It logs warning","It retries","B","Invoking a null event raises a NullReferenceException."
"Which delegate type takes no parameters and returns void?","Action","Func","Predicate","VoidDel","A","Action is used for delegates with no parameters and no return value."
