QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the main purpose of using constants in Python?,To store dynamic values,To improve performance,To store fixed values that don't change,To hold user input,C,Constants are used to store values that remain the same throughout the program.
Which of these is a commonly accepted constant name in Python?,userAge,User_Age,USER_AGE,user_age,C,"By convention, constant names are written in all uppercase with underscores."
How does Python enforce constants?,Using the const keyword,Through static type enforcement,Python does not enforce constants,Using a special variable type,C,Python uses naming conventions but does not enforce constants.
Which Python feature helps suggest a variable should not be reassigned?,@constant,Final from typing module,make_constant(),define(),B,Final from the typing module is a way to indicate variables should not be reassigned.
In which section of the code are constants generally declared?,Inside the loop,Inside methods,At the top of the file,Inside class definition,C,Constants are placed at the top of files for easy visibility and management.
Which one of these is NOT a good constant name?,PI_VALUE,MAX_LIMIT,final_value,DEFAULT_TIMEOUT,C,Constant names should use uppercase letters and underscores.
What happens when a constant variable is changed in Python?,Error is thrown,It resets automatically,The change is accepted,None of the above,C,Python does not prevent changes to constants; it relies on convention.
Which of the following would you most likely define as a constant?,Loop counter,Database host URL,Local variable in function,User input,B,Database host URLs do not change and should be defined as constants.
What is a recommended practice for constants in Python projects?,Use constants in function arguments,Define all constants in a separate config file,Avoid using constants,Store constants in user input,B,Defining constants in config files helps with maintainability and reuse.
Which value is most appropriate to define as a constant?,Employee salary,PI = 3.14159,Login attempts,Age input,B,Mathematical constants like PI are perfect examples for constant usage.
Which of these files is ideal to define constants?,models.py,constants.py,views.py,run.py,B,It's a common convention to place all constants in a file like constants.py.
What does 'Final' in the typing module help with?,Type checking,Restricting reassignment,Increasing memory usage,Reducing imports,B,'Final' tells type checkers that a variable should not be reassigned.
Which of the following is considered a constant in math and programming?,x,variable,e = 2.718,function,C,Mathematical constants like 'e' are often used as constants in programs.
What should be avoided when working with constants?,All caps,Reassigning them,Putting them in a separate file,Using underscore,B,Reassigning constants breaks the purpose of treating them as unchangeable values.
Constants are most helpful when...,Values need to change often,You want to prevent reuse,Values must be reused and unchanged,You're printing messages,C,"Constants are useful for repeated, unchanging values across a program."
Which of these files is ideal to define constants?,models.py,constants.py,views.py,run.py,B,It's a common convention to place all constants in a file like constants.py.
What does 'Final' in the typing module help with?,Type checking,Restricting reassignment,Increasing memory usage,Reducing imports,B,'Final' tells type checkers that a variable should not be reassigned.
Which of the following is considered a constant in math and programming?,x,variable,e = 2.718,function,C,Mathematical constants like 'e' are often used as constants in programs.
What should be avoided when working with constants?,All caps,Reassigning them,Putting them in a separate file,Using underscore,B,Reassigning constants breaks the purpose of treating them as unchangeable values.
Constants are most helpful when...,Values need to change often,You want to prevent reuse,Values must be reused and unchanged,You're printing messages,C,"Constants are useful for repeated, unchanging values across a program."
Which of these files is ideal to define constants?,models.py,constants.py,views.py,run.py,B,It's a common convention to place all constants in a file like constants.py.
What does 'Final' in the typing module help with?,Type checking,Restricting reassignment,Increasing memory usage,Reducing imports,B,'Final' tells type checkers that a variable should not be reassigned.
Which of the following is considered a constant in math and programming?,x,variable,e = 2.718,function,C,Mathematical constants like 'e' are often used as constants in programs.
What should be avoided when working with constants?,All caps,Reassigning them,Putting them in a separate file,Using underscore,B,Reassigning constants breaks the purpose of treating them as unchangeable values.
Constants are most helpful when...,Values need to change often,You want to prevent reuse,Values must be reused and unchanged,You're printing messages,C,"Constants are useful for repeated, unchanging values across a program."
