QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is Delta Lake?,A cloud region,A data format for building lakehouses with ACID transactions,A notebook environment,A cluster type,B,Delta Lake is a storage layer that brings ACID transactions to data lakes.
Which feature allows rollbacks in Delta Lake?,Undo mode,Delta Rewind,Time Travel,Checkpoint Reset,C,Time Travel lets users access previous versions of data.
Which file format does Delta Lake build on?,CSV,JSON,Parquet,ORC,C,Delta Lake is built on top of Parquet with added transaction logs.
What is the purpose of the _delta_log directory?,Stores job run logs,Holds Spark UI info,Maintains transaction logs for Delta Lake,Stores notebook metadata,C,_delta_log tracks all operations on a Delta table for consistency and recovery.
What ensures data consistency in Delta Lake?,Manual commits,Spark driver node,ACID transactions,DBFS locking,C,"Delta Lake uses ACID compliance to ensure consistency, isolation, and durability."
What command creates a Delta table in Databricks?,CREATE DELTA TABLE,SAVE AS PARQUET,CREATE TABLE USING DELTA,INIT TABLE,C,Delta tables are created using 'CREATE TABLE ... USING DELTA'.
What does the MERGE operation in Delta Lake do?,Splits records into new tables,Combines files into CSVs,Performs UPSERT (update or insert),Deletes all records,C,"MERGE allows updates, inserts, and deletes in a single operation."
How do you view historical data in Delta Lake?,Using %history,Query with VERSION AS OF,Use snapshot API,Run VACUUM,B,You can view historical snapshots using 'VERSION AS OF n' or 'TIMESTAMP AS OF'.
What does the VACUUM command do in Delta Lake?,Cleans unused clusters,Cleans up old versions of data files,Deletes unused notebooks,Optimizes runtime,B,VACUUM removes old files no longer referenced by Delta logs.
Which command converts Parquet to Delta?,CONVERT TO DELTA,DELTAIFY,CHANGE FORMAT,ALTER STORAGE,A,Use 'CONVERT TO DELTA' to upgrade existing Parquet tables.
What command allows schema evolution in Delta Lake?,ALTER TABLE SCHEMA,MERGE,UPDATE SCHEMA,SET SCHEMA,B,The MERGE command allows automatic schema evolution if enabled.
How do you enable schema enforcement in Delta Lake?,SET schema.strict=true,It's always enabled,SET spark.databricks.delta.schema.enforcement=true,ALTER SCHEMA ENFORCE,C,Schema enforcement can be enabled using Delta configuration parameters.
Which command optimizes Delta Lake table performance?,TUNE TABLE,SPEEDUP,OPTIMIZE,VACUUM,C,OPTIMIZE command compacts small files to improve performance.
What happens when you run OPTIMIZE on a Delta table?,It deletes old data,It compacts small files into larger ones,It upgrades table format,It removes history,B,OPTIMIZE compacts small files for better performance in Delta tables.
How can you read a Delta table as of a specific version?,LOAD TABLE VERSION x,SELECT * FROM table AT x,SELECT * FROM table VERSION AS OF x,LOAD SNAPSHOT x,C,Use VERSION AS OF to access a historical version of a Delta table.
How does Delta Lake handle concurrent writes?,Locks table,ACID transactions with optimistic concurrency,Overwrites older writes,Queues writes,B,Delta Lake uses optimistic concurrency with ACID for concurrent operations.
What is Z-Ordering in Delta Lake?,A type of encryption,A caching strategy,A clustering technique for faster reads,A versioning system,C,Z-Ordering clusters related data for faster query performance.
How do you overwrite a Delta table?,INSERT OVERWRITE,OVERWRITE TABLE,WRITE MODE = OVERWRITE,MERGE INTO TABLE,C,Overwrite is done using df.write.mode('overwrite') or similar SQL commands.
Where are Delta Lake transaction logs stored?,/mnt/delta_log,/delta/history,_delta_log,/tmp/deltalogs,C,Delta Lake transaction logs are stored in the _delta_log folder.
Which Delta Lake feature helps with GDPR compliance?,VACUUM,OPTIMIZE,Time Travel and Data Deletion,Caching,C,Time Travel along with data deletion features help comply with data retention policies.
