QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is Databricks primarily used for?,Web development,"Machine learning, big data processing, and analytics",Mobile app deployment,Game development,B,Databricks is a unified data analytics platform for big data and machine learning.
Databricks is built on top of which Apache project?,Apache Kafka,Apache Flink,Apache Hadoop,Apache Spark,D,Databricks is based on Apache Spark and enhances its performance and usability.
Which cloud platforms does Databricks support?,AWS only,Azure only,"AWS, Azure, and Google Cloud",On-prem only,C,"Databricks supports multi-cloud deployment: AWS, Azure, and GCP."
What is the Databricks Workspace?,A container for logs,"A centralized UI to manage notebooks, clusters, and jobs",A VM interface,An Azure feature,B,"Workspace is where users collaborate via notebooks, jobs, and other assets."
Which of the following is NOT a feature of Databricks?,Version control,Notebooks,Cluster management,Mobile App Builder,D,Databricks is not designed for mobile app development.
Which language is NOT natively supported in Databricks notebooks?,Python,Scala,R,JavaScript,D,"Databricks supports Python, Scala, SQL, and R, but not JavaScript."
What does the Databricks UI's left sidebar typically contain?,App icons,Workspace navigation options,Security policies,Database schemas,B,"The left sidebar helps navigate to workspace, repos, clusters, jobs, etc."
How do users collaborate on code in Databricks?,Via Azure Monitor,By creating apps,Using shared notebooks and comments,Through GitHub Issues,C,Databricks supports collaboration through shared notebooks with real-time comments.
Which of the following features helps in visualizing query results?,DBFS,Databricks SQL,Clusters,Jobs UI,B,Databricks SQL helps create dashboards and visualizations.
Which component handles computing in Databricks?,SQL Editor,Cluster,Workspace,Secrets,B,Clusters execute code and perform distributed computing in Databricks.
What is the default language used when creating a new notebook in Databricks?,Python,SQL,Scala,R,A,"Python is the default language, but notebooks support multiple languages."
How do you schedule a notebook job in Databricks?,Using dbutils.schedule(),Via Job Scheduler in UI,Using Python cron library,By mounting DBFS,B,Databricks provides a job scheduler in the UI to run notebooks or workflows.
Which feature allows integration with Git in Databricks?,Repos,VersionView,Snapshot Manager,Notebook Sync,A,Repos allows users to connect notebooks to Git for version control.
What is the function of a cluster init script?,Install packages and set configs during cluster startup,Open notebooks,Assign permissions,Schedule jobs,A,Init scripts run when clusters start and can set up environments.
What are Databricks Repos used for?,Data storage,Job management,Notebook version control with Git,User role management,C,Repos provide Git integration for version control of notebooks.
What is the purpose of Databricks Jobs?,To schedule notebook or workflow executions,To display logs,To manage users,To visualize dashboards,A,Jobs run notebooks or workflows on a schedule or trigger.
How can you change the language in a Databricks notebook cell?,Switch kernel,Change default runtime,Use a language magic command like `%scala`,Install extension,C,"Use %python, %sql, %scala etc. to switch languages per cell."
What is a Databricks cluster made up of?,UI components,Repos,A driver and worker nodes,Single-core CPU only,C,A Databricks cluster consists of a driver and multiple workers.
Which tool in Databricks allows dashboard creation and visualization?,Repos,Clusters,SQL Editor,Jobs,C,SQL Editor lets you run queries and create visual dashboards.
Where can users manage permissions and access in Databricks?,DBFS,Notebook cell,Admin Console,Data tab,C,The Admin Console provides role-based access control and permissions.
