QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What keyword is used to define a function in Python?,func,define,def,function,C,'def' is the keyword for defining functions in Python.
Which statement is used to return a value from a function?,return,break,exit,stop,A,The 'return' statement returns a value from a function.
What is the output of: len('Python')?,5,6,7,Error,B,The string 'Python' has 6 characters.
Which keyword allows access to code in another module?,include,import,require,module,B,The 'import' keyword is used to use code from other modules.
How do you call a function named foo?,foo,call foo,foo(),function foo(),C,You call functions using parentheses: foo()
Which of these creates a package?,A .py file,A folder with __init__.py,A .zip file,A requirements.txt,B,A package is a directory with an __init__.py file.
How do you import only sqrt from math?,import math.sqrt,from math import sqrt,using math.sqrt,import sqrt from math,B,'from math import sqrt' imports only sqrt.
Which built-in function returns the largest value?,largest(),max(),maximum(),biggest(),B,'max()' returns the largest value from the arguments.
How do you specify a default parameter in a function?,x: int,x = 0,def func x,default(x),B,Default values are specified as parameter=value.
What does __name__ equal when a script is run directly?,'main','__main__','run','python',B,"When run directly, __name__ is set to '__main__'."
What is the purpose of __init__.py?,Initialize a variable,Mark directory as a package,End a script,Create a class,B,__init__.py marks a directory as a Python package.
Which function can be used to get user input?,get(),input(),read(),ask(),B,'input()' reads user input from the console.
How do you document a function in Python?,# comment,'Docstring',/* comment */,// comment,B,Triple-quoted strings below function headers are docstrings.
How are arguments passed to Python functions?,By value,By reference,By object reference,By copy,C,Python uses object references for passing arguments.
Which method lists all attributes and methods of an object?,all(),dir(),list(),attributes(),B,'dir()' returns a list of valid attributes of the object.
What is the effect of 'return' without a value?,Returns 0,Returns None,Returns an error,Returns True,B,A bare return returns None.
How do you import all functions from a module math?,import math.*,from math import *,import all from math,using math,B,'from math import *' imports everything from math.
How can you check if a module exists before importing?,try/except ImportError,exists(),has_module(),getmodule(),A,try/except ImportError will handle missing modules.
Which is true about functions in Python?,They can return multiple values,They cannot return anything,They cannot take arguments,They cannot be nested,A,Python functions can return multiple values as a tuple.
Which method gives a list of all installed modules?,help('modules'),modules(),dir(),showmodules(),A,help('modules') lists all installed modules.
Which of these is not a valid function name?,_func,func_1,1func,func_one,C,Function names cannot start with digits.
How do you reload a previously imported module?,reload(module),importlib.reload(module),import again,restart(),B,importlib.reload(module) reloads an already imported module.
Which command lists all functions in a module?,dir(module),list(module),functions(module),show(module),A,"dir(module) lists all module attributes, including functions."
What is a side effect of using from module import *?,Only imports variables,Imports everything into current namespace,Throws error if used twice,Is recommended,B,It brings all module attributes into the global namespace.
Which module is used to work with file paths?,os,math,sys,json,A,The os module is commonly used for file path operations.
