"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Entity Framework Core?","A file storage API","A JavaScript library","An object-relational mapper (ORM) for .NET","A web server","C","EF Core is a lightweight, extensible, open-source ORM for .NET applications."
"What does the DbContext class represent?","A connection string","A unit of work and repository of database operations","A static helper class","A Razor Page","B","DbContext manages database connections and performs CRUD operations."
"Which command adds a new migration?","dotnet ef add migration","add-ef migration","dotnet ef migrations add","ef-migrate","C","Use 'dotnet ef migrations add <name>' to scaffold a new migration."
"What is the purpose of migrations in EF Core?","Backup the database","Track configuration changes","Apply model changes to the database schema","Change application settings","C","Migrations update the database schema to match changes in the model classes."
"How do you apply pending migrations?","dotnet ef apply","dotnet ef database update","dotnet ef build","dotnet migrate","B","Use 'dotnet ef database update' to apply migrations to the database."
"Which method configures the DbContext?","ConfigureContext()","UseConnection()","AddDbContext()","ConfigureEF()","C","AddDbContext<T>() is used in ConfigureServices to register the DbContext."
"Where is the connection string usually stored?","Startup.cs","launchSettings.json","appsettings.json","Program.cs","C","The connection string is typically stored in appsettings.json."
"What does the method ToListAsync() do?","Fetches data synchronously","Deletes data","Returns a task that resolves to a list","Updates the schema","C","ToListAsync() asynchronously converts query results into a list."
"What attribute marks a property as a primary key?","[Key]","[Primary]","[Required]","[Id]","A","[Key] is the DataAnnotation attribute that marks a property as the primary key."
"What does HasKey() configure in the Fluent API?","Logging behavior","Foreign key relationships","The primary key of an entity","The API version","C","HasKey() configures the primary key for the entity using Fluent API."
"What EF Core method is used to add a new entity?","AddObject()","Insert()","Add()","Push()","C","Use dbContext.Add() to add a new entity to the context."
"What method saves changes to the database?","Commit()","Save()","SaveChanges()","Push()","C","SaveChanges() commits changes in the DbContext to the database."
"What is LINQ used for in EF Core?","To set permissions","To perform data queries using C# syntax","To configure logging","To initialize middleware","B","LINQ (Language Integrated Query) allows querying databases using C# code."
"What happens when you call Remove() in EF Core?","It archives the record","It detaches the entity","It marks the entity for deletion","It soft-deletes the entity","C","Remove() marks the entity for deletion; changes are applied with SaveChanges()."
"What is a DbSet<T> in EF Core?","A configuration setting","A collection representing a database table","A controller action","An indexer","B","DbSet<T> is a typed collection representing a table in the database."
"What command lists available EF Core tools?","dotnet ef list","dotnet ef tools","dotnet ef --help","ef-core --list","C","'dotnet ef --help' shows all available EF Core CLI commands."
"Which relationship type is defined using HasMany() and WithOne()?","One-to-one","Many-to-many","One-to-many","Foreign key","C","HasMany().WithOne() defines a one-to-many relationship between entities."
"What command removes the last migration?","dotnet ef delete migration","dotnet ef rollback","dotnet ef migrations remove","dotnet ef remove","C","'dotnet ef migrations remove' deletes the last migration file."
"What is the purpose of HasData() in EF Core?","To seed initial data","To backup tables","To log queries","To cache data","A","HasData() is used to seed predefined data into the database during migrations."
"Which database provider is used by default in EF Core templates?","MySQL","PostgreSQL","SQL Server","Oracle","C","EF Core templates are configured to use SQL Server by default."
