QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the primary use of notebooks in Databricks?,Managing Azure resources,Data visualization and interactive code execution,User authentication,Pipeline orchestration,B,"Databricks notebooks allow users to run code, visualize data, and collaborate interactively."
Which languages are supported in Databricks notebooks?,Python only,Scala only,"Python, SQL, Scala, R",HTML and JavaScript,C,"Databricks notebooks support Python, SQL, Scala, and R."
What is the default cell language in a new Databricks notebook?,SQL,Scala,Python,R,C,The default language for Databricks notebooks is Python.
Which symbol is used to switch languages in a notebook cell?,@,%,#,$,B,"Language magic commands use % prefix, like %sql or %scala."
Which markdown syntax is used in Databricks notebooks?,HTML only,LaTeX only,GitHub-flavored Markdown,No markdown supported,C,Databricks notebooks support GitHub-style markdown for formatting.
What does 'Run All' do in a notebook?,Runs all scheduled jobs,Deletes all content,Executes all cells in order,Saves the notebook,C,The 'Run All' option executes all cells in the notebook from top to bottom.
Which feature allows comments and collaboration?,Edit mode,Version control,Notebook comments,Admin access,C,Users can leave comments on notebook cells for collaboration.
How do you create a new cell in a notebook?,By clicking '+' or using keyboard shortcuts,By dragging widgets,By adding a markdown title,Through job settings,A,New cells can be created via UI buttons or using Shift+Enter or Ctrl+Enter.
What is the purpose of the 'Clear State and Run All' feature?,Clears the notebook from workspace,Deletes cluster logs,Clears all variables and restarts cell execution,Closes the notebook,C,This option resets the execution environment and reruns the notebook from start.
Where can you schedule a notebook as a job?,In the SQL editor,Through the Repos tab,Using the Jobs UI,Through Admin console,C,Notebooks can be scheduled for execution using the Jobs interface.
What does the 'Detach and Clear State' option do?,Deletes the notebook,Disconnects from cluster and clears variables,Removes markdown,Runs notebook silently,B,This option disconnects the notebook from the cluster and clears the execution state.
Which keyboard shortcut runs a cell and creates a new one below?,Shift + Enter,Ctrl + Enter,Alt + Enter,Tab + Enter,A,Shift + Enter runs the cell and creates a new cell below in Databricks.
How can you change the cell type to Markdown?,Click 'Format',Right-click cell number,Use dropdown next to cell language selector,Use %markdown,C,The cell type can be changed using the dropdown near the cell toolbar.
What is the use of 'Command Palette' in Databricks notebooks?,Change DB connections,Run shell commands,Access keyboard shortcuts and commands,Share notebooks externally,C,"Command Palette helps find commands, settings, and keyboard shortcuts quickly."
Which menu option is used to export a notebook?,Settings,File > Export,Edit > Save,Admin > Archive,B,You can export notebooks from the File > Export menu in various formats.
What format is supported when exporting a notebook?,HTML only,JSON only,"HTML, IPython (.ipynb), and Source",YAML only,C,"Databricks supports exporting notebooks as HTML, source code, and .ipynb."
Where do you see the execution time of a notebook cell?,In browser console,Beside cluster name,Below each executed cell,In the sidebar,C,Execution time appears below the output of each executed cell.
How are errors displayed in a Databricks notebook?,Logged to system log,Through browser alerts,Displayed inline below the cell,Cluster shuts down,C,Errors are shown immediately below the failed cell.
What does the command %sh do in a notebook cell?,Run a SQL query,Run Python code,Run shell commands,Share notebook,C,%sh is used to run shell commands inside Databricks notebook cells.
How can notebook results be shared externally?,Export as notebook or HTML,Email cell output,Add as GitHub comment,Use Repos tab,A,Notebook results can be exported and shared as .ipynb or HTML files.
