QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does RDD stand for in Apache Spark?,Resilient Distributed Dataset,Rapid Data Delivery,Read-Driven Development,Random Data Distributor,A,"RDD stands for Resilient Distributed Dataset, the fundamental data structure in Spark."
Which Spark API is used for structured data?,RDD,DataFrame,Pipeline,Cluster API,B,DataFrames are the primary API for working with structured data in Spark.
What is lazy evaluation in Spark?,Running code slowly,Delaying execution until an action is called,Skipping transformations,Avoiding cluster setup,B,Transformations are not executed until an action like show() or count() is invoked.
Which of the following is a Spark transformation?,collect(),count(),filter(),show(),C,filter() is a transformation that returns a new DataFrame or RDD.
Which function triggers computation in Spark?,map(),groupBy(),count(),filter(),C,Actions like count() trigger Spark to compute the results of transformations.
What does SparkSession provide in Databricks?,Security layer,SparkContext and SQL context,Notebook sharing,Cluster termination,B,SparkSession unifies the entry point for all Spark functionality.
What is the default number of partitions created by Spark?,1,2,Based on cluster configuration,100,C,The number of partitions depends on the size of input and cluster configuration.
Which file formats are supported by Spark for DataFrames?,Only CSV,Only JSON,"CSV, JSON, Parquet, ORC, Avro",Only TXT,C,"Spark supports multiple data formats including CSV, JSON, Parquet, ORC, and Avro."
What does the `.show()` function do in Spark?,Deletes rows,Saves a file,Displays a tabular view of DataFrame,Triggers cluster restart,C,The show() function displays top rows of a DataFrame in tabular format.
Which command creates a DataFrame from a Python list?,spark.createFrame(),spark.toDataFrame(),spark.createDataFrame(),DataFrame.create(),C,"spark.createDataFrame() creates a DataFrame from an RDD, list, or pandas DataFrame."
What is a DataFrame in Spark?,A table in a MySQL database,A collection of distributed rows with named columns,A machine learning model,A command line tool,B,A DataFrame is a distributed collection of data organized into named columns.
Which Spark operation returns a new dataset without modifying the original?,Action,Transformation,Execution,Initialization,B,Transformations return a new RDD or DataFrame without modifying the source.
What is the role of the Spark driver?,Distributes files to clusters,Stores results,Coordinates tasks and manages execution plan,Cleans the memory,C,The driver program controls the flow of execution and distributes tasks to workers.
Which Spark action returns the number of elements in a dataset?,map(),groupBy(),count(),filter(),C,count() is an action that returns the total number of records.
Which storage levels are used in Spark caching?,SSD only,Memory only,Memory and Disk,Cache only,C,"Spark can cache data in memory, or spill to disk if memory is insufficient."
Which component is responsible for scheduling and resource allocation in Spark?,Spark Scheduler,Driver,Executor,Cluster Manager,D,The Cluster Manager assigns resources and manages Spark application execution.
What happens when you use cache() in Spark?,Stores DataFrame in RAM,Deletes DataFrame,Saves to DBFS,Creates partitions,A,cache() persists the data in memory for faster subsequent access.
Which method is used to filter rows in a DataFrame?,select(),drop(),filter(),groupBy(),C,filter() allows conditional selection of rows in a DataFrame.
Which Spark method helps reduce data shuffle during joins?,broadcast(),map(),filter(),repartition(),A,broadcast() joins help optimize performance by minimizing data shuffle.
What is the purpose of Spark UI?,Creating notebooks,Debugging and monitoring job execution,Sending notifications,Compiling source code,B,"Spark UI provides insights into job execution, DAGs, and stages."
