QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
"What is the output of: 
if True:
    print('Yes')
else:
    print('No')",Yes,No,Error,None,A,"The condition is True, so 'Yes' will be printed."
Which keyword is used to start a loop in Python?,iterate,for,loop,repeat,B,'for' is used to iterate over a sequence in Python.
"What is the output of: 
for i in range(3):
    print(i)",1 2 3,0 1 2,0 1 2 3,1 2,B,"range(3) produces 0, 1, 2."
Which of the following is used to terminate a loop prematurely?,continue,stop,break,exit,C,'break' terminates the loop entirely.
Which keyword skips the current iteration in a loop?,pass,continue,skip,break,B,'continue' skips the rest of the loop body for that iteration.
"What will be the output of:
if 5 > 2:
    print('Five is greater')",Nothing,Error,Five is greater,None,C,"The condition is true, so 'Five is greater' is printed."
"What is the output of:
for i in [1,2,3]:
    if i == 2:
        continue
    print(i)",1 2 3,1 3,2 3,1 2,B,The value 2 is skipped using continue.
What does 'pass' do in a loop?,Terminates the loop,Skips iteration,Does nothing,Restarts loop,C,'pass' is a placeholder and does nothing.
Which data structure is immutable?,List,Set,Tuple,Dictionary,C,Tuples cannot be changed after creation.
Which one is used to define a dictionary?,[],(),{},<>,C,Dictionaries are defined using curly braces.
Which loop is guaranteed to execute at least once?,for,while,do-while,None,D,Python does not have a do-while loop.
"What is the output of:
while False:
    print('Hello')",Hello,Nothing,Error,False,B,"Since condition is False, loop body doesn’t execute."
How to check if a key exists in a dictionary?,if key in dict,if dict.has(key),if dict.keyExist(),if key.exists(),A,'in' checks if a key is present in a dictionary.
Which is a mutable data type?,tuple,list,str,int,B,Lists can be changed after creation.
Which function is used to iterate with an index?,range(),enumerate(),zip(),index(),B,'enumerate()' provides index and value during iteration.
"What is the output of:
if 'a' in 'apple':
    print('Found')",Found,Not Found,Error,None,A,'a' is present in 'apple'.
"What is the output of: print(len({'a':1,'b':2}))",1,2,3,0,B,There are 2 key-value pairs in the dictionary.
Which is used to iterate both keys and values of a dict?,dict.items(),dict.values(),dict.keys(),dict.all(),A,'items()' returns key-value pairs.
Which method adds an element to a list?,append(),add(),push(),insert(),A,'append()' adds item at the end of list.
Which data type is unordered and does not allow duplicates?,List,Set,Dictionary,Tuple,B,Sets are unordered collections with unique elements.
Which structure uses key-value pairs?,List,Set,Tuple,Dictionary,D,Dictionaries use key-value pairs.
What does the 'else' clause in a loop do?,Runs if loop condition fails,Runs if loop ends normally,Runs always,Runs if break is used,B,'else' runs if the loop completes without 'break'.
Which function returns sorted elements of a list?,sort(),order(),sorted(),arrange(),C,'sorted()' returns a new sorted list.
Which function gives the number of elements?,count(),index(),len(),size(),C,'len()' returns the number of items.
"What is the output of:
x = [1,2,3]
print(x[1])",1,2,3,Error,B,List indexing starts from 0. x[1] is 2.
