QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does 'git reset' do?,Deletes the repository,Reverts file changes,Resets HEAD to a specified state,Pushes changes to remote,C,git reset moves the current branch HEAD to a specified state.
Which reset mode preserves changes in working directory and staging?,soft,hard,mixed,force,A,git reset --soft keeps changes staged and in working directory.
Which command resets the index and working directory?,git reset --soft,git reset --mixed,git reset --hard,git revert,C,git reset --hard resets everything including the working directory.
What does 'git revert' do?,Removes a branch,Deletes files,Creates a new commit that undoes changes,Restores commit history,C,git revert makes a new commit that reverses a previous commit’s changes.
Which is safer for shared branches?,git reset --hard,git revert,git clean,git squash,B,git revert is safe because it doesn’t alter history.
How do you reset a file to last commit?,git revert <file>,git clean <file>,git reset HEAD <file>,git reset <file> --hard,C,git reset HEAD <file> unstages a file from index back to the last commit.
Which command undoes the last commit but preserves changes?,git reset --hard HEAD~1,git reset --mixed HEAD~1,git reset --soft HEAD~1,git revert HEAD~1,C,git reset --soft HEAD~1 moves HEAD but keeps changes staged.
What does 'HEAD~1' refer to?,Next commit,Second commit,Previous commit,Previous commit,D,HEAD~1 points to one commit before the current HEAD.
Can 'git revert' revert multiple commits?,"No, only one commit","Yes, using a range",Only on remote,Only with force,B,You can specify a commit range to revert multiple commits.
Which reset option is the default?,#NAME?,#NAME?,#NAME?,#NAME?,D,git reset uses --mixed as the default reset behavior.
Which reset mode only resets the index?,#NAME?,#NAME?,#NAME?,#NAME?,B,git reset --mixed resets the index but not the working directory.
What does 'git clean -fd' do?,Deletes old commits,Removes all untracked files and directories,Reverts all branches,Resets to HEAD,B,git clean -fd deletes all untracked files and directories.
How do you undo a staged but not committed file?,git revert <file>,git unstage <file>,git reset HEAD <file>,git reset HEAD <file>,D,git reset HEAD <file> unstages a file.
How do you reset to a specific commit hash?,git reset hash,git reset --hash <id>,git reset <commit-hash>,git reset <commit-hash>,D,git reset <commit-hash> moves HEAD to that commit.
How do you discard all local changes and reset repo?,git undo all,git reset --mixed,git reset --soft,git reset --hard,D,git reset --hard discards all changes in index and working directory.
Which command safely undoes a commit in shared history?,git clean HEAD,git revert,git revert,git reset HEAD~1,B,git revert is safe for shared repos as it doesn't rewrite history.
Can 'git revert' be used in interactive mode?,No,Only in soft mode,No,Only with rebase,A,git revert does not have an interactive mode like rebase.
What does 'git reset --keep' do?,Preserves uncommitted changes if possible,Resets HEAD and clears working directory,Deletes all local commits,Creates a backup,A,git reset --keep resets HEAD but preserves uncommitted changes if they don’t conflict.
Which tool provides GUI for Git history and resets?,Git GUI,Git Reset Wizard,Git GUI,ResetTool,A,Git GUI is a graphical interface that can show history and perform resets.
What happens if you reset to a commit and then commit again?,You create a new commit chain,Old commit is overwritten,You create a new commit chain,Files are deleted,A,You create a new commit history from that point onward.
