QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the default Docker network driver?,host,overlay,bridge,none,C,The bridge network is the default network driver for Docker containers.
Which command lists all Docker networks?,docker net ls,docker network list,docker network ls,docker list network,C,docker network ls shows all the Docker networks.
What is the 'host' network driver used for?,For container-to-container security,To isolate containers,To use the host’s network stack directly,To expose only port 80,C,The host driver allows the container to share the host’s networking stack.
Which driver should you use for multi-host networking?,bridge,host,overlay,macvlan,C,Overlay networks enable communication between containers across different Docker hosts.
How do you create a custom bridge network?,docker new network bridge,docker create bridge,docker network create my_bridge,docker net my_bridge,C,docker network create lets you define custom networks.
Which command connects a container to a network?,docker net connect,docker network attach,docker network connect,docker connect network,C,docker network connect links a container to an existing network.
What happens when you use the 'none' network driver?,Container can talk to all networks,The container has no network access,All ports are opened,Container uses encrypted tunnel,B,Using 'none' means the container has no network interfaces configured.
Which file can define networks in Docker Compose?,Dockerfile,compose.env,networks.yml,docker-compose.yml,D,Networks can be declared in docker-compose.yml under the networks section.
Can multiple containers communicate on the same custom bridge network?,No,"Yes, by default",Only with overlay,Only through port forwarding,B,Containers on the same bridge network can communicate using container names.
What is the use of macvlan network driver?,Assigns containers MAC addresses on local LAN,Enables multi-host networking,Disables encryption,Increases CPU usage,A,macvlan allows containers to appear as physical devices on the network.
Which network driver provides full container-to-container isolation?,bridge,none,host,macvlan,B,"The 'none' driver creates a container with no network interfaces, offering full isolation."
Which Docker command removes a user-defined network?,docker network remove <network>,docker net del <network>,docker rm network,docker delete net,A,docker network rm or remove deletes a user-defined network.
What happens if you don’t specify a network when running a container?,Container won’t start,Docker will assign it to the default bridge network,Host network is used,Network creation is skipped,B,"If not specified, Docker attaches the container to the default bridge network."
How can you inspect the details of a Docker network?,docker network view,docker inspect <network>,docker net config,docker network inspect <network>,D,Use docker network inspect to view full configuration of a Docker network.
Which component stores network configuration in Docker?,Dockerfile,Docker Registry,Docker Daemon,Docker Client,C,Docker Daemon maintains the network stack and configuration.
Can you connect a container to multiple networks?,No,"Yes, using docker network link","Yes, using docker network connect",Only if using overlay,C,docker network connect allows connecting containers to multiple networks.
What is the subnet mask format in a docker network create command?,"CIDR (e.g., 192.168.1.0/24)",YAML,Range of ports,Wildcard (*),A,Subnets must be specified in CIDR format like 192.168.1.0/24.
Which option assigns static IP in custom network?,ip,subnet,gateway,static,A,The --ip option assigns a specific static IP to the container in a user-defined network.
Which driver provides the best performance but no isolation?,overlay,bridge,host,none,C,host network has no isolation but offers high performance as it uses the host stack directly.
What does docker network prune do?,Optimizes network traffic,Removes all unused networks,Deletes network logs,Disconnects containers,B,docker network prune removes unused user-defined networks.
