"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the Azure portal primarily used for?","Managing Microsoft 365 licenses","Accessing virtual machines","Managing and monitoring Azure resources","Creating local servers","C","Azure Portal is a web interface used to manage and monitor all Azure services."
"What is a resource group in Azure?","A group of Azure employees","A container for logically managing Azure resources","A type of virtual network","A collection of subscription plans","B","Resource groups act as logical containers for grouping related resources in Azure."
"Which of the following is an Azure compute service?","Azure SQL","Azure Blob Storage","Azure Virtual Machines","Azure Active Directory","C","Azure Virtual Machines is a compute service used to host applications and workloads."
"Which of the following represents a unique environment for deploying resources?","Azure Function","Azure Tenant","Azure Resource Group","Azure Subscription","D","A subscription is an agreement that allows you to use Azure services and deploy resources under a billing account."
"What is the default deployment model used by Azure now?","Classic","ARM (Azure Resource Manager)","PowerShell","CLI","B","ARM is the modern deployment and management model used by Azure."
"What does Azure provide to control access to resources?","Resource Tags","NSGs","RBAC (Role-Based Access Control)","Billing Alerts","C","RBAC allows assigning roles to users and groups to manage access to resources securely."
"Which Azure service helps monitor the performance and health of applications?","Azure Monitor","Azure AD","Azure Load Balancer","Azure Firewall","A","Azure Monitor collects metrics and logs for performance and operational monitoring."
"What is a tenant in Azure?","A billing model","A user role","A dedicated instance of Azure AD","A cloud region","C","A tenant represents a dedicated Azure AD instance for an organization."
"What is the purpose of tags in Azure?","To deploy VMs","To restrict access","To organize and classify resources","To configure networks","C","Tags are key-value pairs used for organizing and managing Azure resources."
"What is an Azure region?","A backup location","A logical group of users","A geographical area where data centers are located","A virtual network","C","An Azure region is a set of datacenters deployed within a specific geographical area."
"What is Azure Marketplace used for?","Buying Microsoft stock","Selling VMs","Deploying pre-built solutions and services","Ordering physical servers","C","Azure Marketplace provides pre-built services and applications from Microsoft and partners."
"What is the main purpose of Azure Resource Manager (ARM)?","To store data securely","To manage virtual machines","To deploy and manage Azure resources as a group","To monitor user activity","C","ARM provides a way to deploy, manage, and organize Azure resources using templates and APIs."
"What is the function of an Azure Availability Zone?","To increase application security","To store backup data","To ensure high availability through physically separate data centers","To manage subscription billing","C","Availability Zones provide high availability by isolating resources in separate physical locations within a region."
"Which Azure feature provides cost management and budgeting tools?","Azure DevOps","Azure Resource Manager","Azure Cost Management","Azure Automation","C","Azure Cost Management helps monitor and control cloud spending and create budgets."
"What is a service level agreement (SLA) in Azure?","A list of available services","A support ticket system","A guaranteed uptime and performance commitment","A pricing plan","C","An SLA defines the guaranteed performance and availability Microsoft promises for a service."
"What command-line tool is used to manage Azure resources?","cmd","bash","Azure CLI","ADB Shell","C","Azure CLI is a cross-platform command-line tool for managing Azure resources."
"What is Azure Advisor used for?","User authentication","Automated backups","Providing personalized recommendations for Azure best practices","Setting resource quotas","C","Azure Advisor offers personalized guidance to help optimize your Azure deployments."
"Which Azure feature allows tracking of changes and activities on resources?","Azure Policy","Azure Monitor","Azure Activity Log","Azure Key Vault","C","Azure Activity Log records control-plane changes and activities on resources."
"What is the purpose of an Azure subscription ID?","To track billing of a resource group","To identify a user","To identify each unique Azure subscription","To monitor virtual machine usage","C","Each Azure subscription has a unique ID used for tracking and resource management."
"What is Azure Policy used for?","Creating VMs","Restricting user login","Enforcing governance and compliance rules","Performing backups","C","Azure Policy is used to enforce organizational standards and assess compliance at scale."
