QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the primary configuration file in .NET Core projects?,project.json,startup.cs,web.config,appsettings.json,D,appsettings.json is the default configuration file used to store application settings.
Which interface is commonly used to access configuration settings?,IService,IWebHost,IContext,IConfiguration,D,IConfiguration provides access to key-value application configuration settings.
How are environment-specific settings handled in .NET Core?,Multiple web.config files,Using app.config,Using appsettings.{Environment}.json files,Separate .exe files,C,Environment-specific config files like appsettings.Development.json override the default settings.
What is the purpose of the IOptions<T> pattern?,Model Binding,Strongly-typed access to configuration,Dependency Injection,Middleware injection,B,IOptions<T> allows binding configuration sections to strongly-typed classes.
Where is IConfiguration registered in .NET Core?,Configure method,Startup constructor,Middleware constructor,Automatically during host building,D,IConfiguration is built and registered automatically by the Host builder during startup.
Which method binds configuration to a POCO class?,ToClass(),Bind<T>(),Inject(),ParseObject(),B,Bind<T>() extension method binds configuration values to a class.
Which JSON file is optional and user-specific?,runtimeconfig.json,launchSettings.json,secrets.json,appsettings.json,C,secrets.json is used with user secrets and is not committed to source control.
How do you enable user secrets in a .NET Core project?,secrets.json,secrets --enable,dotnet user-secrets init,dotnet add-secrets,C,The command 'dotnet user-secrets init' initializes the secrets system for the project.
How are configuration values accessed via IConfiguration?,"configuration.get(""AppName"")",configuration->AppName,"configuration.GetValue(""AppName"")","configuration[""AppName""]",D,"You can retrieve configuration values using indexer syntax: configuration[""AppName""]."
Which method retrieves a value with type conversion in IConfiguration?,CastValue<T>(),GetTypedValue,GetValue<T>(),GetString,C,GetValue<T>() retrieves a config value and converts it to the specified type.
What is the default JSON file for logging configuration?,logging.json,logs.json,logsettings.json,appsettings.json,D,Logging is configured inside the appsettings.json file under the 'Logging' section.
What does the 'ReloadOnChange' setting do for config files?,Clears caches,Automatically reloads changed configuration,Rebuilds the app,Restarts IIS,B,ReloadOnChange reloads configuration files without restarting the application.
Where can you configure the base path for appsettings files?,In Startup.cs,In Program.cs using SetBasePath(),In IOptions,In launchSettings.json,B,SetBasePath() sets the base path for config files during host creation in Program.cs.
How are environment variables loaded into configuration?,AddEnvironmentVariables(),AddFromEnv(),UseEnvVars(),EnableEnvAccess(),A,AddEnvironmentVariables() includes environment variables in the configuration pipeline.
What file is used for configuring application profiles?,launchSettings.json,global.json,secrets.json,log.json,A,"launchSettings.json defines application profiles, ports, and environment variables during dev."
Which object holds a section of configuration settings?,IConfigurationSection,IConfigurationBuilder,IServiceCollection,IOptions,A,IConfigurationSection represents a specific section within the configuration hierarchy.
What is the benefit of using IOptionsSnapshot<T>?,Improved performance,Access to singleton services,Provides fresh config per request,Avoids compilation,C,IOptionsSnapshot<T> provides new configuration instances per request (scoped lifetime).
How do you access nested values in appsettings.json?,Nested brackets like [[key]],By dot notation like Logging:LogLevel:Default,By square brackets only,They can't be accessed,B,Use colon-separated keys like 'Logging:LogLevel:Default' to access nested config values.
What is the benefit of strongly typed configuration?,Avoids user secrets,Improves performance by default,Easier unit testing,Less memory,C,Strongly typed config improves code maintainability and testability.
How is IConfigurationRoot different from IConfiguration?,It adds logging automatically,It disables JSON loading,It cannot reload configuration,It is a concrete implementation with reload capabilities,D,IConfigurationRoot is the concrete root object used to read and reload config sources.
