"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does LLM stand for in the context of Generative AI?","Logical Language Model","Large Language Model","Linear Learning Machine","Linguistic Logic Map","B","LLM stands for Large Language Model, a deep learning model trained on large amounts of text data."
"Which technique enables ChatGPT to generate context-aware responses?","Data Encryption","Transfer Learning","Prompt Engineering","Tokenization","C","Prompt Engineering involves crafting inputs that guide language models to produce desired outputs."
"Which of the following is a cybersecurity best practice?","Sharing passwords with colleagues","Using the same password for all accounts","Enabling multi-factor authentication","Clicking on unknown email links","C","Multi-factor authentication enhances security by requiring more than one method of verification."
"What is the purpose of data anonymization in privacy compliance?","To improve performance","To remove duplicates","To remove identifiable information from data","To delete obsolete files","C","Data anonymization removes personal identifiers to ensure data privacy and GDPR compliance."
"What makes transformers effective for NLP tasks in LLMs?","Manual labeling","Linear regression","Attention mechanism","Static embeddings","C","Transformers use attention mechanisms to weigh the importance of words, enabling better language understanding."
"What is a common application of ChatGPT in enterprise settings?","Designing hardware","Replacing cloud servers","Automating customer support interactions","Encrypting emails","C","ChatGPT is often used to assist or automate customer service via natural language conversation."
"Which law regulates data protection and privacy in the European Union?","HIPAA","FERPA","GDPR","CCPA","C","The General Data Protection Regulation (GDPR) governs data privacy in the European Union."
"What is the role of a 'Prompt' in Generative AI systems?","Visualize model architecture","Control server load","Guide the model’s output by providing context","Store model checkpoints","C","Prompts guide the language model to generate specific and relevant outputs."
"What does 'zero-shot learning' mean in LLMs?","Training from scratch","Predicting without any example or prior training","Using pretrained embeddings","Generating random answers","B","Zero-shot learning enables a model to perform tasks without task-specific training examples."
"What is phishing?","A method of debugging","A secure login method","A social engineering tactic to trick users into giving sensitive information","A type of encryption","C","Phishing is a deceptive technique used to steal sensitive information via fake communication."
"What is the primary data unit processed by a language model like GPT?","Sentence","Document","Token","Byte","C","LLMs like GPT process text in the form of tokens, which are small chunks of words or characters."
"Which of the following is an example of Personally Identifiable Information (PII)?","Operating system version","Employee ID","Job title","Browser type","B","PII includes any information that can be used to identify an individual, such as employee ID or full name."
"What is a hallucination in the context of LLMs?","An error in GPU rendering","Output containing false but confident information","Misspelling in token generation","Untrained input","B","Hallucinations occur when the model generates plausible-sounding but incorrect or fabricated outputs."
"What does MFA stand for in cybersecurity?","Maximum File Access","Multi-Factor Authentication","Model Failure Alert","Mainframe Firewall Architecture","B","MFA enhances security by requiring multiple methods to verify identity."
"What does 'fine-tuning' an LLM involve?","Deleting model weights","Training a new model from scratch","Adjusting a pretrained model for a specific task","Formatting training data","C","Fine-tuning is adapting a general-purpose model to a specific domain or task by continuing its training."
"What is the purpose of data encryption?","Reduce file size","Compress documents","Protect data by making it unreadable without a key","Convert files to PDFs","C","Encryption ensures confidentiality by transforming data into unreadable formats unless decrypted."
"Which open-source tool is used to evaluate LLM prompts?","Jupyter","Gradio","LangChain","TensorBoard","C","LangChain is a framework used to build and evaluate LLM applications and prompt flows."
"What is considered a strong password?","Password123","Your birth date","A mix of letters, numbers, and special characters","Your name reversed","C","Strong passwords include upper/lowercase letters, numbers, and special characters."
"What does CCPA stand for?","California Consumer Privacy Act","Certified Cloud Processing Agreement","Cybersecurity Compliance Protection Act","Cloud Customer Protection Access","A","The California Consumer Privacy Act (CCPA) enhances privacy rights for California residents."
"Which of the following tasks can LLMs perform?","Tokenized hashing","Program compilation","Summarization and question answering","Sorting Excel files","C","LLMs excel in text-based tasks like summarization, Q&A, translation, and more."
"What is 'prompt injection' in the context of LLMs?","Preprocessing optimization","Injecting HTML in outputs","A method to manipulate LLMs using crafted input","A way to reduce latency","C","Prompt injection involves crafting inputs to cause the model to behave unexpectedly or maliciously."
"What is a risk of using public Wi-Fi without a VPN?","Faster speed","Limited bandwidth","Exposure to man-in-the-middle attacks","Blocked popups","C","Public Wi-Fi without VPN may allow attackers to intercept your data (MITM attacks)."
"What is the main goal of compliance training in the workplace?","Reduce development costs","Teach programming","Ensure employees understand laws and regulations","Train customer support","C","Compliance training educates employees on laws, policies, and regulations relevant to their role."
"Which regulation applies to healthcare data protection in the U.S.?","GDPR","CCPA","FERPA","HIPAA","D","HIPAA protects the privacy and security of health information in the U.S."
"How do transformers differ from traditional RNNs in LLMs?","Use convolution instead of sequence","Process input tokens sequentially","Use attention to process all tokens simultaneously","Run on CPUs only","C","Transformers use self-attention to process sequences in parallel, improving speed and context understanding."
"What is red teaming in AI safety testing?","Developing red-colored models","Testing AI systems with malicious prompts","Designing prompts for image generation","Implementing data backups","B","Red teaming simulates adversarial inputs to test and improve AI safety."
"Which of these is a key component of a security awareness program?","Unlimited file sharing","Employee training on phishing and safe practices","Free access to internal servers","Disabling encryption","B","Security awareness includes training users to recognize and avoid cybersecurity threats."
"What does the 'Right to be Forgotten' under GDPR mean?","Deleting backups","Erasing public records","Allowing users to request data deletion","Storing data forever","C","It gives users the right to request erasure of their personal data under certain conditions."
"What is an API key and why should it be protected?","A type of HTML tag","A token granting programmatic access to a service","A username","A password hint","B","API keys authenticate and authorize access to systems; they should be kept secret to prevent abuse."
"How can LLMs assist in data extraction?","Store user credentials","Scan barcodes","Parse unstructured text and extract entities","Draw images","C","LLMs can analyze text and identify relevant structured data using NLP techniques."
"What does it mean if a model is 'open-weight'?","It can read CSV files","It stores its model in the cloud","Its weights are publicly available","It doesn't use neural networks","C","Open-weight models have publicly accessible parameters, allowing reuse and modification."
"What is the difference between anonymization and pseudonymization?","They are the same","Anonymization removes identity forever, pseudonymization uses reversible tokens","Anonymization uses random numbers","Pseudonymization adds headers","B","Anonymization makes data non-identifiable permanently; pseudonymization can be reversed with keys."
"What does role-based access control (RBAC) enforce?","Time limits for access","Password policies","Permissions based on user roles","Multi-cloud backup","C","RBAC assigns access rights to users based on their roles and responsibilities."
"Which scenario represents a data privacy violation?","Encrypting sensitive data","Providing access logs","Collecting data without user consent","Masking PII","C","Collecting personal data without consent may violate data privacy regulations."
"What does an AI-generated deepfake typically involve?","Weather prediction","Fake audio or video content created using AI","Optimized databases","Excel automation","B","Deepfakes use AI to create synthetic media that can impersonate real individuals."
"What is the purpose of AI content detectors?","Limit storage","Detect malware","Determine whether content was AI-generated","Predict search rank","C","AI detectors attempt to classify if text or media was created by a generative model."
"What is shadow IT?","IT department's hidden budget","Unauthorized tech use by employees","Cloud migration plan","Ethical hacking technique","B","Shadow IT refers to software and systems used without official approval, posing compliance and security risks."
"What is a responsible use principle for LLMs in the workplace?","Use LLMs to replace all staff","Disclose AI involvement in content","Bypass IT review","Allow model access to sensitive data","B","Responsible AI use includes disclosing when AI was used to generate content."
"Which metric helps measure the accuracy of a generative AI model?","Render rate","BLEU score","Frame rate","Compile time","B","BLEU score evaluates how closely AI-generated text matches human references, especially in translation."
"What does phishing simulation training help prevent?","System crashes","Data duplication","Unauthorized data access through deceptive emails","Storage overflow","C","Phishing simulations teach users to recognize fraudulent emails and prevent security breaches."
"Which of these is an example of data minimization?","Collecting all possible data","Collecting only required data for a purpose","Selling user data to third parties","Encrypting images","B","Data minimization means collecting only the data necessary for a specific task or service."
"What is a model prompt in ChatGPT?","A data label","A response","The input or instruction given to the model","The output weight","C","A prompt is the input message used to guide model output generation."
"Which of the following is NOT a secure way to handle passwords?","Using password managers","Hashing passwords","Hardcoding passwords in source code","Two-factor authentication","C","Hardcoding passwords in code makes them accessible and is a major security flaw."
"Which standard governs payment data protection?","PCI DSS","GDPR","HIPAA","FERPA","A","PCI DSS (Payment Card Industry Data Security Standard) is for secure handling of credit card data."
"What is a hallucination in AI output?","False but plausible response","Network glitch","Successful API call","Encrypted text","A","A hallucination is when the model confidently outputs incorrect or fictional information."
"What is synthetic data in AI?","Raw production logs","Encrypted user data","Artificially generated data used for training or testing","Customer support scripts","C","Synthetic data is created by algorithms and is useful for training AI models without exposing real data."
"What does 'prompt chaining' involve?","Sending a series of prompts where outputs feed into next prompts","Building prompt templates","Encrypting inputs","Validating tokens","A","Prompt chaining allows you to build multi-step AI workflows by feeding one output into another."
"Which of the following enhances data protection in transit?","Data hashing","Network latency","VPN encryption","Auto-scaling","C","VPNs encrypt data traffic, improving security while data is transmitted across networks."
