"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the role of the driver program in Apache Spark?","Execute transformations on data","Allocate memory to RDDs","Coordinate execution of tasks and manage SparkContext","Store results in HDFS","C","The driver program creates the SparkContext, schedules tasks, and coordinates execution across the cluster."
"Which abstraction in Spark supports schema and SQL queries?","RDD","DataFrame","Dataset","GraphFrame","B","DataFrame is a distributed collection of data with a schema and supports SQL operations in Spark."
"What component manages resources and node allocation in Spark?","Executor","Cluster Manager","RDD Cache","Job Scheduler","B","Cluster Manager allocates resources across applications and communicates with the driver."
"Which transformation is lazy in Spark?","collect()","count()","filter()","take()","C","Transformations like filter() are lazy and only executed when an action like collect() or count() is called."
"What is the purpose of a DAG in Spark?","Maintain job history logs","Organize cluster configurations","Track lineage and stages of computation","Serialize data","C","Spark represents computations as a Directed Acyclic Graph (DAG) to track the lineage and stages."
"What is the default cluster manager in local Spark installations?","YARN","Mesos","Standalone","Kubernetes","C","Spark Standalone mode is the default cluster manager for local and test environments."
"Which of the following is an action in Spark?","map()","flatMap()","filter()","reduce()","D","reduce() is an action that triggers computation and aggregates the result across partitions."
"Which Spark module supports machine learning algorithms?","Spark SQL","GraphX","MLlib","Core","C","MLlib is the Spark module that includes libraries for machine learning and statistical functions."
"What is the benefit of caching in Spark?","Reduces executor memory","Improves fault tolerance","Speeds up iterative computations","Optimizes write throughput","C","Caching stores intermediate RDDs in memory, reducing recomputation and boosting performance."
"In Spark, what is shuffle?","Writing output to a file","Broadcasting variables to executors","Redistributing data across partitions","Executing transformations in order","C","Shuffle is the process of redistributing data for operations like groupByKey and reduceByKey."
"What does Spark do in stage 11 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 12 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 13 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 14 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 15 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 16 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 17 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 18 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 19 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 20 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 21 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 22 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 23 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 24 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 25 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 26 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 27 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 28 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 29 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 30 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
"What does Spark do in stage 31 of a job execution plan?","Deploys new cluster nodes","Submits the job to Mesos","Groups transformations to execute between shuffle boundaries","Performs log collection","C","Spark groups transformations into stages separated by shuffle operations. Each stage contains tasks executed in parallel."
