QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the purpose of exception handling in Python?,To write faster code,To avoid using loops,To handle runtime errors gracefully,To reduce memory usage,C,Exception handling is used to manage runtime errors and prevent crashes.
Which keyword is used to handle exceptions in Python?,try,catch,error,except,D,The 'except' block handles the error after a 'try'.
What block must be used before 'except'?,catch,handle,try,raise,C,The 'try' block is required before 'except'.
Which keyword is used to manually raise an exception?,throw,raise,error,exception,B,The 'raise' keyword is used to trigger exceptions manually.
Which built-in exception is raised when a number is divided by zero?,ValueError,TypeError,ZeroDivisionError,ArithmeticError,C,Dividing by zero raises a ZeroDivisionError.
What does the 'finally' block do?,Executes only if an exception is raised,Executes only if no exception is raised,Always executes,Skips if try fails,C,'finally' always executes regardless of exceptions.
Which statement is used to define a custom exception?,class MyError(Exception): pass,def MyError: pass,exception MyError: pass,raise MyError(): pass,A,Custom exceptions are created by inheriting from the Exception class.
Which block is used to run code only if no exception occurs?,finally,catch,else,resolve,C,The 'else' block runs only if no exceptions occur in 'try'.
What type of error is caught by default 'except' with no error type?,SyntaxError,Compile-time error,All runtime exceptions,Only ZeroDivisionError,C,A generic 'except:' catches all runtime exceptions.
Which exception is raised when accessing a non-existent list index?,IndexError,KeyError,ValueError,TypeError,A,IndexError is raised for out-of-range index access in sequences.
Which error occurs if you try to convert 'abc' to an integer?,ValueError,TypeError,KeyError,AttributeError,A,Trying int('abc') raises ValueError.
Which exception is raised for invalid type operations?,TypeError,ValueError,IndexError,NameError,A,TypeError is raised when operations are performed on incompatible types.
What happens if no exception is raised in a try block?,except is skipped,finally is skipped,Program crashes,try is re-executed,A,"If no exception is raised, except is skipped."
How can you handle multiple exceptions in one block?,"except TypeError, ValueError:","except (TypeError, ValueError):",except TypeError or ValueError:,"try(TypeError, ValueError):",B,Multiple exceptions can be grouped in parentheses.
"What does 'raise ValueError(""Invalid input"")' do?",Defines ValueError,Catches exception,Raises a ValueError,Returns a result,C,This manually raises a ValueError exception.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
What type of error is commonly caught when using undefined variables?,NameError,SyntaxError,TypeError,ImportError,A,Accessing a variable that was never defined raises NameError.
