QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which command is used to check the Python version in terminal?,python -version,check python,python --version,python version,C,The correct command to check Python version is `python --version`.
Which extension is used for Python files?,.txt,.exe,.java,.py,D,Python files use the `.py` extension.
What is the correct way to start a comment in Python?,/* comment */,# comment,// comment,-- comment,B,Python uses `#` to start single-line comments.
"What is the output of the following code?
print('Hello World')",Hello,World,Hello World,print('Hello World'),C,The print() function displays the string 'Hello World'.
How should Python code be indented inside a block?,Using tabs only,Using 4 spaces,No indentation required,Using comma,B,PEP8 recommends 4 spaces for indentation.
What is the first line in a Python file to make it executable in Unix?,#python3,#run python,#!/usr/bin/python3,#execute python,C,The shebang line `#!/usr/bin/python3` is used for Unix-based executables.
What is the default input function in Python?,get(),input(),scan(),read(),B,`input()` is used to take input from the user.
Which of the following is valid Python syntax to declare a variable?,int x = 5,x := 5,x = 5,declare x = 5,C,Python variables are declared using simple assignment: x = 5.
What does `print()` function do in Python?,Takes input,Declares variable,Displays output,Defines function,C,`print()` is used to display output to the console.
Which of the following is not a valid identifier in Python?,my_var,2value,_value,value2,B,Identifiers cannot start with a number.
What does indentation represent in Python?,Start of new file,Function call,Code block,Loop end,C,Indentation defines the structure of code blocks in Python.
Which function is used to display text in Python?,write(),show(),echo(),print(),D,`print()` displays the given message on the console.
Which one of these is used to take string input from user?,read(),str(),input(),getString(),C,`input()` function captures user input as string.
Which one of these is a comment line in Python?,-- This is a comment,// This is a comment,# This is a comment,/* This is a comment */,C,`#` is used for single-line comments in Python.
How do you print variables with a message in Python?,"print('Value is', var)",print('Value is' + var),echo var,cout << var,A,Comma separates values in the print statement.
Which function can convert input string to integer?,int(),str(),input(),float(),A,`int()` is used to convert string input to integer.
Which tool can you use to write Python code?,Python Shell,IDLE,VS Code,All of the above,D,All these tools support Python code writing.
What does `#` symbol do in a Python script?,Runs a command,Marks a comment,Defines variable,Starts loop,B,`#` is used to write comments.
"What is the output of:
print(10 + 5)",10+5,105,15,Error,C,10 and 5 are added resulting in 15.
Which of the following is not part of Python syntax?,Indentation,Curly Brackets,Colons,Comments,B,Python does not use curly braces to define blocks.
What does the input() function always return?,Integer,String,Boolean,Float,B,`input()` returns a string by default.
Which command runs a Python script from terminal?,run script.py,execute script.py,python script.py,open script.py,C,`python script.py` runs the Python file.
How do you write a multi-line comment?,### comment ###,"# line1
# line2",' comment ',/* comment */,B,Multiple `#` symbols are used for multiple lines.
What is the purpose of comments in code?,To change output,To increase speed,To explain code,To print logs,C,Comments are used to explain code.
What happens if indentation is missing in a block?,Code still runs,Block executes partially,IndentationError,It’s ignored,C,Python throws an IndentationError when expected indentation is missing.
