"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does the term MTTR stand for in DevOps monitoring?","Mean Time To Read","Minimum Time To Resolve","Mean Time To Recovery","Maintenance Task Troubleshooting Rate","C","MTTR (Mean Time To Recovery) measures the average time taken to recover from a system failure."
"Which tool is commonly used for log aggregation in ELK stack?","Prometheus","Logstash","Grafana","Ansible","B","Logstash is used in the ELK stack for collecting, parsing, and forwarding logs."
"What is the purpose of a runbook in incident management?","Document security policies","Outline step-by-step response to incidents","Store deployment scripts","Describe hardware configuration","B","Runbooks provide predefined actions for known operational issues to streamline response."
"What does 'shift-left' mean in DevOps monitoring?","Testing after production","Monitoring only in UAT","Moving monitoring earlier in the development cycle","Logging less to reduce noise","C","Shift-left encourages implementing observability earlier in the development lifecycle."
"Which tool helps visualize Prometheus metrics and dashboards?","Kibana","CloudTrail","Grafana","Terraform","C","Grafana is a visualization tool that integrates with Prometheus for dashboard creation."
"What is a postmortem in the context of operations?","Testing software after release","Analyzing system failures to improve future response","Terminating old processes","Rotating backup credentials","B","Postmortems help teams learn from incidents and implement preventive measures."
"What does an SLO define?","The specific monitoring tool to use","The maximum storage size","The expected service performance objective","The daily change limit","C","A Service Level Objective (SLO) defines the target performance level for a service."
"What does the term 'blameless culture' promote during incident reviews?","Assigning responsibility to individuals","Focusing on system failures without blaming individuals","Avoiding all postmortems","Promoting stricter penalties","B","Blameless culture encourages teams to focus on systemic issues rather than individual fault."
"What is the purpose of alert thresholds in monitoring tools?","To generate logs","To prevent deployment","To trigger notifications when metrics exceed normal range","To compress data","C","Alert thresholds define when alerts should be triggered based on metric values."
"What is an error budget in SRE?","Allowance for logging errors","Maximum acceptable downtime defined by SLOs","Time spent fixing bugs","Team's vacation policy","B","Error budgets define the maximum allowed unreliability based on agreed SLOs."
"Which of the following is a characteristic of black-box monitoring?","Requires internal code access","Relies on log traces","Tests service externally without internal visibility","Checks source repositories","C","Black-box monitoring checks system health from outside interfaces."
"What is the goal of a canary deployment?","Restart services","Deploy changes to a small group before full rollout","Disable monitoring alerts","Clean up old logs","B","Canary deployments test changes with a subset of users to minimize risk."
"Which of the following is a benefit of Infrastructure as Code (IaC)?","Manual deployment","Undocumented configuration","Version-controlled infrastructure","No audit trail","C","IaC allows infrastructure definitions to be stored and managed in version-controlled repositories."
"What does the 'you build it, you run it' model suggest?","Only testers should deploy","Developers are responsible for operating the services they build","Managers own deployments","Operations write application code","B","This DevOps principle assigns responsibility for uptime and reliability to developers."
"Which collaboration tool is often used during incident response for team communication?","Photoshop","Slack","Postman","Trello","B","Slack enables real-time communication and integration with monitoring tools during incidents."
"What is the purpose of SLIs in system monitoring?","Launch new servers","Measure service performance metrics","Track deployment times","Create user roles","B","SLIs (Service Level Indicators) are specific metrics that indicate how well a service is performing."
"What does a root cause analysis (RCA) aim to uncover?","Which team caused the issue","How much downtime occurred","The underlying issue behind an incident","Cost of the incident","C","RCA seeks to determine the core problem that led to the incident."
"Which metric measures how frequently changes are deployed to production?","MTTR","Change Failure Rate","Deployment Frequency","Error Budget","C","Deployment frequency reflects how often new code is delivered to production environments."
"What is an effective way to reduce alert fatigue?","Send alerts for all logs","Configure alerts only for high-severity events","Disable all alerts","Monitor everything manually","B","Filtering alerts for severity ensures teams focus only on critical issues, reducing fatigue."
"What is Chaos Engineering?","A tool to cause errors","Creating realistic failures in production to test resilience","Breaking the build pipeline","Deleting logs to improve performance","B","Chaos Engineering intentionally introduces faults to validate system robustness."
"What is the key output of a retrospective after an incident?","Code changes","Feature releases","Lessons learned and action items","Budget increase","C","Incident retrospectives help identify learnings and define follow-up actions to improve reliability."
"Which platform provides real-time service health dashboards in Azure?","Azure Boards","Azure Monitor","Azure DevTest Labs","Azure Pipelines","B","Azure Monitor collects and analyzes telemetry data to visualize performance and availability."
"What is a golden signal in monitoring?","Any log event","A signal from a privileged user","A core set of metrics like latency, errors, traffic, saturation","The first metric collected","C","Golden signals help identify key issues impacting system performance."
"Which logging practice is considered a best practice?","Log everything with no context","Log only errors","Include structured logs with context","Avoid logs for performance","C","Structured logging provides context and makes querying logs easier during incidents."
"What is a playbook in incident response?","A CI/CD template","Predefined procedures to address specific issues","Git repository","Command line alias","B","Playbooks document step-by-step responses to known issues for fast and consistent handling."
"What is the function of Alertmanager in a Prometheus-based system?","Visualize data","Manage log formats","Route alerts based on rules","Run shell commands","C","Alertmanager handles deduplication and routing of alerts generated by Prometheus."
"Which DevOps principle encourages automation of manual tasks?","Manual validation","Automation First","Deploy Late","Static Monitoring","B","DevOps encourages automating repetitive tasks to reduce human error and increase speed."
"What is the purpose of a service catalog in operations?","Log analytics","Test automation","Define and publish available services","Monitor API latency","C","A service catalog defines all operational and business services offered, often with SLAs."
"Which practice helps teams improve over time after incidents?","Reassigning blame","Avoiding retrospectives","Conducting post-incident reviews","Skipping documentation","C","Post-incident reviews promote continuous improvement and shared understanding."
"What is the main function of a metrics dashboard?","Send emails","Create backups","Visualize system performance indicators","Assign user roles","C","Dashboards help operators and developers monitor performance trends at a glance."
"What does mean time between failures (MTBF) measure?","Recovery time","Time between successive failures","Disk usage","API latency","B","MTBF tracks average uptime between failures, useful for system reliability analysis."
"What is the function of service dependency mapping?","Create repositories","List dependent services to identify upstream/downstream impact","Delete unused services","Visualize user traffic","B","Dependency maps help understand how services interact and assess cascading failures."
"What is the purpose of tagging in monitoring systems?","Color alerts","Categorize metrics and logs","Restart services","Deploy scripts","B","Tags allow filtering and organizing telemetry data in complex environments."
"What defines an operational-level agreement (OLA)?","Agreement between cloud vendors","Agreement between internal support groups","An external customer SLA","Financial billing statement","B","OLAs define expected service levels between internal support teams within an organization."
"Which tool is used to collect logs from containers in Kubernetes?","Fluentd","Nexus","Chef","Jenkins","A","Fluentd is a log collector commonly used in Kubernetes environments."
