QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is Docker primarily used for?,Creating websites,Packaging and running applications in containers,Developing mobile apps,Running virtual machines,B,Docker packages applications and dependencies into containers that run on any system.
Which component runs and manages Docker containers?,Docker Compose,Docker Image,Dockerfile,Docker Engine,D,Docker Engine is the runtime that creates and manages Docker containers.
Containers are more lightweight than virtual machines because they:,Use less CPU,Share the host OS kernel,Run without a host OS,Include their own OS kernel,B,"Containers share the host OS kernel, making them more lightweight than VMs."
Which company originally developed Docker?,Microsoft,Google,IBM,Docker Inc.,D,Docker Inc. introduced Docker in 2013 as an open platform for containerization.
Which file describes how to build a Docker image?,Dockerfile,docker-compose.yml,package.json,requirements.txt,A,A Dockerfile contains instructions for building a Docker image.
What command is used to download a Docker image from Docker Hub?,docker run,docker pull,docker build,docker image,B,docker pull downloads an image from a registry like Docker Hub.
Which command lists all running Docker containers?,docker ls,docker run,docker ps,docker status,C,docker ps lists all currently running containers.
What is the difference between a container and an image?,No difference,Container is the runtime instance of an image,"Image is running, container is saved",Container is the base for image creation,B,A container is a running instance of a Docker image.
Which of the following best describes Docker Hub?,A CI/CD tool,A private cloud service,An online registry for sharing Docker images,A configuration management tool,C,Docker Hub is a public registry for storing and sharing container images.
Docker containers are isolated using which kernel feature?,Namespaces and cgroups,KVM,SystemD,SELinux,A,Containers use Linux kernel features like namespaces and cgroups for isolation.
What is the main benefit of using Docker?,Data encryption,Consistent environment across systems,Better memory management,Faster internet,B,Docker ensures applications run the same across development and production.
Which command is used to see Docker version?,docker engine,docker status,docker -v or docker version,docker info,C,Use 'docker version' or 'docker -v' to check Docker version installed.
What does the docker info command show?,System-wide details about Docker setup,Container logs,Base OS,Volume list,A,"docker info shows details about Docker version, images, containers, and more."
How are Docker containers isolated?,Through hypervisors,Using namespaces and cgroups,Using separate hard drives,With firewall rules,B,Namespaces and cgroups in the Linux kernel provide isolation and resource control.
What is the purpose of a Docker volume?,Encrypt data,Increase CPU speed,Set memory limits,Persist data outside containers,D,Volumes are used to persist and share data between containers.
What is the ENTRYPOINT in Docker used for?,To define the container's default executable,To start Docker Engine,To create a network,To install packages,A,ENTRYPOINT specifies the default app or script to run in a container.
What does the -p flag do in docker run?,Sets environment variables,Mounts volumes,Maps container ports to host ports,Sets CPU limit,C,-p allows publishing a container's port to the host.
What is the difference between docker run and docker start?,They are the same,run creates and starts a container; start only restarts an existing one,run is for logs,start creates a new image,B,docker run creates and starts a container; start restarts an existing one.
Which Docker command updates an existing image?,docker refresh,You cannot update an image; rebuild is required,docker update,docker rebuild,B,Images are immutable. You must rebuild them using Dockerfile for changes.
What is the role of Docker Daemon?,It listens for Docker API requests and manages containers,It compresses files,It hosts web pages,It builds images,A,"The Docker Daemon runs as a background service that manages images, containers, and networks."
