"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does LINQ stand for in C#?","Language Integrated Normalization Query","Linked Input Named Query","Language Integrated Query","Logical Integer Query","C","LINQ stands for Language Integrated Query, used to query data from various sources in C#."
"Which namespace is required to use LINQ in C#?","System.Linq","System.Data.Linq","System.Collections","System.Query","A","The System.Linq namespace contains LINQ methods and query operators."
"What type of data sources can LINQ query?","SQL Server only","Only XML files","Only arrays","Objects, arrays, XML, databases, etc.","D","LINQ can be used with various data sources including collections, XML, and databases."
"What keyword starts a LINQ query expression?","select","from","where","group","B","LINQ queries typically start with the 'from' keyword in query syntax."
"Which LINQ method filters elements based on a condition?","Select()","Where()","GroupBy()","Join()","B","The Where() method filters a sequence based on a predicate."
"What does the Select() method do in LINQ?","Filters elements","Projects each element into a new form","Sorts the data","Combines two lists","B","Select() is used to project each element into a new form."
"Which LINQ clause is used to sort elements?","sort","orderby","filter","rank","B","The 'orderby' clause sorts elements in query syntax."
"Which LINQ method determines if all elements satisfy a condition?","All()","Any()","Where()","Contains()","A","All() returns true if all elements meet the specified condition."
"Which operator is used to group data in LINQ?","orderby","select","group","join","C","The 'group' clause is used to group data in query syntax."
"Which method checks if any element satisfies a condition?","All()","Any()","Contains()","First()","B","Any() returns true if any element in the sequence satisfies the condition."
"Which method returns the first element of a sequence?","First()","Take()","Select()","Max()","A","First() returns the first element of a sequence or throws an exception if empty."
"What will FirstOrDefault() return if the sequence is empty?","Throws an exception","null or default value","Infinity","Zero","B","FirstOrDefault() returns default value for the type if no match is found."
"Which method returns distinct elements from a sequence?","Distinct()","Unique()","GroupBy()","Sort()","A","Distinct() removes duplicate elements from a sequence."
"Which clause is used to join two sequences?","combine","merge","join","add","C","The 'join' clause joins two data sources in query syntax."
"What does the Count() method return?","The sum of numbers","The number of elements","The max value","The first element","B","Count() returns the total number of elements in the sequence."
"Which method is used to skip a number of elements?","Skip()","Drop()","Ignore()","Jump()","A","Skip(n) skips the first n elements in a sequence."
"Which LINQ method returns a specified number of contiguous elements?","Where()","Take()","Drop()","First()","B","Take(n) returns the first n elements from a sequence."
"Which LINQ operator is used to perform set union?","Concat()","Merge()","Union()","Add()","C","Union() returns distinct elements from two sequences."
"Which method determines whether a sequence contains a specified element?","Exists()","Any()","Find()","Contains()","D","Contains() checks if a sequence contains a specific element."
"Which syntax style is NOT used in LINQ?","Query Syntax","Method Syntax","SQL Syntax","Mixed Syntax","C","LINQ uses query and method syntax but not plain SQL syntax."
