QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does 'git init' do?,Uploads the project to GitHub,Initializes a new Git repository,Commits changes,Creates a GitHub issue,B,git init sets up a new Git repository in your project directory.
Which command stages all changes for commit?,git commit,git push,git add .,git log,C,git add . stages all modified and new files in the working directory.
What does 'git commit -m' do?,Stages a file,Shows commit history,Commits with a message,Deletes a commit,C,git commit -m allows you to commit changes with a message inline.
Which command commits changes without staging?,git force,git commit -a,git auto-commit,git commit -s,B,git commit -a commits tracked files directly without staging.
What file is used by Git to track commits?,.gitignore,.gitconfig,.git directory,.commitlog,C,"The .git directory contains all the tracking information, including commits."
What command shows changes staged for the next commit?,git changes,git diff --staged,git log,git commit --preview,B,git diff --staged shows changes in the index (staged files).
Which command unstages a file?,git commit --remove,git delete --staged,git reset HEAD <file>,git unadd <file>,C,git reset HEAD <file> unstages a file from the index.
How do you create an initial commit?,git init && git commit -m 'first commit',git commit --first,git push --init,git add commit,A,"You must initialize the repo, add files, and commit them."
Which flag amends the last commit?,#NAME?,#NAME?,#NAME?,#NAME?,B,git commit --amend updates the last commit.
What happens if you commit without staging any changes?,An error occurs,All files are committed,A commit with no changes is created,Git reverts to a previous state,C,Git will create an empty commit if no files were staged.
Which command shows all commits made in a repository?,git commits,git history,git log,git log,D,git log lists all commits in the current branch.
How do you change the last commit message?,git commit --edit,git commit --redo,git commit --amend,git commit --amend,D,"git commit --amend lets you modify the last commit, including its message."
How can you view the changes of a specific commit?,git view <hash>,git commit <hash>,git log -v,git show <commit-hash>,D,git show <hash> displays changes and metadata of a commit.
What is a commit hash?,The message used in a commit,A unique identifier for a commit,The branch name,A repository URL,B,Every commit has a SHA hash which uniquely identifies it.
How do you revert a commit?,git undo,git reset HEAD,git revert <commit-hash>,git revert <commit-hash>,D,git revert creates a new commit that undoes the specified commit.
Which command discards changes in the working directory?,git revert,git reset --soft,git stash pop,git checkout -- <file>,D,git checkout -- <file> reverts the file to its last committed state.
How do you squash multiple commits?,git rebase -i,git squash commits,git rebase -i,git commit --squash,A,git rebase -i lets you combine (squash) multiple commits.
What is the minimum requirement to make a commit?,Staging and message,Staging and message,Message only,No requirement,A,To make a commit you need to stage changes and provide a message.
Which command removes the last commit but keeps the changes?,git reset --soft HEAD~1,git revert HEAD,git reset --soft HEAD~1,git remove HEAD,A,git reset --soft HEAD~1 removes the commit but keeps the changes staged.
What is the use of git commit --dry-run?,Simulates a commit without recording it,Stages all files,Simulates a commit without recording it,Shows file types,A,#NAME?
