"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which Azure service is designed for storing large amounts of unstructured data like images and videos?","Azure Table Storage","Azure Queue Storage","Azure Blob Storage","Azure SQL Database","C","Azure Blob Storage is used to store large amounts of unstructured data such as text or binary data, including images and videos."
"What is a container in Azure Blob Storage?","A logical grouping of blobs","A virtual machine image","An access policy definition","A SQL schema object","A","Containers are used to organize blobs in Azure Blob Storage, similar to folders in a file system."
"Which type of blob is most commonly used for storing large files such as media?","Page Blob","Queue Blob","Block Blob","Append Blob","C","Block Blobs are optimized for streaming and storing large amounts of unstructured data like documents, images, and videos."
"Which tool is commonly used to move data into Azure Blob Storage from a local system?","SSMS","AzCopy","Azure Monitor","Azure Advisor","B","AzCopy is a command-line utility used for uploading, downloading, and copying data to and from Azure Blob Storage."
"What does Soft Delete in Azure Blob Storage allow?","Encrypts blobs on deletion","Permanently deletes blobs immediately","Recovers blobs that were deleted","Creates multiple snapshots","C","Soft Delete enables recovery of blob data after it has been deleted by maintaining previous versions."
"Which Azure Blob access tier provides the lowest storage cost?","Hot","Cool","Archive","Premium","C","The Archive tier offers the lowest cost for data storage but with higher latency and retrieval cost, suitable for long-term data retention."
"Which feature of Azure Blob Storage enables version tracking for blobs?","Blob Snapshots","Blob Tiering","Blob Versioning","Lifecycle Management","C","Blob Versioning maintains previous versions of an object, allowing you to recover older versions when needed."
"What protocol does Azure Blob Storage support for secure file transfer?","HTTP","SFTP","FTP","RDP","B","Azure Blob Storage supports SFTP (Secure File Transfer Protocol) for secure file transfer capabilities."
"Which Azure Blob feature helps automate data movement between access tiers?","Replication","Soft Delete","Lifecycle Management","Managed Identity","C","Lifecycle Management policies allow automatic movement of blobs between tiers based on last modified date and access patterns."
"Which authentication method is recommended for secure programmatic access to Azure Blob Storage?","Shared Key","Anonymous Access","Azure AD-based access","Access SAS tokens","C","Azure Active Directory provides secure, centralized identity and access control for programmatic access to Azure Blob Storage."
"What is a Page Blob typically used for in Azure?","Storing database files and virtual hard disks","Storing log files for auditing","Streaming media content","Storing append-only data","A","Page blobs are designed for frequent read/write operations and are commonly used to store VHDs and database files."
