"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the default file format used by Databricks when saving DataFrames?","CSV","Delta","Parquet","Avro","B","Databricks defaults to Delta Lake format, which supports ACID transactions and schema enforcement."
"Which PySpark command is used to read a CSV file in Databricks?","spark.read.load()","spark.read.text()","spark.read.csv()","spark.load.csv()","C","spark.read.csv() is used to load CSV files into a DataFrame in Databricks with PySpark."
"What is the use of display() in Databricks notebooks?","Saves the DataFrame","Exports as Excel","Renders the DataFrame visually","Filters null values","C","display() provides a rich visual representation of a DataFrame in Databricks notebooks."
"What does the 'dbutils.fs' module provide in Databricks?","Visualization tools","Low-level Spark optimizations","File system utilities","Data profiling","C","dbutils.fs provides utilities to interact with Databricks Filesystem (DBFS), like ls, cp, mv, etc."
"Which command is used to create a Delta table from a DataFrame?","df.saveAsDelta()","df.write.delta()","df.write.format('delta').save()","df.write.parquet()","C","Delta tables are created using df.write.format('delta').save('path') in PySpark."
"Which of the following provides notebook versioning in Databricks?","MLflow","GitHub","Revisions","Delta Log","C","Databricks notebooks have Revisions for automatic version tracking."
"Which of the following is true about Delta Lake?","Supports only batch jobs","Doesn't enforce schema","Supports ACID transactions","Does not support append","C","Delta Lake supports ACID transactions and schema enforcement, making it suitable for reliable analytics."
"Which command is used to list files in DBFS?","dbutils.data.list()","dbutils.fs.ls()","spark.fs.list()","os.listdir()","B","dbutils.fs.ls('/path') is used to list files and directories in DBFS."
"What is a workspace in Databricks?","Cloud file storage","Spark cluster configuration","User interface to manage notebooks and jobs","SQL database engine","C","Workspace is the UI in Databricks for managing notebooks, jobs, libraries, and clusters."
"What does the 'df.printSchema()' method do in PySpark?","Saves schema to file","Prints column values","Shows schema of DataFrame","Deletes null rows","C","printSchema() displays the structure of a DataFrame including columns and their data types."
"Which of the following provides notebook versioning in Databricks? (variant 10)","MLflow","GitHub","Revisions","Delta Log","C","Databricks notebooks have Revisions for automatic version tracking."
"Which of the following is true about Delta Lake? (variant 11)","Supports only batch jobs","Doesn't enforce schema","Supports ACID transactions","Does not support append","C","Delta Lake supports ACID transactions and schema enforcement, making it suitable for reliable analytics."
"Which command is used to list files in DBFS? (variant 12)","dbutils.data.list()","dbutils.fs.ls()","spark.fs.list()","os.listdir()","B","dbutils.fs.ls('/path') is used to list files and directories in DBFS."
"What is a workspace in Databricks? (variant 13)","Cloud file storage","Spark cluster configuration","User interface to manage notebooks and jobs","SQL database engine","C","Workspace is the UI in Databricks for managing notebooks, jobs, libraries, and clusters."
"What does the 'df.printSchema()' method do in PySpark? (variant 14)","Saves schema to file","Prints column values","Shows schema of DataFrame","Deletes null rows","C","printSchema() displays the structure of a DataFrame including columns and their data types."
"Which of the following provides notebook versioning in Databricks? (variant 15)","MLflow","GitHub","Revisions","Delta Log","C","Databricks notebooks have Revisions for automatic version tracking."
"Which of the following is true about Delta Lake? (variant 16)","Supports only batch jobs","Doesn't enforce schema","Supports ACID transactions","Does not support append","C","Delta Lake supports ACID transactions and schema enforcement, making it suitable for reliable analytics."
"Which command is used to list files in DBFS? (variant 17)","dbutils.data.list()","dbutils.fs.ls()","spark.fs.list()","os.listdir()","B","dbutils.fs.ls('/path') is used to list files and directories in DBFS."
"What is a workspace in Databricks? (variant 18)","Cloud file storage","Spark cluster configuration","User interface to manage notebooks and jobs","SQL database engine","C","Workspace is the UI in Databricks for managing notebooks, jobs, libraries, and clusters."
"What does the 'df.printSchema()' method do in PySpark? (variant 19)","Saves schema to file","Prints column values","Shows schema of DataFrame","Deletes null rows","C","printSchema() displays the structure of a DataFrame including columns and their data types."
"Which of the following provides notebook versioning in Databricks? (variant 20)","MLflow","GitHub","Revisions","Delta Log","C","Databricks notebooks have Revisions for automatic version tracking."
"Which of the following is true about Delta Lake? (variant 21)","Supports only batch jobs","Doesn't enforce schema","Supports ACID transactions","Does not support append","C","Delta Lake supports ACID transactions and schema enforcement, making it suitable for reliable analytics."
"Which command is used to list files in DBFS? (variant 22)","dbutils.data.list()","dbutils.fs.ls()","spark.fs.list()","os.listdir()","B","dbutils.fs.ls('/path') is used to list files and directories in DBFS."
"What is a workspace in Databricks? (variant 23)","Cloud file storage","Spark cluster configuration","User interface to manage notebooks and jobs","SQL database engine","C","Workspace is the UI in Databricks for managing notebooks, jobs, libraries, and clusters."
"What does the 'df.printSchema()' method do in PySpark? (variant 24)","Saves schema to file","Prints column values","Shows schema of DataFrame","Deletes null rows","C","printSchema() displays the structure of a DataFrame including columns and their data types."
"Which of the following provides notebook versioning in Databricks? (variant 25)","MLflow","GitHub","Revisions","Delta Log","C","Databricks notebooks have Revisions for automatic version tracking."
"Which of the following is true about Delta Lake? (variant 26)","Supports only batch jobs","Doesn't enforce schema","Supports ACID transactions","Does not support append","C","Delta Lake supports ACID transactions and schema enforcement, making it suitable for reliable analytics."
"Which command is used to list files in DBFS? (variant 27)","dbutils.data.list()","dbutils.fs.ls()","spark.fs.list()","os.listdir()","B","dbutils.fs.ls('/path') is used to list files and directories in DBFS."
"What is a workspace in Databricks? (variant 28)","Cloud file storage","Spark cluster configuration","User interface to manage notebooks and jobs","SQL database engine","C","Workspace is the UI in Databricks for managing notebooks, jobs, libraries, and clusters."
"What does the 'df.printSchema()' method do in PySpark? (variant 29)","Saves schema to file","Prints column values","Shows schema of DataFrame","Deletes null rows","C","printSchema() displays the structure of a DataFrame including columns and their data types."
