QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which file type is best used to store variable values securely?,main.tf,output.tf,terraform.tfvars,.auto.tfvars,D,.auto.tfvars is automatically loaded and suitable for storing variable values.
What type would you use for a variable that holds a list of strings?,list(string),map(string),set(string),tuple,A,list(string) is used for a list of strings in Terraform.
How do you reference a variable inside a resource block?,${var.variable_name},$var.variable_name,var:variable_name,{var.variable_name},A,Terraform references variables using the syntax ${var.variable_name}.
"What is the output of 'length([a, b, c])' in Terraform?",2,4,3,1,C,"The length() function returns the number of elements, which is 3 in this case."
What is the use of locals in Terraform?,To create modules,To define resource dependencies,To store constant values,To override providers,C,Locals are used to store intermediate or constant values in a configuration.
How do you mark a variable as sensitive?,sensitive = true,secure = yes,secret = true,confidential = true,A,Setting 'sensitive = true' marks the variable to avoid showing its value in logs.
What is the purpose of the 'output' block in Terraform?,To configure backend,To display result values after apply,To log errors,To manage modules,B,The 'output' block is used to show values after Terraform execution.
Which function converts a string to a number in Terraform?,parse(),tonumber(),string_to_number(),convert(),B,tonumber() is used to convert a string to a number in Terraform.
How do you export an output from a module?,export output {...},output = {...},output 'name' { value = module.module_name.value },show output {...},C,Outputs from modules are exposed using output blocks with module reference.
What is a valid type for a Terraform variable?,secret,resource,map,group,C,"Terraform supports types like string, number, bool, list, and map."
What is the purpose of variables in Terraform?,To create new resources,To store logs,To parameterize configurations,To define providers,C,Variables in Terraform are used to make configurations flexible and reusable.
Where do you define custom variable descriptions?,In a locals block,In a map type,Inside the variable block using description,In output.tf,C,The 'description' argument can be used inside a variable block to document it.
Which file overrides default variable values?,backend.tf,terraform.tfstate,terraform.tfvars,main.tf,C,"terraform.tfvars is used to assign values to variables, overriding defaults."
Which command shows all output values after apply?,terraform show,terraform outputs,terraform apply,terraform output,D,'terraform output' displays the output values after execution.
Which function can be used to concatenate two strings in Terraform?,append(),format(),concat(),join(),C,concat() is used to concatenate multiple strings or lists in Terraform.
Where can you define variable default values?,terraform.tfstate,main.tf,variables.tf,terraform.tfvars,C,Default values are typically defined inside variables.tf file.
What data type is used to pass multiple key-value pairs to a variable?,list,set,map,tuple,C,A map is used to store multiple key-value pairs.
How do you define a string variable with a default value?,variable 'v' { default = 'x' },var 'v' = 'x',variable 'v': 'x',define 'v' = 'x',A,Variables are defined using the block variable with a default key.
Which keyword is used to define a variable in Terraform?,input,define,var,variable,D,Terraform uses the 'variable' keyword to define input variables.
How do you define a variable that accepts only two allowed values?,Use a map,Use a validation block,Use a locals block,Use dynamic block,B,Validation blocks inside variables help enforce allowed values.
