QuestionText, OptionA, OptionB, OptionC, OptionD, CorrectAnswer, Explanation
"What is ASP.NET Identity used for?","Logging errors","User authentication and authorization","Data encryption","Network monitoring","B","ASP.NET Identity is used for managing user authentication and authorization in web applications."
"Which of the following is the default user class in ASP.NET Identity?","IdentityBase","ApplicationUser","UserManager","IdentityUserBase","B","'ApplicationUser' typically inherits from 'IdentityUser' and is the default class used for user info customization."
"What class is used to manage users in ASP.NET Identity?","RoleManager","SignInManager","UserManager","IdentityHelper","C","The 'UserManager' class handles user-related operations like creation, deletion, update, etc."
"What class handles sign-in operations in ASP.NET Identity?","LoginManager","UserManager","SignInHelper","SignInManager","D","The 'SignInManager' class manages user sign-in logic in ASP.NET Identity."
"Which method creates a new user in ASP.NET Identity?","CreateUser()","CreateAsync()","AddUserAsync()","RegisterUser()","B","The 'CreateAsync()' method of UserManager is used to create new users asynchronously."
"How are roles managed in ASP.NET Identity?","Using UserManager","Using RoleManager","Using ClaimManager","Using AuthService","B","'RoleManager' is used to manage roles in ASP.NET Identity, including creating and deleting roles."
"What database technology does ASP.NET Identity use by default?","MongoDB","SQL Server","PostgreSQL","Redis","B","By default, ASP.NET Identity uses SQL Server as the backend database."
"What is a Claim in ASP.NET Identity?","A database query","A log entry","A key-value pair representing user data","A user object","C","A Claim is a statement about a user, such as name, role, or age, stored as key-value pairs."
"What is the purpose of PasswordHasher in ASP.NET Identity?","To encrypt the connection string","To hash and verify passwords","To manage JWTs","To encrypt emails","B","'PasswordHasher' is used to securely hash and verify user passwords."
"Which method checks if a user exists by username?","FindAsync()","UserExistsAsync()","FindByNameAsync()","GetUserAsync()","C","'FindByNameAsync()' checks if a user exists based on the username in ASP.NET Identity."
How are external logins like Google/Facebook handled?,Through ASP.NET Forms,With OAuth/OIDC middleware,With direct SQL integration,Using LDAP only,B,External logins are integrated using OAuth or OpenID Connect (OIDC) middleware in ASP.NET Identity.
Which file configures ASP.NET Identity services in .NET Core?,Program.cs,Startup.cs,Identity.cs,AppSettings.json,B,ASP.NET Identity services are commonly configured in the Startup.cs file using ConfigureServices().
What method signs out a user?,LogoutAsync(),SignOff(),ClearUser(),RemoveIdentity(),A,The SignInManager.SignOutAsync() method is used to log a user out securely.
What does AddDefaultIdentity() method do?,Adds only roles,Configures minimal JWT,Adds all identity services with UI,Only registers admin,C,AddDefaultIdentity() sets up identity services and includes default UI for authentication.
What attribute restricts access to authorized users?,[ValidateUser],[Authorize],[Authenticate],[IdentityRequired],B,[Authorize] is used in ASP.NET Core to restrict controller or action access to authenticated users.
How do you reset a user’s password securely?,Generate a new password manually,Use ResetPasswordToken + ResetPasswordAsync,Set Password property directly,Remove and recreate the user,B,Resetting passwords securely requires generating a token and using ResetPasswordAsync().
Which interface defines user ID and username?,IUserInfo,IUserManager,IUser,IPrincipal,C,IUser interface in ASP.NET Identity defines properties like Id and UserName.
Can ASP.NET Identity support 2FA (Two-Factor Authentication)?,No,Yes,Only for admins,Only with LDAP,B,ASP.NET Identity supports 2FA using providers like SMS or authenticator apps.
What method checks if a user is in a specific role?,IsUserInRole(),CheckRole(),IsInRoleAsync(),FindRoleAsync(),C,IsInRoleAsync() is the standard method to check if a user belongs to a given role.
What are Identity Claims typically used for?,Logging access attempts,Identifying routes,Storing user metadata like email, role,Encrypting database values,C,Claims are key-value pairs used to store user-specific data like email, roles, etc.
