QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which T-SQL clause is used to restrict the number of rows returned by a query in SQL Server?,LIMIT,TOP,ROWNUM,OFFSET,B,"In SQL Server, the TOP clause is used to limit the number of rows returned in a result set."
What is the correct way to declare a variable in T-SQL?,DECLARE @count INT;,VAR count AS INTEGER;,SET count INT;,INT @count;,A,The DECLARE keyword is used in T-SQL to declare a variable. Variables are prefixed with '@'.
Which command is used to remove a table and all its data permanently from a SQL Server database?,DELETE,REMOVE,DROP,TRUNCATE,C,The DROP command completely removes a table structure and its data from the database.
What is the difference between DELETE and TRUNCATE in T-SQL?,DELETE is faster than TRUNCATE,TRUNCATE can be rolled back but DELETE cannot,DELETE removes rows one by one and logs each delete,TRUNCATE allows WHERE clause; DELETE does not,C,DELETE logs individual row deletions and allows WHERE clause; TRUNCATE removes all rows without logging each row.
Which T-SQL command is used to create a stored procedure?,CREATE FUNCTION,MAKE PROCEDURE,BEGIN PROCEDURE,CREATE PROCEDURE,D,The CREATE PROCEDURE statement defines a new stored procedure in SQL Server.
What is the default isolation level in SQL Server?,READ UNCOMMITTED,READ COMMITTED,REPEATABLE READ,SERIALIZABLE,B,"SQL Server uses READ COMMITTED as the default isolation level, preventing dirty reads."
Which system stored procedure is used to get a list of all user-defined stored procedures?,sp_help,sp_stored_procedures,sp_list_procs,sp_helptext,B,sp_stored_procedures returns a list of all user-defined and system stored procedures.
Which command is used to recompile a stored procedure in SQL Server?,EXECUTE sp_recompile,RECOMPILE PROCEDURE,ALTER PROCEDURE RECOMPILE,sp_flush_proc_cache,A,sp_recompile marks a stored procedure to be recompiled the next time it is run.
What is the purpose of the @@IDENTITY function?,Returns the ID of last user,Returns the last inserted identity value in current scope,Returns the last inserted identity value in any scope,Returns the count of identity columns,C,@@IDENTITY returns the last identity value generated for any table in the current session.
Which of the following is NOT a valid T-SQL transaction control statement?,BEGIN TRAN,END TRAN,ROLLBACK TRAN,SAVE TRAN,B,END TRAN is not a valid command; COMMIT TRAN is used to end a transaction.
Which system function returns the name of the currently executing user?,SUSER_NAME(),CURRENT_USER(),USER_NAME(),SESSION_USER(),B,CURRENT_USER returns the name of the user executing the query in the current context.
Which type of index would you create to enforce uniqueness in a column?,Clustered Index,Full-text Index,Unique Index,XML Index,C,Unique indexes prevent duplicate values in the indexed columns.
Which SQL Server object is used to store compiled code for reuse with parameters?,View,Stored Procedure,Function,Cursor,B,Stored procedures encapsulate T-SQL code and can accept parameters.
Which clause in a SELECT query allows sorting of results?,GROUP BY,ORDER BY,SORT BY,RANK BY,B,ORDER BY is used to sort result sets in ascending or descending order.
What does the SET NOCOUNT ON statement do?,Prevents insert operations,Suppresses the message that shows the number of rows affected,Prevents deletion of records,Limits output columns,B,SET NOCOUNT ON suppresses the message indicating how many rows were affected by a T-SQL statement.
Which keyword is used in T-SQL to remove duplicate rows from the result set?,DISTINCT,UNIQUE,ONLY,REMOVE DUPLICATES,A,DISTINCT eliminates duplicate rows from the result of a SELECT statement.
Which of the following operators is used for pattern matching in T-SQL?,=,LIKE,IN,BETWEEN,B,LIKE is used to search for a specified pattern in a column.
Which function returns the total number of rows in a result set?,SUM(),TOTAL(),COUNT(),ROWS(),C,COUNT() returns the number of rows that match a specified condition.
Which data type is suitable to store monetary values in SQL Server?,FLOAT,DECIMAL,MONEY,INT,C,MONEY is designed specifically to store monetary or currency values.
Which clause is mandatory in a SELECT query that uses GROUP BY and wants to filter aggregated results?,ORDER BY,WHERE,HAVING,LIMIT,C,HAVING filters aggregated results after GROUP BY is applied.
What does the COALESCE() function do in SQL Server?,Returns the first NULL value,Replaces all NULLs with zeros,Returns the first non-null value in the list,Combines strings together,C,COALESCE returns the first non-null expression among its arguments.
Which command will permanently delete all data and structure of a table?,DELETE,DROP,TRUNCATE,REMOVE,B,DROP removes both data and the table definition permanently.
Which T-SQL statement creates a user-defined function?,CREATE FUNCTION,DEFINE FUNCTION,MAKE FUNCTION,NEW FUNCTION,A,CREATE FUNCTION defines a user-defined function in T-SQL.
Which constraint ensures that a column cannot have NULL values?,DEFAULT,NOT NULL,PRIMARY KEY,CHECK,B,NOT NULL constraint ensures that a column always has a value.
What does the RANK() function return in T-SQL?,Random integer,Order without gaps,Consecutive rank values with duplicates sharing same rank,Total number of rows,C,"RANK() returns a ranking of rows with duplicates sharing the same rank, causing gaps."
Which built-in function is used to convert a value to a different data type?,TO_TYPE(),CAST(),CONVERTTO(),AS_TYPE(),B,CAST() is used in T-SQL to convert a value from one data type to another.
Which of these is a valid constraint for ensuring value in a column falls in a range?,DEFAULT,PRIMARY KEY,CHECK,NOT NULL,C,"CHECK constraint enforces a rule on column values, such as being within a range."
Which type of JOIN returns all rows from the left table and matched rows from the right table?,INNER JOIN,RIGHT JOIN,FULL OUTER JOIN,LEFT JOIN,D,LEFT JOIN returns all rows from the left table even if there's no match in the right table.
Which function would you use to concatenate two strings in T-SQL?,MERGE(),APPEND(),CONCAT(),JOIN(),C,CONCAT() joins two or more strings into one string.
Which T-SQL feature allows you to loop through a result set row by row?,WHILE loop,CURSOR,GOTO statement,CASE statement,B,Cursors allow row-by-row processing of query results in T-SQL.
What does the TRY...CATCH block in T-SQL do?,Attempts to optimize queries,Defines an infinite loop,Handles errors gracefully,Commits a transaction automatically,C,TRY...CATCH is used to handle runtime errors in T-SQL without aborting execution.
Which keyword is used to assign a value to a variable in T-SQL?,DEFINE,EQUAL,SET,DECLARE,C,SET is used to assign values to variables after declaration in T-SQL.
Which of the following is true about primary keys in SQL Server?,They allow null values,A table can have multiple primary keys,They uniquely identify rows,They are optional in all tables,C,Primary keys uniquely identify each row and do not allow null values.
Which keyword is used to add a new column to an existing table?,CREATE COLUMN,APPEND COLUMN,INSERT COLUMN,ALTER TABLE,D,"ALTER TABLE is used to add, delete, or modify columns in an existing table."
Which clause is used to rename a column in the result set?,RENAME,AS,ALIAS,CHANGE,B,The AS keyword is used to provide an alias to a column or table in the output.
What is the maximum number of non-clustered indexes per table in SQL Server 2019?,249,999,1024,Unlimited,C,SQL Server 2019 supports up to 999 non-clustered indexes but allows 1024 total indexes.
Which of the following is used to improve full-text search in SQL Server?,Hash Index,XML Index,Full-Text Index,Spatial Index,C,Full-Text Indexes are designed to support fast text searching capabilities.
Which system view lists all tables in a SQL Server database?,sys.tables,sys.databases,sys.columns,sys.indexes,A,sys.tables contains a row for each user table in the database.
Which keyword is used to define a default value for a column?,SET DEFAULT,DEFAULT,CONSTRAINT,FALLBACK,B,The DEFAULT keyword sets a default value when no value is provided for the column.
Which clause is used to group rows sharing the same values?,GROUP BY,SORT BY,CLUSTER BY,ORDER BY,A,GROUP BY groups rows that have the same values into summary rows.
