QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which data structure automatically removes duplicate elements?,List,Tuple,Set,Dictionary,C,Sets automatically remove duplicate elements in Python.
"What is the output of: len(set([1, 2, 2, 3]))?",4,3,2,1,B,"The set will be {1, 2, 3}, so the length is 3."
How do you create an empty set?,{},[],set(),(),C,set() creates an empty set; {} creates an empty dictionary.
Which of the following operations is used to find common elements in sets?,union(),intersection(),difference(),update(),B,intersection() returns elements present in both sets.
What does the union() method do in sets?,Finds common elements,Updates set in place,Combines all unique elements from both sets,Removes duplicates,C,union() returns a new set with elements from both sets.
Which operator performs set difference in Python?,&,-,^,!,B,'-' returns elements in the first set but not in the second.
"What will be the result of: {1, 2, 3} & {2, 3, 4}?","{1, 4}","{2, 3}","{1, 2, 3, 4}",{},B,'&' returns the intersection of sets.
How do you add a single element to a set?,append(),add(),insert(),extend(),B,add() adds a single element to a set.
What is the output of: set('apple')?,"['a', 'p', 'p', 'l', 'e']","{'a', 'e', 'l', 'p'}","('a', 'p', 'l', 'e')",{'apple'},B,set() creates a set of unique characters.
Which method removes all items from a set?,clear(),remove(),discard(),pop(),A,clear() removes all elements from the set.
"What is the output of: {1, 2, 3}.issubset({1, 2, 3, 4})?",TRUE,FALSE,Error,None,A,"Set {1, 2, 3} is a subset of {1, 2, 3, 4}."
Which set method is used to remove a specific element?,remove(),discard(),pop(),Both A and B,D,Both remove() and discard() remove specific elements.
What does the symmetric_difference() method return?,Elements common to both sets,Elements only in one set,Union of sets,Intersection of sets,B,It returns elements in either set but not both.
"What is the result of: set([1, 2, 3]) == set([3, 2, 1])?",FALSE,TRUE,Error,None,B,"Sets are unordered, so equality is based on elements."
What happens if you use remove() for a non-existent element?,Does nothing,Adds the element,Raises an error,Creates an empty set,C,remove() raises a KeyError if element not found.
Which of the following methods returns a shallow copy of a set?,copy(),clone(),copyset(),replicate(),A,copy() returns a shallow copy of the set.
"What is the output of {1, 2, 3}.isdisjoint({4, 5})?",FALSE,TRUE,None,Error,B,"The sets have no common elements, so isdisjoint() returns True."
What does the update() method do to a set?,Returns union without modifying original,Clears the set,Adds elements from another iterable,Removes elements,C,update() adds elements from another iterable to the set.
Which of these is an immutable version of a set?,tuple,frozenlist,frozenset,lockedset,C,frozenset is an immutable version of a Python set.
What happens when pop() is called on a set?,Removes last element,Removes first element,Removes a random element,Raises an error,C,pop() removes and returns an arbitrary element from the set.
"What is the result of set([1, 2, 2, 3]) | set([3, 4])?","{1, 2, 3, 4}","{2, 3, 4}","{1, 2, 3}","{2, 3}",A,The union of both sets includes all unique values.
Which of the following will raise an error if an item is not found?,discard(),remove(),pop(),clear(),B,remove() raises a KeyError if the element does not exist.
Which of the following converts a list into a set?,set(list),list(set),to_set(),setof(),A,"set(list) converts a list to a set, removing duplicates."
"What is the result of this code? set1 = {1, 2}; set1.clear()",{},"{1, 2}",None,set(),D,"clear() empties the set, resulting in set()."
Which method returns True if a set contains no elements?,isempty(),clear(),not set_var,len(set_var) > 0,C,not set_var is True if the set is empty.
