"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is inheritance in C#?","A way to create arrays","A technique to hide data","A way to define interfaces","A mechanism for deriving a class from another","D","Inheritance allows a class (derived class) to inherit fields and methods from another class (base class)."
"Which keyword is used to inherit a class in C#?","inherits","extends","base",":","D","In C#, inheritance is represented using a colon (:) after the derived class name."
"What type of inheritance is directly supported in C#?","Multiple inheritance","Multilevel inheritance","Hybrid inheritance","Parallel inheritance","B","C# supports single and multilevel inheritance; multiple class inheritance is not supported directly."
"Which keyword is used to access base class members?","super","base","parent","this","B","The 'base' keyword is used to refer to the base class constructor or members."
"What is the default access modifier for class members?","private","public","protected","internal","A","If no access modifier is specified, class members are private by default."
"Which access modifier allows members to be accessed in derived classes?","internal","public","protected","private","C","Protected members are accessible within their own class and by derived class instances."
"What is the purpose of the virtual keyword in C#?","To define static methods","To enable method hiding","To allow a method to be overridden","To declare read-only fields","C","The virtual keyword allows a method to be overridden in a derived class."
"What keyword is used to override a virtual method?","override","new","virtual","base","A","The override keyword is used in derived classes to override virtual methods."
"What is the output of calling a virtual method from a base class reference pointing to a derived object?","Base class method is called","Derived class method is called","Compiler error","Runtime error","B","When a virtual method is overridden, the derived class implementation is executed even if accessed through base reference."
"Can a class inherit multiple base classes in C#?","Yes","No","Only in .NET 6","Only for abstract classes","B","C# does not support multiple inheritance with classes. It can be done using interfaces."
"Which of the following can be inherited?","Constructors","Static constructors","Fields and methods","Destructors","C","Non-private fields and methods can be inherited; constructors are not inherited."
"What happens if a method is redefined with 'new' keyword?","It overrides the base method","It hides the base class method","It throws an error","It replaces the parent class","B","'new' is used to hide the base class implementation rather than override it."
"What is the default base class of all classes in C#?","System.Object","System.Base","System.Class","Root","A","All classes in C# are derived from System.Object by default."
"What does the abstract keyword indicate?","The class can be instantiated","The class must be static","The class or method must be overridden","The method is implemented","C","An abstract method has no body and must be implemented in derived classes."
"What type of method must be overridden in a derived class?","static","private","abstract","sealed","C","Abstract methods must be implemented in a non-abstract derived class."
"What is the role of the sealed keyword?","Prevents method overriding","Prevents class from being instantiated","Allows inheritance","Hides class","A","sealed prevents further overriding of a method or inheritance of a class."
"Which class members are inherited by default?","private","protected","constructors","static","B","protected members are inherited but accessible only within derived classes."
"Which keyword prevents a class from being inherited?","abstract","readonly","static","sealed","D","sealed keyword restricts further inheritance."
"Which feature does C# use instead of multiple class inheritance?","Enums","Structs","Interfaces","Delegates","C","C# supports multiple interface inheritance instead of multiple class inheritance."
"How do you call a base class constructor from a derived class?","super()","this()","base()","init()","C","Use base() to call a base class constructor from a derived class constructor."
