"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the purpose of ASP.NET Core Web API?","To render HTML pages","To serve static content only","To expose HTTP services for clients","To compile Razor views","C","ASP.NET Core Web API is used to build HTTP services for various clients like mobile apps and web browsers."
"Which attribute is used to define a controller in Web API?","[Page]","[HttpController]","[ApiController]","[Controller]","C","[ApiController] designates a class as a Web API controller in ASP.NET Core."
"Which attribute defines HTTP GET methods?","[Route]","[HttpGet]","[HttpPost]","[Get]","B","[HttpGet] maps an action to handle HTTP GET requests."
"What does the [FromBody] attribute do?","Gets values from the route","Injects configuration","Binds a parameter from the request body","Sets controller name","C","[FromBody] binds data from the body of an HTTP request to a method parameter."
"Which middleware enables routing to controller actions?","UseEndpoints","UseMvc","UseAuthorization","UseStaticFiles","A","UseEndpoints with MapControllers routes HTTP requests to controller actions."
"What is the default response format for Web API in ASP.NET Core?","XML","YAML","JSON","CSV","C","JSON is the default format used for serializing Web API responses."
"What does [Route(""api/[controller]"")] specify?","The route template for controller-based actions","Request header value","Connection string location","The logging location","A","It defines a route template where [controller] is replaced by the controller name."
"What does IActionResult represent?","An HTML response only","A specific database query result","A general HTTP response result","A view component","C","IActionResult is a return type used for HTTP response data from controller actions."
"Which method returns a 200 OK result with data?","BadRequest()","Ok()","NotFound()","NoContent()","B","Ok() returns an HTTP 200 response with optional data."
"Which method is used to handle HTTP POST requests?","Get()","Post()","[HttpPut]","Add()","B","Post() method decorated with [HttpPost] handles HTTP POST requests."
"What is the use of Swagger in Web API?","To secure APIs","To enable CORS","To generate interactive API documentation","To run database migrations","C","Swagger is used to create interactive documentation for exploring Web APIs."
"What NuGet package is used to enable Swagger in .NET Core?","Swashbuckle.AspNetCore","Microsoft.WebApi","Swagger.Core","ApiDocs.NET","A","Swashbuckle.AspNetCore enables integration of Swagger with .NET Core projects."
"Which attribute is used for HTTP PUT methods?","[HttpPut]","[PutData]","[Send]","[Put]","A","[HttpPut] is used for handling HTTP PUT requests in Web API controllers."
"What does the [FromQuery] attribute bind to?","Request header","Route parameter","Query string","Database column","C","[FromQuery] binds a method parameter from the query string part of the URL."
"What does the CreatedAtAction() method return?","204 No Content","400 Bad Request","201 Created with location header","500 Internal Server Error","C","CreatedAtAction() returns a 201 response with a location header to the created resource."
"What is the base class for API controllers in .NET Core?","WebPage","ControllerBase","RazorPage","ObjectResult","B","ControllerBase is the base class for API controllers (without view support)."
"What does NoContent() return?","204 No Content","404 Not Found","202 Accepted","200 OK","A","NoContent() returns an HTTP 204 response, typically for successful PUT/DELETE without response body."
"How is JSON formatting configured in Web API?","services.ConfigureJson()","app.UseJson()","AddControllers().AddJsonOptions(...)","AddJsonFormat()","C","Use AddControllers().AddJsonOptions to configure JSON formatting and serialization settings."
"Which method returns a 404 Not Found result?","Ok()","BadRequest()","NotFound()","NoContent()","C","NotFound() returns an HTTP 404 response if the resource is not found."
"What does the [Produces] attribute do?","Defines route templates","Specifies HTTP method","Specifies response content type like application/json","Logs request time","C","[Produces] sets the content type (like JSON or XML) for the response."
