"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is abstraction in C#?","Hiding data from unauthorized access","Hiding implementation details and showing only functionality","Overloading methods with different parameters","Creating multiple constructors","B","Abstraction means exposing only essential features while hiding implementation details."
"Which keyword is used to define an abstract class in C#?","interface","base","abstract","virtual","C","The 'abstract' keyword is used to declare a class as abstract."
"Can you instantiate an abstract class?","Yes, using new operator","No, it must be inherited","Only in sealed classes","Only in static classes","B","An abstract class cannot be instantiated directly."
"What must a non-abstract class do with abstract methods?","Ignore them","Override them","Make them virtual","Declare them static","B","A non-abstract class must provide implementation for all inherited abstract methods."
"What does an interface in C# define?","A class with static members","A set of methods with implementation","A contract with only method signatures","An enum group","C","Interfaces define method signatures and serve as contracts for classes that implement them."
"Which keyword is used to implement an interface?","extends","inherits","interface","implements (using :)","D","Interfaces are implemented using colon (:) followed by interface name."
"What access modifier is used for interface members?","private","protected","internal","public (implicitly)","D","All interface members are implicitly public and cannot have access modifiers."
"Which of the following can be used to achieve abstraction?","Fields","Constructors","Interfaces and Abstract classes","Static methods","C","Abstraction is achieved using abstract classes and interfaces."
"Which of the following is TRUE about abstract methods?","They must be static","They have implementation","They end with semicolon and no body","They are sealed","C","Abstract methods contain no body and must be overridden in derived classes."
"Can an abstract class have constructors?","No","Yes","Only if static","Only in sealed classes","B","Abstract classes can have constructors to initialize fields."
"Which class must override all members of an interface?","Static class","Abstract class","Partial class","Concrete class","D","Concrete (non-abstract) classes must implement all members of an interface."
"Which member type cannot be abstract?","Method","Event","Field","Property","C","Fields cannot be abstract; only methods, properties, events, and indexers can."
"What is the purpose of abstraction?","To implement static methods","To define data types","To reduce complexity and increase reusability","To serialize data","C","Abstraction hides complex logic and shows only essential parts, enhancing reusability."
"Can a class implement multiple interfaces?","No","Yes","Only one at a time","Only if it’s static","B","C# supports multiple interface inheritance."
"Can an interface contain fields?","Yes","Only static fields","No","Only constants","D","Interfaces can contain constants but not instance fields."
"Which class type cannot contain abstract methods?","Abstract class","Static class","Base class","Derived class","B","Static classes cannot contain abstract methods or be inherited."
"What happens if a class does not implement all interface methods?","It compiles successfully","It becomes abstract","It becomes static","It throws runtime error","B","If not all interface members are implemented, the class must be marked abstract."
"Can a method be both abstract and virtual?","Yes","No","Only in interfaces","Only in static classes","B","Methods cannot be both abstract and virtual since abstract already implies virtual behavior."
"Which of the following can define default implementation?","Interface","Abstract class","Static class","Enum","B","Abstract classes can have implemented methods and serve as partial abstraction."
"Which C# 8.0 feature allows default methods in interfaces?","Abstract methods","Extension methods","Static interfaces","Default interface methods","D","C# 8.0 introduced default interface methods that allow implementation inside interfaces."
