QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is Terraform?,A CI/CD tool,A version control system,An Infrastructure as Code tool,A monitoring service,C,Terraform is an open-source Infrastructure as Code (IaC) software tool created by HashiCorp.
Which language is used to write Terraform configuration files?,JSON,HCL (HashiCorp Configuration Language),YAML,Python,B,"Terraform uses HCL, a human-readable configuration language."
What is the purpose of the 'terraform init' command?,To check Terraform version,To destroy infrastructure,To apply the configuration,To initialize and configure the backend and providers,D,'terraform init' initializes the configuration and sets up required provider plugins and backends.
What does IaC stand for?,Infrastructure as Code,Infrastructure as Cloud,Instruction as Command,Internet as Code,A,IaC refers to managing infrastructure using code rather than manual processes.
Which company developed Terraform?,Google,Microsoft,HashiCorp,Amazon,C,Terraform is developed and maintained by HashiCorp.
What does the 'terraform apply' command do?,Lists available providers,Destroys infrastructure,Validates the configuration,Applies changes required to reach the desired state,D,The 'terraform apply' command executes the actions in the plan to build or change infrastructure.
What type of tool is Terraform?,Infrastructure provisioning,Monitoring tool,Configuration management,Continuous Integration,A,Terraform is used for infrastructure provisioning as part of the DevOps toolchain.
Which file contains Terraform state information?,terraform.tf,output.tf,terraform.tfstate,main.tf,C,The terraform.tfstate file contains the current state of the infrastructure.
Which command shows the planned actions before applying changes?,terraform destroy,terraform graph,terraform plan,terraform validate,C,'terraform plan' lets you preview changes before applying them.
How do you upgrade provider versions in Terraform?,terraform refresh,terraform apply,terraform update,terraform init -upgrade,D,'terraform init -upgrade' upgrades provider plugins to the latest version.
What is a module in Terraform?,A reusable container of configuration,A type of resource,A log file generator,A script for backups,A,Modules are self-contained packages of Terraform configurations that are managed as a group.
Which command validates the syntax of Terraform files?,terraform fmt,terraform init,terraform check,terraform validate,D,'terraform validate' checks for syntax correctness in Terraform configuration files.
What is the default file extension for Terraform configuration files?,.json,.conf,.tfvars,.tf,D,Terraform uses '.tf' as the default extension for its configuration files.
Which block is required in every Terraform configuration?,provider,resource,output,module,A,"The provider block is required to specify the infrastructure provider (like AWS, Azure, etc)."
How does Terraform communicate with infrastructure providers?,Using direct SSH,Through JSON,Via provider plugins,Through CLI scripts,C,Terraform uses provider plugins to interact with different infrastructure services.
Which Terraform command destroys the infrastructure managed by Terraform?,terraform down,terraform delete,terraform destroy,terraform reset,C,'terraform destroy' removes all infrastructure resources managed by Terraform.
Which file can be used to define variable values separately?,terraform.tfvars,main.tf,terraform.tf,state.tf,A,The terraform.tfvars file is used to assign values to variables declared in the configuration.
What does 'terraform output' command do?,Destroys resources,Shows execution plan,Displays values defined in output blocks,Checks syntax,C,'terraform output' shows the values from the output blocks defined in configuration.
What is the purpose of using backend in Terraform?,To manage modules,To manage state file storage,To set output formats,To define server location,B,Backends determine how Terraform loads and stores state files.
Which option is used to lock the state file?,terraform backend lock,terraform apply --lock,terraform lock-state,Terraform locks state automatically using supported backends,D,Terraform automatically handles state locking when using supported remote backends.
