QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is 'git stash' used for?,Committing changes,Discarding files,Temporarily saving changes,Pushing to remote,C,git stash temporarily saves uncommitted changes to a stack.
Which command lists all stashes?,git stash,git stash ls,git stash list,git show stash,C,git stash list displays all saved stashes.
How do you reapply the most recent stash?,git stash apply,git stash restore,git stash recover,git stash resume,A,git stash apply reapplies the most recent stash.
Which command deletes the most recent stash?,git stash pop,git stash drop,git stash delete,git stash clear,B,git stash drop deletes a specific stash.
What does 'git stash pop' do?,Applies and then removes the stash,Removes untracked files,Commits changes from stash,Shows stash history,A,git stash pop re-applies the last stash and deletes it from the stash list.
Which command clears all stashes?,git stash clear,git stash drop all,git reset stash,git clear stashes,A,git stash clear deletes all stash entries.
How do you stash changes with a custom message?,git stash save 'msg',git stash -m 'msg',git stash push -m 'msg',git stash note 'msg',C,git stash push -m 'msg' adds a custom message to the stash entry.
Can you stash untracked files by default?,"Yes, always",No,Only with --include-untracked,Only in GitHub,C,Use --include-untracked to stash untracked files.
How do you apply a specific stash entry?,git stash apply 2,git stash apply stash@{2},git stash apply stash[2],git stash use 2,B,Use stash@{n} to reference and apply a specific stash.
Can you stash changes in tracked and untracked files together?,Only with separate commands,Only on Linux,"Yes, with --include-untracked",No,C,Use git stash push --include-untracked to stash both tracked and untracked files.
What happens if you run 'git stash' multiple times?,Only last stash is saved,All changes are merged,Each stash is saved in a stack,Each stash is saved in a stack,D,"Each stash is pushed onto a stack, preserving prior stashes."
How to view the changes saved in a stash?,git stash changes,git show stash,git diff stash,git stash view,B,git show stash displays the diff of the most recent stash.
What does 'git stash apply stash@{0}' do?,Applies stash and deletes it,Shows changes only,Applies the most recent stash,Applies the most recent stash,D,stash@{0} refers to the most recent stash and applies it.
Can you name a stash with an identifier?,"No, Git names them automatically","Yes, using git stash label","Yes, with git stash push -m","Yes, with git stash push -m",D,Use git stash push -m to label stashes.
What command applies stash without removing it?,git stash push,git stash apply,git stash pop,git stash drop,B,git stash apply reapplies changes but keeps the stash in stack.
How to stash only staged changes?,git stash --cached,git stash --only-index,git stash --staged,git stash --keep-index,D,Use git stash --keep-index to stash only staged changes.
Can you use stash during merge conflicts?,"Yes, to resolve conflicts later","Yes, but not recommended","Yes, to resolve conflicts later",Only in GitHub,A,You can stash and restore later after resolving conflicts.
What command shows a list of stash entries with diffs?,git stash show -p,git stash list --patch,git stash show -p,git stash view,A,Use git stash show -p to see patch for stash entries.
How to delete all stashes?,git stash delete --all,git clear stash,git stash purge,git stash clear,D,git stash clear removes all entries from the stash stack.
Can stash entries be popped selectively?,No,"Yes, with stash@{n} and git stash pop",Only latest stash can be popped,Only if committed,B,You can pop a specific stash using its reference like stash@{1}.
