"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What are React hooks?","CSS styling tools","Built-in lifecycle methods","Functions that let you use state and lifecycle features in functional components","Custom middleware","C","Hooks allow functional components to use state and lifecycle features previously only available in class components."
"Which hook is used to manage state?","useProps","useRef","useState","useMemo","C","useState is the most basic hook for managing state."
"Which hook is used to handle side effects?","useClass","useEffect","useCallback","useState","B","useEffect lets you run side effects in functional components."
"What does useEffect run by default?","After every render","Only once","Before render","Never","A","By default, useEffect runs after every render."
"How do you make useEffect run only once?","By returning false","By adding 'true' in dependency","By passing an empty array as second argument","By using useRef","C","useEffect(() => {...}, []) makes it run only once after mount."
"What hook gives reference to a DOM element?","useEffect","useMemo","useRef","useReducer","C","useRef allows you to reference DOM elements or persist values."
"Which hook can you use to memoize values?","useRef","useMemo","useReducer","useEffect","B","useMemo memoizes expensive calculations between renders."
"Which hook provides a way to manage more complex state logic?","useContext","useState","useReducer","useEvent","C","useReducer is suitable for managing more complex or nested state."
"Which hook allows accessing context?","useProps","useContext","useEffect","useReducer","B","useContext allows you to consume context values in a component."
"Which hook can improve performance by caching callbacks?","useState","useCallback","useMemo","useRef","B","useCallback returns a memoized version of the callback."
"Can hooks be used inside class components?","Yes","No","Only with HOCs","Only in constructor","B","Hooks are only usable in functional components."
"What must precede a hook name in React?","class","set","use","with","C","All hooks must begin with 'use' to follow React’s rules of hooks."
"Can hooks be conditionally called?","Yes","Only useEffect","No","Only in arrays","C","Hooks must always be called unconditionally and in the same order."
"What does useRef return?","A function","A DOM node","An object with current property","A React component","C","useRef returns an object with a mutable current property."
"Which hook is suitable for lazy initialization of state?","useMemo","useEffect","useRef","useState with function initializer","D","useState(() => initialValue) delays calculation of the initial state."
"When is useLayoutEffect triggered?","Before painting the DOM","After DOM is painted","Before any render","After componentDidMount","A","useLayoutEffect fires synchronously after DOM mutations but before paint."
"Which hook is preferred for cleanup logic?","useRef","useEffect","useState","useReducer","B","Cleanup code can be returned inside useEffect."
"Which hook can you use to derive value from state or props?","useRef","useReducer","useMemo","useState","C","useMemo is used to memoize computed values."
"How can custom hooks be identified?","Hooks.js suffix","Start with 'custom'","Must begin with 'use'","Only one per file","C","Custom hooks must start with 'use' just like built-in ones."
"Which React version introduced hooks?","15.6","16.3","16.8","17.0","C","Hooks were introduced in React 16.8."
