"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which namespace contains the collection classes in C#?","System.Basic","System.Collections","System.Data","System.IO","B","System.Collections and System.Collections.Generic are the main namespaces for collections."
"Which C# collection represents a dynamic array?","Hashtable","Dictionary","List<T>","Array","C","List<T> is a generic dynamic array that can grow as needed."
"Which collection class stores key-value pairs?","List","Dictionary","ArrayList","Queue","B","Dictionary<TKey, TValue> is used to store key-value pairs."
"Which collection allows duplicate keys?","Dictionary","SortedList","Hashtable","None of the above","D","None of these collections allow duplicate keys."
"Which C# collection follows FIFO (First-In-First-Out)?","Stack","Queue","List","Dictionary","B","Queue<T> follows the FIFO principle."
"Which collection follows LIFO (Last-In-First-Out)?","Stack","Queue","List","ArrayList","A","Stack<T> follows the LIFO principle."
"Which method adds an item to a List<T>?","Add()","Push()","Insert()","Append()","A","Add() appends an element to the end of a List<T>."
"Which collection class is not generic?","List<T>","Dictionary<TKey, TValue>","ArrayList","Queue<T>","C","ArrayList is a non-generic collection that stores elements as objects."
"What is the capacity of a collection?","Total memory allocated","Total items added","The number of elements the collection can hold before resizing","Index of the last element","C","Capacity is the total number of elements a collection can hold without resizing."
"Which method is used to remove an item from a List<T>?","Delete()","Remove()","Erase()","Drop()","B","Remove() deletes a specific element from a List<T>."
"Which method removes all elements from a collection?","Clear()","DeleteAll()","RemoveAll()","Flush()","A","Clear() removes all elements from most collection types."
"Which collection type ensures unique elements?","List<T>","Queue<T>","Stack<T>","HashSet<T>","D","HashSet<T> stores only unique elements and automatically ignores duplicates."
"What does the Contains() method do?","Adds an item","Returns the index of an item","Checks if an item exists","Sorts the collection","C","Contains() checks if an element exists in the collection."
"What is the default starting index of a List<T> in C#?","1","0","-1","Based on OS","B","List<T> and arrays are zero-indexed."
"What is the difference between ArrayList and List<T>?","ArrayList is faster","List<T> is non-generic","ArrayList stores elements as objects, List<T> is type-safe","ArrayList is sealed","C","List<T> is type-safe, while ArrayList stores elements as objects (boxing/unboxing needed)."
"Which method returns the total number of elements in a collection?","Size()","Count","Length()","Total()","B","Count property returns the number of elements in most collection types."
"What happens when you add duplicate keys to a Dictionary?","The latest replaces the old","Both are stored","An exception is thrown","The first is removed","C","Adding a duplicate key to a Dictionary throws an ArgumentException."
"Which collection is best for key-value pairs with fast lookup?","Queue","ArrayList","Dictionary","List","C","Dictionary<TKey, TValue> provides fast key-based lookup."
"Which method adds an item to a Stack?","Insert()","Enqueue()","Push()","Add()","C","Push() adds an item to the top of the stack."
"What does Dequeue() do in a Queue?","Adds an item","Returns first item without removing","Removes and returns the first item","Clears all items","C","Dequeue() removes and returns the first element in the Queue."
