"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does JSX stand for?","JavaScript eXtension","JavaScript XML","JavaScript Xtreme","JavaScript Execution Syntax","B","JSX stands for JavaScript XML, allowing HTML syntax in JavaScript."
"Which of the following is correct JSX syntax?","let element = <h1>Hello</h1>;","let element = <h1>'Hello'</h1>;","let element = 'Hello';","let element = createElement(h1, Hello);","A","JSX uses angle brackets to define elements similar to HTML."
"JSX expressions must have _____ parent element.","zero","one","two","multiple","B","JSX must have a single enclosing tag."
"Which character is used to embed expressions in JSX?","#","@","{}","$","C","Expressions in JSX are embedded within curly braces {}."
"How do you write a comment in JSX?","// comment","{/* comment */}","<!-- comment -->","' comment","B","JSX comments are written inside curly braces using JavaScript-style multiline comment syntax."
"Which attribute replaces 'class' in JSX?","cssClass","jsClass","className","classID","C","Since 'class' is a reserved word in JavaScript, JSX uses 'className' instead."
"Which JSX attribute is used for inline styling?","style","css","styles","inline-style","A","JSX uses the 'style' attribute, which takes a JavaScript object."
"How are boolean attributes like 'disabled' written in JSX?","disabled=1","disabled='true'","disabled={true}","disabled:true","C","Boolean values must be passed as expressions using curly braces."
"JSX is converted into which JavaScript function?","React.createElement()","document.createElement()","createHTML()","JSX.parse()","A","JSX is syntactic sugar for React.createElement()."
"Can JSX contain JavaScript expressions?","No","Yes, inside quotes","Yes, inside {}","Only in arrays","C","JSX supports expressions embedded inside curly braces."
"What is the correct way to conditionally render JSX?","if (true) <h1>Hi</h1>","<h1 condition={true}>Hi</h1>","{true && <h1>Hi</h1>}","None","C","Logical && operator is a common method to conditionally render JSX."
"How do you render a list in JSX?","Using a for loop","Using a map() function","Using a while loop","Using a counter","B","Array.map() is commonly used to render lists in JSX."
"Which tag is used for fragments in JSX?","<div>","<frag>","<React.Fragment>","<root>","C","React.Fragment or shorthand <> </> is used to group elements without a DOM node."
"What is JSX compiled into?","HTML","XML","React code","JavaScript","D","JSX is compiled into JavaScript using Babel."
"Which of the following is valid JSX?","<h1>Welcome {user}</h1>","<h1>Welcome 'user'</h1>","<h1>{'Welcome'} user</h1>","<h1>{Welcome user}</h1>","A","JSX supports JavaScript expressions inside braces."
"Which package is used to transpile JSX?","TypeScript","ESLint","Babel","Webpack","C","Babel is used to transpile JSX into JavaScript."
"JSX prevents which type of attacks?","Brute force","CSRF","XSS","DDoS","C","JSX escapes values before rendering to prevent cross-site scripting."
"Can JSX return multiple elements?","No","Yes, using fragments","Only div","Yes, only with string literals","B","Fragments (<> </>) allow returning multiple elements."
"How do you insert comments in JSX inside render?","// comment","{// comment}","{/* comment */}","/* comment */","C","JSX comments are written as {/* comment */}."
"JSX can only be used inside React?","True","False","Only in ES6","Only with Babel","A","JSX is specific to React and is not natively supported in browsers."
