"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Event Hubs used for?","File storage","Batch data uploads","Real-time data ingestion","Data visualization","C","Event Hubs is a big data streaming platform and event ingestion service for real-time analytics."
"What is the purpose of Azure Stream Analytics?","Manage secrets","Write web apps","Run real-time analytics on streaming data","Back up VMs","C","Stream Analytics processes and analyzes real-time data streams from sources like Event Hubs."
"Which protocol is used to send events to Event Hubs?","FTP","HTTP/AMQP","RDP","SMTP","B","Event Hubs supports HTTP and AMQP protocols for event ingestion."
"What does a Stream Analytics job require?","GitHub repo","Input, Query, and Output","Only SQL","ARM template","B","A job must define data sources (input), processing logic (query), and data destinations (output)."
"What is a tumbling window in Stream Analytics?","An overlapping time period","A non-deterministic loop","A fixed-size, non-overlapping time segment","A queue-based trigger","C","Tumbling windows are used to group data into fixed intervals with no overlap."
"What is an input in a Stream Analytics job?","A VM","A CSV file","A source of streaming data like Event Hub","A PowerShell script","C","Inputs are sources like Event Hubs, IoT Hubs, or Blob storage streaming data into Stream Analytics."
"What language is used to define queries in Stream Analytics?","Python","SQL-like syntax","C#","PowerShell","B","Stream Analytics uses a SQL-like query language to define how incoming data is processed."
"What is the purpose of diagnostic logs in Stream Analytics?","Encrypt data","Track resource costs","Monitor job performance and errors","Send emails","C","Diagnostic logs provide insights into job health, performance, and troubleshooting."
"What is Event Hubs Capture?","Snapshot of dashboards","A way to batch VMs","Automatic archiving of streaming data","Script runner","C","Event Hubs Capture stores streaming data in Azure Storage or Data Lake for later processing."
"What is the maximum number of streaming units in a single Stream Analytics job?","1","6","192","Unlimited","C","Stream Analytics jobs can be scaled up to 192 streaming units for parallel data processing."
"What type of data processing is Stream Analytics designed for?","Batch processing","Interactive querying","Real-time or near real-time processing","ML training","C","It’s optimized for real-time stream processing from data ingestion to insight."
"What is a reference input in Stream Analytics?","Temporary data logs","Static data used for enriching streams","Blob output","Another event stream","B","Reference inputs are static datasets used for lookups or joins during stream processing."
"What is a sliding window?","A reset mechanism","A streaming delay","An overlapping time window for continuous stream grouping","A snapshot report","C","Sliding windows capture overlapping time frames to provide more granular streaming insights."
"What is the role of the WHERE clause in Stream Analytics queries?","Convert outputs","Filter data based on conditions","Add new columns","Rename datasets","B","The WHERE clause filters incoming data based on conditions before further processing."
"What happens when Stream Analytics job fails?","Data is deleted","A VM is restarted","Alerts can be triggered and diagnostics logged","Blob is created","C","Failures can trigger alerts and logs help troubleshoot and resolve the issue."
"What is the maximum retention time for Event Hubs messages?","1 hour","24 hours","7 days","30 days","C","Event Hubs messages can be retained for up to 7 days depending on configuration."
"Which windowing function would you use for periodic aggregation?","Sliding","Tumbling","Hopping","Delayed","B","Tumbling windows are perfect for non-overlapping periodic aggregations."
"What is a common use case for Stream Analytics?","Storing large images","ETL for batch reports","Real-time fraud detection","Training models","C","Real-time fraud detection is a key application where streaming analytics is used for pattern detection."
"What does Event Hubs throughput unit define?","Database connections","Job runtime","Ingress and egress capacity for data","Blob size","C","Throughput units define the capacity of Event Hub for ingress and egress in MB/s and message count."
"What is required to send logs from NSG to Event Hub?","Azure DNS","Log Analytics","Enable NSG Flow Logs and route to Event Hub","Azure Pipelines","C","Enabling NSG Flow Logs and integrating with Event Hub routes network logs for analysis."
