"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Virtual Machine used for?","Creating dashboards","Running code locally","Hosting applications in the cloud","Storing secret values","C","Azure VMs allow you to run applications and services in a cloud-hosted virtualized environment."
"What service does Azure Storage provide?","IAM configuration","Code compilation","Scalable object, file, and disk storage","CI/CD automation","C","Azure Storage provides durable and scalable cloud storage including blobs, files, queues, and disks."
"What does Azure VNet stand for?","Virtual Node","Virtual Networking","Virtual Network","Validated Network","C","Azure VNet (Virtual Network) allows networking of Azure resources similar to on-prem networks."
"What is the function of Azure Load Balancer?","To reduce storage cost","To automate deployments","To distribute incoming traffic","To store backups","C","Azure Load Balancer distributes network traffic across multiple services to ensure availability."
"What does Azure Identity and Access Management (IAM) handle?","Data encryption","Network routing","User authentication and authorization","CI/CD processes","C","IAM manages user access and permissions to Azure resources."
"Which Azure service is used to store key-value secrets securely?","Azure CLI","Azure Cosmos DB","Azure Key Vault","Azure Monitor","C","Azure Key Vault securely stores keys, secrets, and certificates."
"What is Azure Resource Group?","A billing entity","A container for resources","A database instance","A VM image","B","Resource Groups act as containers that hold related Azure resources together."
"Which Azure service lets you run containers without managing servers?","Azure Functions","Azure VMs","Azure Kubernetes Service","Azure Container Instances","D","Azure Container Instances provide serverless container execution with fast startup times."
"What is the primary benefit of Azure Availability Zones?","Faster application development","Reduced resource costs","Increased resiliency and high availability","Enables monitoring logs","C","Availability Zones protect applications and data from datacenter failures within a region."
"Which Azure service monitors performance and usage of resources?","Azure DNS","Azure Policy","Azure DevTest Labs","Azure Monitor","D","Azure Monitor provides full-stack observability by collecting, analyzing, and acting on telemetry data."
"Which type of storage is best for unstructured data in Azure?","Blob Storage","File Storage","Table Storage","Disk Storage","A","Blob Storage is optimized for storing massive amounts of unstructured data such as images, video, and documents."
"What can you use to manage user roles in Azure?","Azure Policy","RBAC","Azure Scheduler","Azure CDN","B","RBAC (Role-Based Access Control) allows you to assign roles to users and manage access to resources."
"What is the Azure App Service used for?","Managing containers","Storing files","Hosting web applications and APIs","Running machine learning models","C","Azure App Service is a fully managed platform for building and hosting web apps and APIs."
"What is a use case for Azure Functions?","Running persistent applications","Scheduled cleanups and serverless automation","Creating dashboards","Managing subscriptions","B","Azure Functions allow event-driven serverless code execution like triggers and automation."
"What does Azure DNS do?","Encrypt files","Provide domain name resolution","Secure endpoints","Scan repositories","B","Azure DNS hosts your domains and provides name resolution using Microsoft’s infrastructure."
"What is the purpose of Azure Bastion?","Run CI/CD pipelines","Secure VM connections without public IP","Automate database backups","Monitor performance","B","Azure Bastion provides secure RDP/SSH access to VMs without exposing them to the public internet."
"Which service is best for scalable SQL-based databases?","Azure Cosmos DB","Azure Blob Storage","Azure SQL Database","Azure Redis Cache","C","Azure SQL Database is a scalable, fully managed relational database-as-a-service platform."
"Which service provides a scalable messaging solution for distributed apps?","Azure Batch","Azure Queue Storage","Azure Service Bus","Azure Tables","C","Azure Service Bus enables messaging between distributed applications and services."
"What is Azure Advisor used for?","Monitoring pipelines","Providing cost, performance, and security recommendations","Encrypting secrets","Running container images","B","Azure Advisor offers best practices and recommendations for optimizing your Azure deployments."
"Which Azure tool allows CLI-based management of resources?","Azure Key Vault","Azure App Insights","Azure CLI","Azure CDN","C","Azure CLI is a command-line tool that enables users to manage Azure resources from any terminal."
