QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is MLflow in Databricks used for?,Managing cluster access,Tracking experiments and managing machine learning lifecycle,Visualizing Spark UI,Monitoring DBFS usage,B,"MLflow is a platform integrated in Databricks for managing the ML lifecycle including tracking, projects, and models."
"Which MLflow component logs parameters, metrics, and models?",MLflow Deploy,MLflow Tracking,MLflow Register,MLflow Score,B,MLflow Tracking allows logging and comparing ML experiments.
Which format is used for storing ML models in Databricks?,Parquet,JSON,MLflow format,CSV,C,Databricks uses MLflow format for packaging and storing models.
What is a Databricks experiment?,A job schedule,A cluster configuration,A collection of ML runs for comparison,A SQL script,C,An experiment groups multiple training runs for analysis and comparison.
Which library provides pre-built ML algorithms in Databricks?,TensorFlow,scikit-learn,Spark MLlib,DatabricksDB,C,MLlib is Spark’s scalable machine learning library integrated into Databricks.
What does model registry in MLflow do?,Monitors notebooks,Provides UI themes,Manages model lifecycle and versioning,Secures user login,C,"Model registry allows versioning, reviewing, and managing deployment stages for ML models."
Can MLflow run with multiple frameworks?,"No, only Spark ML","Yes, supports PyTorch, TensorFlow, Scikit-learn, and more",Only with Databricks Repos,Only with CSV files,B,MLflow is framework-agnostic and supports several ML libraries.
What is the purpose of autologging in MLflow?,Clustering input features,Automatically logs parameters and metrics,Cleans up stale models,Creates notebooks,B,"Autologging captures model training parameters, metrics, and artifacts automatically."
What is the output of model.predict() in ML?,A UI log,Input schema,Predicted values,Cluster size,C,model.predict() returns the predicted values based on the trained ML model.
Which command is used to log a metric in MLflow?,mlflow.record_metric(),mlflow.log_metric(),mlflow.save_score(),mlflow.track(),B,"Use mlflow.log_metric(name, value) to log evaluation metrics like accuracy, precision, etc."
Which MLflow module is used to manage deployment stages like Staging and Production?,mlflow.deployments,MLflow Projects,MLflow Registry,MLflow Models,C,MLflow Registry helps manage model versions and lifecycle stages.
How do you start an MLflow run in code?,mlflow.start(),mlflow.begin_run(),mlflow.run(),mlflow.start_run(),D,mlflow.start_run() is used to initiate a run context for tracking.
Which MLflow feature supports storing custom metadata for a run?,Tags,Metrics,Parameters,Versions,A,Tags allow storing custom metadata like model type or source.
What is the purpose of MLflow Projects?,Automate UI testing,Track only metrics,Package code in a reproducible format,Secure notebook output,C,MLflow Projects lets you define and share reproducible ML pipelines.
Which file defines an MLflow Project?,project.xml,pipeline.json,MLproject,config.py,C,"The MLproject file defines environment, entry points, and parameters."
Which command saves a model locally in MLflow format?,mlflow.store_model(),mlflow.write_model(),mlflow.save_model(),mlflow.persist_model(),C,mlflow.save_model() is used to persist trained models locally.
How does MLflow identify a specific model run?,Run ID,Tag ID,Model Hash,Checkpoint ID,A,Each run in MLflow is uniquely identified by a Run ID.
Which interface lets users visually compare runs?,Notebook diff,Compare tab in MLflow experiment UI,Spark history server,Run metrics.json,B,The Compare tab in the MLflow UI allows side-by-side run comparisons.
What must you do before registering a model in MLflow Registry?,Email admin,Restart cluster,Log a model using mlflow.log_model(),Disable autologging,C,Models must be logged before they can be registered in the Model Registry.
What kind of metrics can be logged in MLflow?,Only accuracy,Only integers,"Any numerical value like accuracy, loss, F1-score",Only binary outputs,C,MLflow supports logging any scalar numeric value as a metric.
