QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does the 'if' statement do in Python?,Executes a block if a condition is true,Repeats a block,Compares two values,Imports a module,A,The 'if' statement executes code only when the specified condition evaluates to True.
Which loop is used when the number of iterations is known?,while loop,for loop,do-while loop,repeat loop,B,'for' loop is typically used when the number of iterations is known in advance.
Which data structure allows duplicate values and maintains order?,set,tuple,list,dictionary,C,Lists maintain order and can store duplicate values.
What will be the output of: for i in range(3): print(i)?,0 1 2,1 2 3,0 1 2 3,3 2 1,A,"range(3) produces values 0, 1, and 2."
What does the 'continue' statement do in a loop?,Stops the loop,Skips the rest of the loop body for current iteration,Repeats the current iteration,Restarts the loop,B,'continue' skips the remaining statements in the current loop iteration.
Which data structure in Python is mutable and ordered?,set,tuple,list,frozenset,C,Lists are mutable and preserve insertion order.
How do you access the first element of a list named my_list?,my_list.first(),my_list(0),my_list[0],my_list{0},C,"List indexing starts at 0, so the first element is accessed using my_list[0]."
What is the output of: if 10 > 5: print('Yes')?,No,Yes,Nothing,Error,B,"The condition 10 > 5 is true, so 'Yes' is printed."
Which loop type will execute as long as a condition is True?,for,while,do-while,repeat-until,B,'while' loops run until their condition becomes False.
Which structure is used to store key-value pairs?,list,set,tuple,dictionary,D,Dictionaries store data in key-value format.
"What is the result of len({'a':1, 'b':2})?",1,2,3,0,B,"There are two key-value pairs, so the length is 2."
Which Python loop is preferred when iterating over a known range of numbers?,while,for,until,repeat,B,'for' loops are ideal for iterating over a predefined sequence.
Which condition evaluates to False in Python?,0,[],None,All of the above,D,"In Python, 0, [], and None all evaluate to False."
Which keyword is used to exit a loop immediately?,stop,exit,continue,break,D,'break' is used to exit a loop immediately.
Which structure is used to hold a fixed collection of values?,list,tuple,set,dict,B,Tuples are immutable sequences used to store fixed collections.
"What is the result of len({'a':1, 'b':2})?",1,2,3,0,B,"There are two key-value pairs, so the length is 2."
Which Python loop is preferred when iterating over a known range of numbers?,while,for,until,repeat,B,'for' loops are ideal for iterating over a predefined sequence.
Which condition evaluates to False in Python?,0,[],None,All of the above,D,"In Python, 0, [], and None all evaluate to False."
Which keyword is used to exit a loop immediately?,stop,exit,continue,break,D,'break' is used to exit a loop immediately.
Which structure is used to hold a fixed collection of values?,list,tuple,set,dict,B,Tuples are immutable sequences used to store fixed collections.
"What is the result of len({'a':1, 'b':2})?",1,2,3,0,B,"There are two key-value pairs, so the length is 2."
Which Python loop is preferred when iterating over a known range of numbers?,while,for,until,repeat,B,'for' loops are ideal for iterating over a predefined sequence.
Which condition evaluates to False in Python?,0,[],None,All of the above,D,"In Python, 0, [], and None all evaluate to False."
Which keyword is used to exit a loop immediately?,stop,exit,continue,break,D,'break' is used to exit a loop immediately.
Which structure is used to hold a fixed collection of values?,list,tuple,set,dict,B,Tuples are immutable sequences used to store fixed collections.
