QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which provider is used in Terraform to manage Azure resources?,azure,azurerm,terraform-azure,azurecli,B,The 'azurerm' provider is used in Terraform for managing Azure resources.
What is required to authenticate Terraform with Azure?,SSH key,Azure DevOps PAT,Service principal credentials,GitHub token,C,Terraform typically uses Azure service principal credentials for authentication.
Which command logs in to Azure CLI for Terraform use?,az terraform login,az login,terraform login azure,azure cli login,B,"Use 'az login' to authenticate to Azure CLI, which can then be used by Terraform."
Which block is used to declare Azure resource group in Terraform?,resource_group,resource 'azurerm_group',resource 'azurerm_resource_group',resource 'azure_group',C,'azurerm_resource_group' is the correct resource type for Azure resource groups.
What argument is mandatory in an azurerm_resource_group block?,name and location,tier and region,vm_size and tags,provider and token,A,'name' and 'location' are required fields for an Azure resource group.
How can you define an Azure VM in Terraform?,resource 'azure_vm',resource 'azurerm_virtual_machine',vm 'azurerm',module 'vm_azure',B,'azurerm_virtual_machine' is the correct Terraform resource for Azure VMs.
Which Terraform resource is used for an Azure virtual network?,azurerm_network,azurerm_vnet,azurerm_virtual_network,azurerm_network_group,C,'azurerm_virtual_network' is the correct resource name for Azure virtual networks.
What command initializes an Azure Terraform configuration?,terraform azure-init,az terraform init,terraform init,terraform azure apply,C,Use 'terraform init' to initialize the configuration and backend.
Which resource is used to attach a public IP to an Azure VM?,azurerm_network_interface,azurerm_ip_association,azurerm_public_ip,azurerm_ip_binding,C,'azurerm_public_ip' is used for public IP allocation.
How can Terraform deploy a storage account in Azure?,Using azurerm_blob_storage,resource 'azure_storage',resource 'azurerm_storage_account',resource 'azure_storage_account',C,'azurerm_storage_account' defines Azure storage accounts.
Which Terraform block type is used to define infrastructure resources?,data,resource,module,provider,B,The 'resource' block defines infrastructure components in Terraform.
What is the purpose of 'terraform plan' in an Azure deployment?,Applies changes,Generates and shows an execution plan,Destroys all resources,Shows Azure billing,B,'terraform plan' shows what changes will be made before applying.
What backend is commonly used to store Terraform state in Azure?,azuredevops,azurerm,azurestate,azureblob,B,The 'azurerm' backend is used to store Terraform state in Azure Blob Storage.
How can you import existing Azure resources into Terraform?,terraform attach,terraform bring,terraform import,terraform clone,C,'terraform import' maps existing resources into Terraform state.
Which attribute in Terraform provider configuration specifies the Azure region?,location,region,area,zone,A,'location' is used to set the region for resources.
What is the purpose of the 'output' block in Terraform?,Destroy resources,Define resource dependencies,Display values after apply,Add tags,C,Outputs help extract and display useful information after execution.
Which command shows the current state of Terraform-managed resources?,terraform graph,terraform list,terraform state list,terraform status,C,'terraform state list' shows all tracked resources.
What does 'terraform destroy' do?,Creates resources,Backs up resources,Deletes all managed resources,Exports state file,C,'terraform destroy' removes all resources defined in the configuration.
Which keyword is used to reference another resource's attribute?,this,var,ref,depends_on,B,The 'var' and resource references use dot notation like 'resource.type.name.attribute'.
What is the use of 'depends_on' in Terraform?,Run commands,Specify variable types,Declare explicit resource dependencies,Control CLI output,C,'depends_on' ensures one resource is created before another.
