QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the purpose of the terraform.tfstate file?,To define variables,To track resource dependencies,To store the state of infrastructure,To configure backend,C,terraform.tfstate keeps a record of the infrastructure deployed by Terraform.
Which command is used to inspect the current state?,terraform plan,terraform inspect,terraform show,terraform state view,C,'terraform show' displays the current state or saved plan.
How can you store state files remotely?,.tfvars,remote_state block,backend configuration,init.json,C,Remote state is configured using a backend block in the Terraform configuration.
Which of the following is a supported backend type in Terraform?,zip,azure,text,s3,D,"Terraform supports backends like S3, Azure Blob, Google Cloud Storage, etc."
What is the role of state locking?,To delete old state,To prevent concurrent modifications,To encrypt state files,To rename resources,B,State locking prevents multiple users from changing infrastructure at the same time.
Which command is used to list all resources in state?,terraform list,terraform state list,terraform show all,terraform state,B,'terraform state list' lists all resources tracked in the current state file.
How do you remove a resource from the state file?,terraform remove,terraform destroy,terraform untrack,terraform state rm,D,'terraform state rm' removes a resource from the state file without destroying it.
What is the default name of the local state file?,terraform.json,state.tf,terraform.tfstate,infra.tf,C,terraform.tfstate is the default file name for the local state.
How do you migrate state from local to remote?,terraform plan,terraform migrate,terraform init with backend config,terraform upload,C,Running 'terraform init' with remote backend settings migrates the state file.
Why is it important to secure state files?,They contain sensitive output values,They speed up execution,They log API errors,They store CLI commands,A,"State files can contain secrets, keys, and credentials."
Which command refreshes the state with the real infrastructure?,terraform apply,terraform plan,terraform refresh,terraform clean,C,'terraform refresh' updates the state file to match the actual infrastructure.
What does 'terraform state pull' do?,Downloads the remote state file,Destroys remote state,Retrieves current state and prints,Triggers destroy,C,'terraform state pull' fetches the current state from the remote backend.
What happens if the local state file is deleted without backup?,Terraform recreates all infrastructure,Terraform updates configuration,Terraform prompts for credentials,Nothing happens,C,Terraform will treat the infra as new and attempt to recreate it.
How do you rename a resource in state file without affecting actual infra?,terraform rename,terraform state rename,terraform move,terraform update,B,'terraform state rename' changes logical name mapping without touching actual infra.
Which backend provides built-in state locking?,local,s3,consul,artifactory,C,Backends like S3 with DynamoDB locking provide built-in state locking.
What is the main benefit of using remote backend for teams?,Faster validation,Faster state performance,Prevents state conflicts,Better cost estimation,C,Remote backends allow team collaboration and state consistency.
Which command uploads a local state file to remote?,terraform push,terraform upload,terraform remote,terraform init --force,A,'terraform push' can send a local state file to a remote backend.
Can state files be encrypted at rest in remote backends?,No,Yes,Optional,Only on Azure,B,"Yes, most remote backends like S3, Azure, and GCP support encryption at rest."
Which file contains backend configuration?,terraform.tfstate,variables.tf,backend.tf,main.tf,C,Backend settings are usually defined in backend.tf.
How to prevent state file from being tracked in Git?,Delete .git directory,Move to cloud,Add to .dockerignore,Add to .gitignore,D,Use .gitignore to prevent committing terraform.tfstate to Git.
