QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which of the following is a correct variable name in Python?,2variable,variable_name,variable-name,variable name,B,Variable names must not start with a number and cannot contain spaces or hyphens.
Which data type is used to represent whole numbers in Python?,int,float,str,bool,A,The `int` data type represents whole numbers in Python.
Which keyword is used to declare a variable in Python?,int,declare,var,None of the above,D,"Python does not use a keyword to declare variables. Assignment is done using `=`, like x = 5."
What will be the output of: type('123')?,<class 'int'>,<class 'float'>,<class 'str'>,<class 'bool'>,C,'123' is a string literal.
Which of these is a floating point number?,10,'10',10.5,True,C,10.5 is a float because it contains a decimal point.
What is the value of x after: x = True + 2?,True2,Error,3,2,C,True is treated as 1 in numeric context. 1 + 2 = 3.
"What is the type of: x = [1, 'two', 3.0]?",str,list,tuple,set,B,The square brackets and mix of data types make it a list.
Which data type is immutable in Python?,list,dict,tuple,set,C,Tuples are immutable — their contents cannot be changed.
Which of these will create a dictionary?,"{1, 2, 3}","(1: 'a', 2: 'b')","{1: 'a', 2: 'b'}","[1, 2, 3]",C,Dictionaries use key:value pairs enclosed in curly braces.
What is the output of: type(None)?,<class 'NoneType'>,<class 'null'>,None,Error,A,`None` is a special constant of the `NoneType` in Python.
How do you create a string in Python?,"Using double quotes "" """,Using single quotes ' ',Using triple quotes,All of the above,D,All these quoting styles can be used to create strings in Python.
Which operator is used for assignment?,==,=,===,:=,B,`=` is used to assign values to variables.
"What is the data type of: a = {'x', 'y'}?",list,dict,set,tuple,C,Curly braces without key-value pairs define a set.
Which value represents a Boolean in Python?,'True',true,TRUE,True,D,`True` is a valid boolean value in Python.
Which of the following is NOT a valid data type in Python?,integer,float,list,dictionary,A,"`int` is valid, but `integer` is not a built-in Python type."
What is the value of len('Python')?,5,6,7,0,B,'Python' has 6 characters.
What is the output of: type(3.14)?,<class 'float'>,<class 'int'>,<class 'str'>,<class 'decimal'>,A,3.14 is a floating-point number.
Which symbol is used to assign a value in Python?,==,=,:=,+=,B,`=` assigns a value to a variable.
Which of the following represents a tuple?,"[1, 2]","{1, 2}","(1, 2)",{1:2},C,Tuples are defined using parentheses.
Which data type allows duplicate elements?,set,tuple,dict,All of the above,B,Tuples allow duplicates; sets and dict keys do not.
How do you define a list in Python?,"list = (1, 2, 3)","list = [1, 2, 3]","list = {1, 2, 3}","list = <1, 2, 3>",B,Lists are created using square brackets.
What does the type() function do?,Defines a data type,Checks the memory,Returns the type of variable,Converts variable to int,C,type() returns the data type of the given variable.
Which data type is used to store text?,char,str,text,alpha,B,`str` is the built-in data type to store text.
What is the output of: type(True)?,<class 'bool'>,<class 'str'>,<class 'int'>,<class 'True'>,A,`True` is of type `bool`.
Which of the following is used to store key-value pairs?,list,tuple,set,dict,D,Dictionaries store key-value pairs.
