"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the purpose of Azure Active Directory (Azure AD)?","To store files in the cloud","To monitor virtual machines","To manage user identities and access","To deploy applications","C","Azure AD is Microsoft's cloud-based identity and access management service."
"Which feature allows users to sign in once and access multiple applications?","MFA","SSO","RBAC","Conditional Access","B","Single Sign-On (SSO) allows users to log in once and access multiple systems without re-authenticating."
"What does RBAC stand for in Azure?","Remote Backup Access Control","Role-Based Access Control","Resource Backup Access Center","Region-Based Admin Control","B","RBAC is a method of regulating access to resources based on the roles of individual users."
"What is a tenant in Azure AD?","A billing unit","A storage container","A dedicated instance of Azure AD","A region","C","A tenant is a dedicated instance of Azure Active Directory associated with an organization."
"Which role provides full access to manage all Azure resources?","Contributor","Reader","Owner","User Access Administrator","C","The Owner role grants full access to manage resources and assign roles in Azure."
"What is the purpose of Conditional Access in Azure AD?","To delete old users","To control access based on conditions like location","To update VM configurations","To back up resources","B","Conditional Access controls access based on signals like user location, device state, etc."
"Which Azure AD edition includes Privileged Identity Management (PIM)?","Free","Premium P1","Premium P2","Basic","C","Privileged Identity Management is available with Azure AD Premium P2 licenses."
"What does Multi-Factor Authentication (MFA) require?","A username only","Two or more verification methods","An Azure subscription","A service principal","B","MFA requires two or more forms of verification to increase account security."
"Which feature allows Azure AD users to reset their own passwords?","RBAC","PIM","SSPR","Azure AD Join","C","Self-Service Password Reset (SSPR) allows users to reset their passwords without admin help."
"Which tool is used to sync on-premises directories with Azure AD?","Azure DevOps","Azure AD Connect","Azure Site Recovery","Azure CLI","B","Azure AD Connect syncs on-prem AD with Azure AD for hybrid identity solutions."
"Which protocol is used by Azure AD for authentication?","FTP","OAuth 2.0","SMTP","RDP","B","Azure AD uses OAuth 2.0 for secure authorization."
"What is a service principal in Azure AD?","An identity used by applications or services","A user with high privileges","A virtual machine identity","A user role","A","Service principals are used by apps to access Azure resources securely."
"What is the default role for a new user in Azure AD?","Global Admin","User","Reader","Contributor","B","By default, new Azure AD users are assigned the 'User' role."
"What is Azure AD B2C used for?","Internal employee identity","Business-to-consumer identity management","VM creation","Resource billing","B","Azure AD B2C is used for handling identities of external customers."
"How is access assigned to users in Azure RBAC?","By IP address","By region","By assigning roles to users or groups","By OS type","C","Access in RBAC is assigned through roles to users, groups, and service principals."
"What is the purpose of Azure AD Join?","To link two Azure subscriptions","To register IoT devices","To register devices directly with Azure AD","To sync AD FS","C","Azure AD Join registers a device with Azure AD for enterprise identity and access."
"Which Azure AD role can manage user credentials and group memberships?","Security Reader","User Administrator","Billing Admin","Application Developer","B","User Administrators can manage user profiles and group assignments."
"What is a directory in Azure AD?","A virtual folder","A data warehouse","A container for identities and access control","A blob storage account","C","A directory stores users, groups, and application identities in Azure AD."
"What is an enterprise application in Azure AD?","An app created with Power Apps","A pre-integrated app or custom app registered with Azure AD","A Dynamics CRM integration","A VM template","B","Enterprise apps are used for SSO and access control in Azure AD."
"Which Azure AD role has access to all administrative features?","Billing Admin","Global Administrator","User Administrator","Service Desk Admin","B","Global Administrators have full access to all aspects of Azure AD and services."
