"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is a cmdlet in PowerShell?","A configuration file","A type of loop","A lightweight command used in the PowerShell environment","A network setting","C","Cmdlets are simple, built-in commands used in PowerShell for tasks like file management and process control."
"Which character is used to define a variable in PowerShell?","&","#","$","@","C","PowerShell variables start with the dollar sign ($) followed by the variable name."
"Which cmdlet is used to list all files in a directory?","List-Items","Get-Content","Get-ChildItem","Show-Files","C","Get-ChildItem lists all files and directories in a specified location."
"What does the pipeline operator (|) do in PowerShell?","Executes multiple scripts simultaneously","Filters output","Passes the output of one cmdlet as input to another","Redirects output to a file","C","The pipeline (|) sends the output from one cmdlet into another cmdlet for further processing."
"Which loop is used in PowerShell to execute a block of code multiple times?","loop()","do-until","foreach","iterate()","C","The foreach loop is commonly used to iterate through items in a collection in PowerShell."
"How do you comment a line in PowerShell?","//","#","--","/* */","B","In PowerShell, lines starting with # are treated as comments."
"Which cmdlet is used to display output on the screen?","Out-File","Write-Output","Write-Screen","Display-Text","B","Write-Output sends output to the next command or to the console."
"What is the default file extension for PowerShell scripts?",".cmd",".ps1",".sh",".bat","B",".ps1 is the standard extension for PowerShell script files."
"What is the function of Get-Help in PowerShell?","List services","Provide documentation on cmdlets","Exit a script","Delete variables","B","Get-Help provides documentation and usage instructions for cmdlets."
"How can you get a list of running processes using PowerShell?","Get-Task","Get-Process","Show-Programs","Process-List","B","Get-Process returns a list of currently running processes."
"Which cmdlet is used to stop a running process?","Stop-Service","Kill-Task","End-Process","Stop-Process","D","Stop-Process terminates a running process by name or ID."
"What does the Set-ExecutionPolicy cmdlet control?","User permissions","Script execution behavior","Firewall settings","Admin login","B","Set-ExecutionPolicy determines how and whether scripts can be executed in PowerShell."
"How do you create a function in PowerShell?","def","create","function","method","C","Functions in PowerShell start with the keyword 'function'."
"What will the command Get-Date return?","Today's events","Calendar app","Current date and time","Timezone info","C","Get-Date returns the current date and time."
"What does the -Recurse parameter do in PowerShell?","Reverses the list","Repeats execution","Searches all subfolders","Runs in background","C","-Recurse makes the cmdlet search recursively through subdirectories."
"Which cmdlet is used to read the contents of a file?","Read-Text","Get-Text","Get-Content","Import-Text","C","Get-Content reads the content of a text file line by line."
"Which loop ensures code executes at least once?","while","foreach","do-while","for","C","do-while executes the block at least once before checking the condition."
"How do you clear the screen in PowerShell?","Clear-Window","Reset-Terminal","cls","flush","C","The 'cls' command clears the PowerShell terminal screen."
"How can you display only the name of services using Get-Service?","Get-Service -Name","Get-Service | Select-Object Name","Show-Services","List-Service -Names","B","Select-Object is used to choose specific properties like Name from output."
"What is the purpose of Start-Sleep cmdlet?","Hibernate PC","Pause execution for a time","Log out user","Restart shell","B","Start-Sleep pauses the execution of a script for a specified time."
"Which symbol is used for variable substitution in strings?","%","@","$","#","C","$ is used to refer to variables inside double-quoted strings."
"How do you check the type of a variable in PowerShell?","typeof()","Check-Type","$var.GetType()","is_type()","C","GetType() is a method that returns the data type of the variable."
"What is the output of '$a = 5; $a + 3'?","53","8","5 3","35","B","This adds 3 to the numeric value of $a, which is 5."
"How do you declare an array in PowerShell?","array = {}","$a = ()","$a = @()","dim a()","C","@() is used to declare an empty array."
"Which operator is used for equality comparison in PowerShell?","==","eq","=","===","B","-eq is the equality comparison operator in PowerShell."
