QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is 'git rebase' primarily used for?,Delete branches,Combine multiple commits,Move or combine commits to a new base,Push code to remote,C,git rebase is used to move or combine a sequence of commits to a new base commit.
What does 'git rebase -i' enable?,Inline editing of files,Interactive rebase,Immediate merge,Insecure mode,B,git rebase -i enables interactive mode for customizing how commits are applied.
What is the difference between merge and rebase?,Merge rewrites history,Rebase creates a merge commit,"Rebase rewrites history, merge preserves it",They are the same,C,Rebase rewrites commit history to appear linear; merge preserves commit history.
Which rebase option skips the current patch?,#NAME?,#NAME?,#NAME?,#NAME?,A,git rebase --skip skips the patch that caused a conflict.
What does 'squash' mean in rebase?,Delete all commits,Split a commit,Combine multiple commits into one,Push to a remote branch,C,Squash merges multiple commits into a single commit during rebase.
What happens to commit hashes after rebase?,They stay the same,Only last commit hash changes,They all change,They are deleted,C,"Rebasing rewrites history, so all involved commit hashes change."
What is a safe branch to rebase?,Any branch,Only main,Only local branches not yet pushed,All remote branches,C,Rebase should only be used on local branches not shared with others.
How do you abort a rebase process?,git stop,git reset,git rebase --abort,git rebase --abort,D,git rebase --abort cancels the current rebase and restores the branch to its original state.
Which of the following is not a valid interactive rebase command?,pick,squash,merge,merge,D,"merge is not an interactive rebase command; pick, squash, and reword are."
What should you do after resolving conflicts during a rebase?,git push,git rebase --skip,git rebase --continue,git rebase --continue,D,"After resolving conflicts, run git rebase --continue to proceed."
What does 'git rebase --continue' do?,Ends rebase,Resolves all conflicts,Continues rebase after conflicts are resolved,Continues rebase after conflicts are resolved,D,Use git rebase --continue after resolving merge conflicts to proceed with the rebase.
Which flag starts a rebase from a specific commit?,#NAME?,#NAME?,#NAME?,#NAME?,A,git rebase --onto allows rebasing from a specific commit range.
What should be done before rebasing a shared branch?,Delete it,Force push it,Coordinate with team or avoid,Coordinate with team or avoid,D,Avoid rebasing public/shared branches unless coordinated with collaborators.
How do you start a rebase of feature onto main?,git merge main,git rebase main,git rebase onto main,git switch main,B,git rebase main applies commits from the current branch on top of main.
What is the purpose of 'reword' in interactive rebase?,Changes author name,Edits a commit message,Skips a commit,Deletes commit,B,reword allows editing the commit message during an interactive rebase.
What happens if a conflict occurs during rebase?,User must manually resolve and continue,Rebase aborts,User must manually resolve and continue,Branch resets,A,User must resolve conflicts and use git rebase --continue.
What does 'edit' mean in interactive rebase?,Edit commit history,Pause to amend a commit,Rebase all commits,Move commit,B,edit pauses the rebase to allow changing a specific commit.
How to squash last two commits using interactive rebase?,git squash HEAD~2,git rebase -i HEAD~2,git commit squash,git rebase --squash,B,git rebase -i HEAD~2 lets you squash the last two commits.
Which command lets you change the order of commits?,git rebase -i,git rebase -i,git switch-order,git log --edit,A,Interactive rebase (git rebase -i) allows reordering of commits.
What does 'git rebase --skip' do?,Skips the commit that caused a conflict,Skips the rebase log,Skips the commit that caused a conflict,Skips to the next branch,A,It skips the commit that cannot be applied cleanly.
