QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is a Dockerfile?,A file used to configure volumes,A file containing instructions to build a Docker image,A log file,A Docker registry configuration,B,A Dockerfile includes instructions to automate image creation.
Which instruction sets the base image in Dockerfile?,START,BASE,FROM,INIT,C,The FROM instruction sets the base image.
What does the RUN instruction do?,Runs a command in a container at runtime,Executes a command during image build,Starts a container,Lists image layers,B,RUN executes a command while the image is being built.
What is the purpose of the CMD instruction?,Sets default command for containers,Copies files,Deletes the image,Mounts a volume,A,CMD sets the default command for the container.
Which instruction copies files from host to image?,ADD,COPY,INJECT,LOAD,B,COPY transfers files from local machine into the image.
What does the EXPOSE instruction do?,Executes a port,Lists all network connections,Documents which ports a container listens on,Creates a network,C,EXPOSE indicates which port the container will use.
Which instruction sets environment variables?,SETENV,ENV,VAR,DEFINE,B,ENV is used to set environment variables in Dockerfile.
Can you have multiple CMD instructions in one Dockerfile?,"Yes, all will run","Yes, they run in order","No, only the last one takes effect","Yes, but only one runs randomly",C,Only the last CMD instruction will be used.
What does the ENTRYPOINT instruction define?,The path to Dockerfile,Base OS,Executable that runs as container starts,Default shell,C,ENTRYPOINT defines the main command to run on container startup.
Which instruction defines the working directory for RUN/CMD/ENTRYPOINT?,WORKDIR,ROOT,STARTDIR,PATH,A,WORKDIR sets the working directory for subsequent instructions.
What does the COPY instruction require?,Only file path,Source and destination paths,File type,A volume name,B,COPY requires both the source path on the host and destination path in the image.
What is the difference between COPY and ADD?,ADD is deprecated,ADD handles remote URLs and archives,COPY is slower,COPY can run shell commands,B,"ADD can handle remote URLs and decompress archives, COPY is for local copy only."
Which instruction provides metadata to an image?,ENV,CMD,LABEL,EXPOSE,C,"LABEL allows adding metadata such as version, description, or maintainer."
How do you combine multiple RUN commands efficiently?,Use RUN for each,Combine using && in one RUN,Write in a text file,Use ENTRYPOINT,B,Chaining commands using && in a single RUN layer reduces image size.
What does the USER instruction define?,Default terminal,Filesystem path,User the container runs as,Encryption key,C,USER specifies the username or UID to run the container process.
Which instruction can override CMD?,ENV,EXPOSE,ENTRYPOINT,FROM,C,ENTRYPOINT can override CMD when both are present in the Dockerfile.
What is the purpose of SHELL instruction?,Runs Bash by default,Changes shell used for RUN commands,Encrypts image,Sets volume path,B,SHELL allows defining the default shell for RUN and CMD instructions.
Which format is NOT valid for CMD instruction?,"CMD [""executable"",""param""]","CMD ""executable param""",CMD: executable,"CMD [""param""]",C,"CMD must use shell or exec format, not unsupported forms like 'CMD:'."
How can you define a maintainer in Dockerfile?,MAINTAINER instruction,OWNER field,LABEL maintainer,ENV maintainer,C,LABEL maintainer='name' is the recommended way to define maintainers.
What best practice helps keep Docker images small?,Install all software via CMD,Use many RUN commands,Avoid unnecessary packages and clean cache,Use EXPOSE frequently,C,Clean up cache and limit layers to reduce image size.
