QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What keyword begins a conditional block in Python?,if,switch,when,choose,A,'if' is the keyword used to start a conditional block in Python.
Which keyword is used to provide an alternative block when the condition is False?,unless,else,elif,otherwise,B,'else' defines a block of code that runs if the 'if' condition is False.
Which keyword checks a new condition if the previous 'if' was False?,elseif,or,elif,else if,C,'elif' checks an additional condition if the previous one was False.
"What is the output of:
if 3 > 2:
    print('Yes')
else:
    print('No')",Yes,No,3 > 2,Nothing,A,"3 > 2 is True, so 'Yes' is printed."
How is the indentation used in conditional statements?,It separates condition from logic,It’s required to define block scope,It's optional,It is only used for comments,B,Python uses indentation to define the scope of blocks like if/else.
"What will the following return?
x = 5
if x == 5:
    print('Five')",Error,Five,True,False,B,"Since x == 5, 'Five' will be printed."
Which value is considered False in condition checks?,0,[],None,All of the above,D,"In Python, 0, empty list, None, and empty string all evaluate to False."
How would you write a condition to check if 'x' is greater than 10?,if x > 10,if (x more than 10),when x > 10,x > 10 then,A,Standard Python syntax is: if x > 10
Which operator is used to compare two values?,=,==,!=,equals,B,'==' checks if two values are equal in Python.
How do you check if two conditions are both True?,if x and y,if x & y,if (x and y),Both A and C,D,Both 'if x and y' and 'if (x and y)' are valid for checking two True conditions.
What does 'if not x:' check?,If x is True,If x is not defined,If x is False or evaluates to False,If x is zero,C,"'not x' is True when x is False or falsy (e.g., 0, None, [])."
"What is the output?
x = 3
if x < 2:
    print('Low')
elif x == 3:
    print('Three')",Low,Three,Nothing,Error,B,"Since x == 3, the elif block will execute and print 'Three'."
Which logical operator returns True if at least one operand is True?,and,not,or,&,C,'or' returns True if any operand is True.
Which expression is evaluated first in a multi-condition if statement?,Rightmost condition,Randomly,Leftmost condition,None,C,Conditions are evaluated from left to right.
What is the output of: if []: print('Yes') else: print('No'),Yes,No,Error,None,B,"Empty list evaluates to False, so 'No' is printed."
What does 'if not x:' check?,If x is True,If x is not defined,If x is False or evaluates to False,If x is zero,C,"'not x' is True when x is False or falsy (e.g., 0, None, [])."
"What is the output?
x = 3
if x < 2:
    print('Low')
elif x == 3:
    print('Three')",Low,Three,Nothing,Error,B,"Since x == 3, the elif block will execute and print 'Three'."
Which logical operator returns True if at least one operand is True?,and,not,or,&,C,'or' returns True if any operand is True.
Which expression is evaluated first in a multi-condition if statement?,Rightmost condition,Randomly,Leftmost condition,None,C,Conditions are evaluated from left to right.
What is the output of: if []: print('Yes') else: print('No'),Yes,No,Error,None,B,"Empty list evaluates to False, so 'No' is printed."
What does 'if not x:' check?,If x is True,If x is not defined,If x is False or evaluates to False,If x is zero,C,"'not x' is True when x is False or falsy (e.g., 0, None, [])."
"What is the output?
x = 3
if x < 2:
    print('Low')
elif x == 3:
    print('Three')",Low,Three,Nothing,Error,B,"Since x == 3, the elif block will execute and print 'Three'."
Which logical operator returns True if at least one operand is True?,and,not,or,&,C,'or' returns True if any operand is True.
Which expression is evaluated first in a multi-condition if statement?,Rightmost condition,Randomly,Leftmost condition,None,C,Conditions are evaluated from left to right.
What is the output of: if []: print('Yes') else: print('No'),Yes,No,Error,None,B,"Empty list evaluates to False, so 'No' is printed."
