"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary goal of testing in React?","To render JSX quickly","To ensure components behave as expected","To style components","To configure routes","B","Testing helps verify the correctness of your components and application logic."
"Which testing library is commonly used with React?","Mocha","Jest","Chai","Enzyme","B","Jest is a popular testing framework for JavaScript and is often used with React."
"What is React Testing Library used for?","Unit testing Redux reducers","Rendering and testing UI interactions","Testing HTTP APIs","End-to-end testing","B","React Testing Library focuses on testing components through the user interface."
"What method is used to render components in React Testing Library?","mount()","render()","display()","test()","B","render() mounts the component for testing."
"Which function helps simulate user events?","fireEvent","triggerEvent","simulate","mockEvent","A","fireEvent is used to simulate DOM events like click, change, etc."
"What is the purpose of 'getByText' in React Testing Library?","To fetch content from an API","To select DOM nodes by visible text","To mock API calls","To search files","B","getByText allows finding elements by the text they display."
"What does 'screen' represent in React Testing Library?","CSS styling system","Global DOM access","Shortcut for rendered component","Device resolution","C","screen provides access to all queries on the rendered DOM."
"Which method waits for an async element to appear?","wait()","findBy","querySelector()","getByTestId","B","findBy waits for an async element to be found."
"What function is used to group tests in Jest?","testGroup()","describe()","itAll()","bundle()","B","describe() groups related test cases together."
"Which matcher is used for equality checks in Jest?","toEqual()","toBeVisible()","hasText()","toInclude()","A","toEqual() checks if the received value matches the expected value."
"What is a mock function?","A real function","A placeholder for HTML","A function that simulates behavior for testing","A lifecycle method","C","Mocks simulate the implementation of a function for testing."
"How do you mock API calls in tests?","Use fetch() directly","Use React Router","Use jest.fn() or jest.mock()","Use JSX tags","C","jest.fn() and jest.mock() are used to mock functions and modules."
"What is the benefit of using data-testid?","Adds styling","Simplifies component reuse","Easier element targeting in tests","Improves rendering speed","C","data-testid helps you uniquely identify and select elements in tests."
"Which function checks if a mock function was called?","wasCalled()","called()","toHaveBeenCalled()","didCall()","C","toHaveBeenCalled() verifies whether a mock function was invoked."
"What type of testing does React Testing Library encourage?","Snapshot testing","Implementation testing","UI and behavior testing","Route validation","C","React Testing Library emphasizes testing what the user sees and does."
"Which Jest function sets up code to run before each test?","beforeAll()","setup()","start()","beforeEach()","D","beforeEach() runs before each individual test block."
"Which method removes an element in the test cleanup?","clearElement()","unmount()","screen.cleanup()","cleanup()","D","cleanup() ensures the DOM is reset after each test."
"What type of matcher is toBeInTheDocument()?","DOM element matcher","Jest global","API response checker","Routing checker","A","toBeInTheDocument() confirms that an element exists in the DOM."
"Which command runs tests using Jest?","npm test","npm start","npm run dev","npm install test","A","npm test runs the configured test runner like Jest."
"What is the role of assertions in testing?","To run the app","To define expected outcomes","To fetch data","To style components","B","Assertions check that the expected result matches the actual result."
