QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is a lambda function in Python?,A named function,An anonymous function,A class,A package,B,Lambda functions are anonymous functions.
How many expressions can a Python lambda contain?,0,1,2,Unlimited,B,A lambda can only have a single expression.
Which of the following creates a lambda that adds 10?,lambda x: x + 10,lambda(x + 10),def x: return x + 10,function(x): x + 10,A,lambda x: x + 10 is correct lambda syntax.
Which function can use lambda as an argument for filtering?,map(),filter(),reduce(),sum(),B,filter() uses lambda to select items from a sequence.
"What is the result of: list(map(lambda x: x*2, [1, 2, 3]))?","[1, 2, 3]","[2, 4, 6]","[0, 1, 2]","[2, 3, 4]",B,"map applies lambda to each item, doubling the numbers."
Which statement about lambda functions is FALSE?,They can have multiple statements,They return values,They are used as arguments to higher-order functions,They are anonymous,A,Lambda functions cannot have multiple statements.
"What does filter(lambda x: x % 2 == 0, [1,2,3,4]) return?","[1, 3]","[2, 4]","[1, 2, 3, 4]",[2],B,It returns a list of even numbers.
"What does reduce(lambda x, y: x + y, [1, 2, 3, 4]) output?",10,24,1234,"[1,2,3,4]",A,"reduce applies lambda cumulatively, so 1+2+3+4=10."
How do you write a lambda function that squares its input?,lambda x: x**2,lambda x: x^2,lambda(x): x*x,def square(x): return x**2,A,lambda x: x**2 returns the square of x.
Can a lambda function have default argument values?,No,Yes,Only for integers,Only for strings,B,Lambda functions can have default argument values.
Which module provides the reduce function in Python 3?,math,functools,itertools,operator,B,reduce is in functools module in Python 3.
"What is the output: list(map(lambda x: x.upper(), ['a','b']))?","['A', 'B']","['a', 'b']",['A'],"['B', 'A']",A,Each character is converted to uppercase.
Which of the following can NOT be used inside lambda?,Arithmetic operations,Assignment statement,Function call,Method call,B,Assignment is not allowed in lambda functions.
How can you use lambda to sort a list of tuples by second item?,key=lambda x: x[1],lambda x: sort(x[1]),lambda sort(x[1]),lambda x: x[2],A,key=lambda x: x[1] sorts by the second element.
Can you assign a lambda function to a variable?,No,Yes,Only with def,Only inside a class,B,Lambda functions can be assigned to variables.
"What is the output: (lambda x, y: x * y)(2, 3)?",5,6,23,None,B,"2*3=6, so the lambda returns 6."
Which of the following is a correct way to use lambda for sorting?,"sorted(list, key=lambda x: x)",lambda sort(list),"sort(list, lambda x: x)",sort(key=list),A,"sorted(list, key=lambda x: x) uses lambda for sorting."
What will be printed: print((lambda x: x * 2)(5))?,10,5,2,25,A,The lambda returns 5*2 = 10.
How do you use lambda to filter odd numbers from a list?,"filter(lambda x: x % 2, list)","filter(lambda x: x // 2, list)","map(lambda x: x % 2, list)","reduce(lambda x: x % 2, list)",A,"filter(lambda x: x % 2, list) gives odd numbers."
"What does this return: list(map(lambda x: x[::-1], ['ab','cd']))?","['ab', 'cd']","['ba', 'dc']","['a', 'c']","['dc', 'ba']",B,The lambda reverses each string.
What is the primary use of lambda in Python?,Short anonymous functions,Looping,Class definition,File handling,A,Lambda creates small anonymous functions.
Can lambda functions have variable number of arguments?,"Yes, using *args","No, fixed only",Only for two arguments,Only for keyword arguments,A,Lambdas can use *args for variable number of arguments.
Is it possible to use lambda inside a list comprehension?,Yes,No,Only inside functions,Only in Python 2,A,Lambda can be used inside list comprehensions.
Which of the following applies a function to every item in a list?,map(),filter(),reduce(),sum(),A,map() applies a function to each list item.
Which of these is not a typical use case for lambda?,Defining methods in a class,Short throwaway functions,Sort custom keys,Filtering data,A,Methods in classes are not typically written as lambda.
