"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is middleware in .NET Core?","A database connection string","A delegate that handles HTTP requests and responses","A configuration file","A web server","B","Middleware is software that processes HTTP requests and responses in the request pipeline."
"In which method are middlewares added in .NET Core?","ConfigureServices","Main","Configure","CreateHostBuilder","C","Middlewares are added inside the Configure method in Startup.cs."
"Which method is used to add middleware in the pipeline?","UseMiddleware()","AddMiddleware()","EnableMiddleware()","StartMiddleware()","A","UseMiddleware() is used to insert middleware into the HTTP request pipeline."
"What does app.UseRouting() middleware do?","Logs requests","Handles endpoint matching","Handles authentication","Starts the web server","B","UseRouting() matches the incoming request to an endpoint."
"Which of the following is true about middleware order?","Order doesn't matter","Order only affects performance","Middleware order determines request and response flow","Only the last middleware runs","C","Middleware execution is sequential; order determines how requests and responses are handled."
"Which middleware component is responsible for authorizing users?","UseEndpoints","UseAuthorization","UseStaticFiles","UseCors","B","UseAuthorization is responsible for enforcing access rules on endpoints."
"Where is custom middleware usually implemented?","Startup.cs","Program.cs","A separate class implementing Invoke or InvokeAsync","ConfigureServices","C","Custom middleware is defined in a class with Invoke or InvokeAsync methods."
"How is middleware invoked in custom classes?","By calling Run()","Using a delegate function","Through Invoke or InvokeAsync methods","Via reflection","C","Custom middleware classes must implement an Invoke or InvokeAsync method."
"What does app.UseEndpoints() do?","Starts the HTTP pipeline","Serves static files","Executes matched endpoints","Adds global exception filters","C","UseEndpoints() is used to execute the endpoint matched by routing."
"Which method is used to short-circuit the pipeline?","app.Use()","app.Run()","app.Configure()","app.Inject()","B","app.Run() is used to terminate the middleware pipeline."
"What is the purpose of app.UseStaticFiles()?","Enable logging","Serve HTML templates","Serve static files like CSS, JS","Authorize users","C","UseStaticFiles serves files from the wwwroot folder by default."
"Which middleware is typically registered first?","UseRouting","UseAuthorization","UseEndpoints","UseExceptionHandler","D","UseExceptionHandler is often one of the first to catch any exceptions early in the pipeline."
"What does the 'next' parameter in middleware represent?","The next HTTP request","The next configuration file","The next middleware in the pipeline","The next method to invoke in Startup.cs","C","'next' is a delegate that represents the next middleware component in the pipeline."
"How do you make middleware asynchronous?","Use Wait()","UseThread()","Use InvokeAsync() and await next()","Use Sleep()","C","InvokeAsync with await next() ensures asynchronous execution of middleware."
"Can middleware access request headers?","No","Only in Razor Pages","Yes, via HttpContext.Request.Headers","Only after UseAuthorization","C","Middleware can access and manipulate request and response headers using HttpContext."
"Which interface is used to create reusable middleware?","IMiddleware","IStartup","IBuilder","IEndpoint","A","IMiddleware is used to define reusable middleware that can be injected using DI."
"How is IMiddleware added to the pipeline?","UseMiddleware<IMiddlewareType>()","AddTransient()","UseHandler()","ConfigurePipeline()","A","UseMiddleware<T>() is used to add custom middleware class implementing IMiddleware."
"What is the correct order of routing and endpoints middleware?","UseEndpoints → UseRouting","UseAuthorization → UseRouting","UseRouting → UseAuthorization → UseEndpoints","UseRouting → UseEndpoints → UseAuthorization","C","Middleware should be ordered as UseRouting → UseAuthorization → UseEndpoints."
"Where are middleware components configured?","ConfigureServices method","Program.cs Main method","appsettings.json","Configure method of Startup.cs","D","Middleware is configured in the Configure method in Startup.cs using app.Use* methods."
"What is middleware chaining?","Injecting services","Using multiple app.Use statements in a sequence","Combining Razor Pages","Linking class libraries","B","Chaining refers to linking multiple middleware components using app.Use in sequence."
