"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is routing in ASP.NET Core?","A way to manage configuration files","A system for matching incoming requests to endpoints","A feature to enable logging","A database access mechanism","B","Routing in ASP.NET Core maps HTTP requests to endpoints like controllers or Razor Pages."
"Which middleware must be used before endpoint execution?","UseEndpoints","UseRouting","UseAuthorization","UseStaticFiles","B","UseRouting matches the route and must be called before UseEndpoints to map to the correct handler."
"What is the default route template in ASP.NET Core MVC?","{action}/{controller}/{id?}","api/{controller}/{action}/{id?}","{controller=Home}/{action=Index}/{id?}","{controller}/{action}/{id=1}","C","The default route in ASP.NET Core MVC is {controller=Home}/{action=Index}/{id?}."
"What does the [Route] attribute do?","Specifies authentication schemes","Defines route templates for actions or controllers","Injects services into controllers","Executes endpoint logic","B","[Route] attribute defines routing patterns for actions or controllers in attribute routing."
"Which directive is used to define Razor Page routing?","@route","@bind","@page","@model","C","@page is used in Razor Pages to make the file addressable via routing."
"Where is conventional routing typically configured?","appsettings.json","Program.cs","Startup.cs in UseEndpoints","Controller constructor","C","Conventional routes are added in the UseEndpoints method inside Startup.cs."
"What does the '?' character indicate in a route template?","A required parameter","An optional parameter","A static route","A regex constraint","B","In route templates, '?' indicates that a parameter is optional."
"Which attribute defines HTTP method constraints in routing?","[Route]","[HttpGet], [HttpPost]","[FromBody]","[Validate]","B","[HttpGet], [HttpPost], etc., specify the HTTP methods allowed for a route."
"How are route parameters accessed in controller actions?","Via HttpContext","Via configuration binding","As method parameters","Via appsettings.json","C","Route parameters are automatically bound to action method parameters."
"Which method adds Razor Pages routing support?","endpoints.MapControllers()","endpoints.MapPageRoutes()","endpoints.MapRazorPages()","app.UseMvc()","C","MapRazorPages adds endpoint routing support for Razor Pages."
"What is endpoint routing introduced in ASP.NET Core?","A logging tool","A way to map requests to endpoints via middleware","A way to scale VMs","A configuration manager","B","Endpoint routing decouples route matching and execution using middleware."
"How do you specify route constraints?","{id:int}","id:[int]","{int=id}","id:int?","A","Constraints like {id:int} enforce type validation in route parameters."
"Which routing approach allows defining routes directly in controllers?","Conventional Routing","Attribute Routing","Default Routing","Static Routing","B","Attribute routing defines routes via attributes on controllers or actions."
"What happens if no route matches a request?","Default route is used","App shuts down","404 Not Found is returned","Request is re-tried","C","If no route matches, a 404 Not Found error is returned to the client."
"Which method enables controller-based routing?","MapControllerRoutes()","UseControllers()","AddMvcRouting()","EnableEndpoints()","A","MapControllerRoutes sets up conventional routes for MVC controllers."
"What is a catch-all route parameter?","*id","id/all","{*catchall}","{}","C","A catch-all parameter is specified with {*} to capture the rest of the URL."
"How can you prioritize one route over another?","Using route priority","Registering shorter routes first","Using middleware order","Adding to appsettings.json","B","In conventional routing, routes registered earlier have higher priority."
"Which file is responsible for configuring routing middleware?","Program.cs","appsettings.json","Startup.cs","Controller.cs","C","Startup.cs contains the configuration logic for routing middleware."
"What does [FromRoute] attribute indicate?","Value is from the HTTP body","Value is from the query string","Value is from the route data","Value is from the form post","C","[FromRoute] binds parameters from the route template."
"What is the effect of using multiple route templates on a controller?","Only one will work","Controller cannot be loaded","Multiple URLs can reach the same controller","It disables routing","C","Multiple route templates allow accessing a controller action from different paths."
