"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is exception handling in C# used for?","Optimizing performance","Managing compile-time errors","Handling runtime errors gracefully","Managing memory leaks","C","Exception handling in C# is used to handle runtime errors gracefully and avoid application crashes."
"Which keyword is used to catch exceptions?","error","catch","exception","trap","B","The catch keyword is used to catch and handle exceptions in C#."
"What keyword is used to throw an exception manually?","raise","create","throw","new","C","The throw keyword is used to manually throw an exception."
"What is the purpose of the finally block?","To catch unhandled exceptions","To execute code only when an exception occurs","To execute code regardless of exception","To retry the try block","C","The finally block runs whether or not an exception occurs."
"Which exception is thrown when trying to divide by zero?","NullReferenceException","ArithmeticException","DivideByZeroException","OverflowException","C","DivideByZeroException is thrown when a division by zero is attempted."
"What is the base class of all exceptions in C#?","BaseException","SystemError","Object","Exception","D","All exceptions derive from the System.Exception class."
"Which of the following is a custom exception?","System.Exception","ArgumentException","UserDefinedException : Exception","DivideByZeroException","C","Custom exceptions inherit from the Exception class."
"What happens if an exception is not caught?","Code resumes at the next statement","The application crashes","The error is ignored","The compiler fixes it","B","If an exception is unhandled, the program will crash."
"Which of these is a valid exception type in C#?","IOException","NotAnException","MainException","WarningException","A","IOException is a valid built-in exception type in C#."
"Can you have multiple catch blocks for one try block?","Yes","No","Only in .NET 6","Only for checked exceptions","A","Multiple catch blocks can be used to handle different types of exceptions."
"What keyword is used to rethrow an exception?","rethrow","repeat","throw;","raise again","C","Use throw; to rethrow the current exception without modifying it."
"Which method gets the exception message?","GetText()","Message()","ExceptionMessage()","Message","D","The Message property provides the description of the exception."
"What does the StackTrace property show?","Variable values","Method code","Call stack of the exception","Return values","C","StackTrace gives the series of method calls that led to the exception."
"What is the catch block used for?","To validate data","To ensure program terminates","To log errors only","To handle the error and continue execution","D","catch handles the error and can allow execution to continue."
"What is the syntax to define a custom exception?","class MyException : ApplicationException","class MyException extends Error","class MyException inherits Exception","MyException implements Exception","A","Custom exceptions are defined by inheriting from ApplicationException or Exception."
"Which exception is thrown when accessing an object that is null?","NullReferenceException","ArgumentException","InvalidOperationException","IOException","A","NullReferenceException occurs when you try to use an object that is null."
"Can a try block exist without a catch block?","Yes, if finally is present","No, it's mandatory","Yes, in abstract classes only","Only in .NET Core","A","A try block must be followed by either a catch or finally block."
"What happens if you catch a specific exception before a general one?","Compiler error","Only general is caught","It works correctly","Both are ignored","C","Specific exceptions should come before general ones to be effective."
"What is the base class for I/O related exceptions?","IOException","SystemException","IOError","FileException","A","IOException is the base class for exceptions from failed I/O operations."
"Can you nest try-catch blocks in C#?","No","Yes","Only in static methods","Only in Windows Forms","B","C# allows nesting try-catch blocks for more fine-grained error handling."
