"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Apache Spark?","A web server","A distributed computing system for big data processing","An IoT device manager","A key vault service","B","Spark is an open-source distributed computing framework for big data analytics and transformations."
"What programming languages are commonly used with Spark?","HTML and CSS","Java and PHP","Python and Scala","C++ and Ruby","C","Spark supports multiple languages, most commonly Python and Scala for data processing."
"What is a Spark DataFrame?","A HTML frame for data","A JSON object","A distributed collection of data organized into columns","A simple text file","C","DataFrames are the core abstraction in Spark, representing data as tables across distributed nodes."
"What is the purpose of a Spark notebook?","To store images","To build CI/CD pipelines","To write and execute Spark code interactively","To upload files to Blob","C","Notebooks allow interactive development, testing, and visualization of Spark jobs."
"What is PySpark?","A cloud database","A Python interface for Apache Spark","A Java compiler","A Node.js framework","B","PySpark provides a Python API for writing Spark applications."
"What function reads a file into a DataFrame in PySpark?","loadFile()","readFile()","spark.read.csv()","file.read()","C","spark.read.csv() reads CSV files into a Spark DataFrame in PySpark."
"What is a Spark session?","A user login","A web application","An entry point to programming Spark with DataFrames","A notebook instance","C","SparkSession is the entry point for working with structured data and DataFrames."
"What does the 'show()' method do on a DataFrame?","Saves the file","Displays the top rows of data","Deletes columns","Sorts the data","B","show() is used to view a sample of rows from the DataFrame."
"What is the purpose of 'filter()' in PySpark?","Creates a database","Converts data to JSON","Filters rows based on a condition","Adds a new column","C","filter() selects rows based on given criteria."
"What does 'withColumn()' do in a Spark DataFrame?","Deletes the column","Renames the column","Creates or replaces a column","Saves as HTML","C","withColumn() is used to add or update columns in a DataFrame."
"What is a notebook cell?","A command prompt","A memory block","A section for running code or markdown","A loop counter","C","Cells in notebooks allow code execution or markdown text entry separately."
"Which Spark function performs aggregation?","sum()","groupBy()","filter()","join()","B","groupBy() is used for aggregation like counting or summing grouped values."
"How do you save a Spark DataFrame as Parquet?","write.csv()","to_sql()","write.parquet()","to_json()","C","write.parquet() saves a DataFrame in efficient columnar Parquet format."
"What is Spark's lazy evaluation?","Code runs instantly","Spark immediately returns results","Execution is deferred until an action is called","It means slow queries","C","Spark delays execution until an action like count() or show() is triggered."
"What is the use of 'collect()' in PySpark?","To delete rows","To collect the result as a Python list","To generate schema","To write logs","B","collect() gathers the result into local memory as a list of Row objects."
"What does 'createOrReplaceTempView()' do?","Saves a file","Creates a temporary table for SQL queries","Deletes temporary files","Starts a new Spark job","B","It registers a DataFrame as a temporary SQL view for querying with SQL syntax."
"How do you run a SQL query in Spark?","spark.query()","df.selectSQL()","spark.sql()","sqlQuery()","C","spark.sql() is used to run SQL queries on temporary views or tables in Spark."
"What is the benefit of Spark's in-memory computation?","Slower processing","Improved latency and performance","Reduces storage","Deletes old files","B","In-memory processing accelerates computation by avoiding disk I/O."
"What is a Spark cluster?","A local backup","A collection of Spark nodes managed by a master","A version control system","A VM image","B","A cluster is a distributed environment where Spark jobs are processed by multiple nodes."
"What does 'cache()' do in Spark?","Encrypts the data","Flushes logs","Persists the data in memory for reuse","Downloads the data","C","cache() keeps the data in memory to speed up repeated computations."
