"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is encapsulation in C#?","Storing data in arrays","Binding data and methods into a single unit","Accessing protected members","Creating inheritance hierarchies","B","Encapsulation means combining data and the code that operates on it within one unit, like a class."
"Which access modifier restricts access to the current class only?","public","protected","internal","private","D","The private access modifier restricts access to members within the same class only."
"What is the purpose of properties in C#?","To define abstract members","To directly access private variables","To provide controlled access to fields","To execute methods","C","Properties are used to encapsulate fields and provide controlled access using get and set."
"Which keyword defines a property accessor for reading values?","set","get","read","access","B","The get accessor returns the property value."
"Which keyword defines a property accessor for writing values?","get","write","set","put","C","The set accessor assigns a value to the backing field."
"What is a benefit of encapsulation?","Multiple inheritance","Direct field access","Data hiding and abstraction","Static memory allocation","C","Encapsulation helps achieve data hiding and abstraction."
"Which C# feature provides access control to class members?","Access specifiers","Indexers","Events","Constructors","A","Access specifiers like private, public, and protected define access control."
"Can a private member be accessed from outside its class?","Yes","No","Only in static classes","Only using reflection","B","Private members are only accessible within the class in which they are defined."
"Which access modifier allows access within the same assembly?","protected","internal","public","private","B","internal allows access from any class within the same assembly."
"What does auto-implemented property syntax simplify?","Inheritance","Exception handling","Defining backing fields","Overloading operators","C","Auto-implemented properties eliminate the need for explicit backing fields."
"Which keyword is used to define a property?","field","prop","property","None, use get and set inside a block","D","Properties in C# are defined using get and set blocks within a declaration."
"What is the default accessibility of class members?","protected","internal","public","private","D","Class members are private by default if no access modifier is specified."
"Can encapsulation help in maintaining code?","No, it increases complexity","Yes, by hiding implementation details","Only in static classes","Only in structs","B","Encapsulation hides implementation and reduces interdependency, improving maintainability."
"Which is true about public fields?","They are always constant","They violate encapsulation principles","They must be read-only","They can’t be serialized","B","Public fields allow direct access, which breaks encapsulation."
"What does the backing field store in a property?","Method logic","Event details","The actual data value","The class name","C","A backing field stores the value used by a property."
"How can encapsulation be enforced?","By making all members public","By using classes with only static members","By using private fields with public properties","By declaring everything internal","C","Encapsulation is typically enforced by keeping fields private and exposing them via properties."
"What does get accessor do?","Sets a field’s value","Returns the field’s value","Deletes a field","Declares a method","B","The get accessor returns the value of the backing field."
"What type of data is commonly encapsulated?","Private static constants","Public delegates","Private fields","Static constructors","C","Encapsulation typically hides private fields from external access."
"Which of the following promotes encapsulation?","Declaring all fields public","Avoiding access modifiers","Using private fields with public get/set","Making methods global","C","Using private fields and exposing them through properties ensures encapsulation."
"Which concept is achieved by encapsulation?","Dynamic typing","Data hiding","Multiple inheritance","Polymorphic behavior","B","Encapsulation hides internal object details from external code, achieving data hiding."
