"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary purpose of async and await in C#?","To create threads","To handle exceptions","To simplify asynchronous programming","To speed up the CPU","C","The async and await keywords simplify writing and managing asynchronous code."
"What must be the return type of an async method?","void","int","Task or Task<T>","object","C","Async methods typically return Task or Task<T>, allowing the code to await their completion."
"Which of the following is TRUE about async methods?","They block the current thread","They execute synchronously","They must use the await keyword","They can't throw exceptions","C","Async methods should use the await keyword to be effective and non-blocking."
"What happens if await is not used inside an async method?","It runs synchronously","It throws an exception","It requires return type void","It cannot be compiled","A","Without await, the async method runs like a synchronous method."
"Which namespace contains the Task class?","System.IO","System.Threading","System.Collections","System.Threading.Tasks","D","Task and Task<T> are part of System.Threading.Tasks for asynchronous programming."
"What is returned by an async method without a return statement?","null","void","Task","int","C","An async method without a return statement returns a Task."
"Which exception type wraps all async exceptions?","System.Exception","AggregateException","InvalidOperationException","TimeoutException","B","AggregateException is used to represent multiple errors in async tasks."
"Which method is used to start a task?","Run()","Begin()","StartTask()","Launch()","A","Task.Run() is commonly used to start a new task."
"What does ConfigureAwait(false) do?","Prevents blocking","Avoids context capture","Stops awaiting","Returns void","B","ConfigureAwait(false) avoids capturing the current synchronization context."
"Which keyword is used to handle exceptions in async methods?","try-catch","await-catch","error block","finally-only","A","Async methods can use try-catch blocks to handle exceptions."
"Which of the following is not a valid async return type?","void","Task","Task<int>","int","D","Async methods must return Task, Task<T>, or void—not plain types like int."
"How do you call an async method without await?","RunIt()","FireAndForget()","Directly invoke method","You cannot do that","C","You can call an async method directly without await, but you won't track completion."
"Which method returns immediately and runs asynchronously?","await","Task.Run()","new Task()","Thread.Sleep()","B","Task.Run() executes code on a separate thread pool thread."
"Which method is used to wait for all tasks to complete?","Task.WhenAll()","WaitAll()","RunAll()","CompleteAll()","A","Task.WhenAll() waits for multiple tasks to finish."
"Which method gets the result of a completed Task<T>?",".Output",".Result",".Get()",".Value()","B","Use the Result property to access the result of a Task<T>."
"What is async void used for?","Main methods","Unit tests","Event handlers","Web requests","C","async void is only recommended for event handlers in C#."
"How do you delay an async method?","Thread.Sleep()","await Wait()","await Task.Delay()","await Timeout()","C","Use Task.Delay() to pause asynchronously without blocking the thread."
"What happens when await is used with Task.Delay?","Blocks the main thread","Delays without blocking","Executes immediately","Throws timeout","B","Task.Delay with await introduces an async delay without blocking the thread."
"Which of the following avoids deadlocks in UI apps?","ConfigureAwait(true)","Thread.Sleep()","ConfigureAwait(false)","Lock()","C","ConfigureAwait(false) helps avoid deadlocks by not resuming on the UI thread."
"Which method signature is invalid for an async method?","async Task GetData()","async void LoadData()","async int Calculate()","async Task<int> Process()","C","Return type must be Task, Task<T>, or void; not a plain int."
