QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the main benefit of Object-Oriented Programming?,Faster execution,Modular and reusable code,Larger file size,More syntax rules,B,OOP promotes modular and reusable code through encapsulation and inheritance.
What keyword is used to define a class in Python?,object,define,class,struct,C,The 'class' keyword is used to define a class in Python.
How do you create an object in Python?,new Object(),Object(),Object.create(),create Object(),B,Classes are instantiated using ClassName() syntax.
Which method is called when an object is created?,__start__(),__init__(),__new__(),constructor(),B,__init__() is the constructor method in Python.
Which keyword is used to inherit from a class?,extend,inherits,from,class BaseClass,D,Inheritance is done using class SubClass(BaseClass) syntax.
What is 'self' in a class method?,A keyword for super class,Current class name,A reference to the instance,A global variable,C,'self' refers to the instance of the object itself.
What is encapsulation in OOP?,Defining multiple classes,Binding data and functions together,Running parallel classes,Dividing program into parts,B,Encapsulation is binding data and functions in a class.
Which operator is used to access methods from an object?,::,->,.,:,C,The dot (.) operator is used to access attributes and methods.
Which method returns the string representation of an object?,__str__(),toString(),__print__(),__show__(),A,__str__() defines the string representation for print().
What does the 'super()' function do?,Calls parent method,Skips base class,Returns base class name,Deletes inherited methods,A,super() is used to call methods of the parent class.
Which is an example of method overloading in Python?,Multiple methods with same name but different arguments,Using '+' for both addition and concatenation,Defining static methods,Using global variables,A,Method overloading is implemented using default arguments or type-checking.
Which method defines the behavior of the len() function?,__size__(),__count__(),__len__(),__length__(),C,__len__() allows the object to respond to len().
What is the use of __del__() in Python classes?,Creates a destructor,Initializes data,Prints object,Used for debugging,A,__del__() is the destructor method in Python.
"What is the result of isinstance(obj, ClassName)?",Checks type identity,Checks class name,Checks if obj is instance of ClassName,Creates a new object,C,isinstance() checks if the object is an instance of a class.
What is the base class for all exceptions in Python?,Exception,Error,BaseError,Throwable,A,Exception is the base class for all built-in exceptions.
What is instance variable?,Belongs to class only,Static variable,Defined inside method using self,Used in main function,C,Instance variables are defined in methods using self.
What is a class variable in Python?,A variable outside class,A global variable,Shared across all instances,Specific to each method,C,Class variables are shared among all instances of the class.
Which feature hides internal implementation details?,Polymorphism,Abstraction,Inheritance,Extension,B,Abstraction hides unnecessary implementation details from the user.
Which access modifier makes a method private in Python?,_method,__method,private method,$method,B,Prefixing with double underscore makes a method private.
Which principle of OOP means using the same method name with different behavior?,Encapsulation,Polymorphism,Inheritance,Abstraction,B,Polymorphism allows the same method name to behave differently in different contexts.
What is method overriding?,Reusing a variable name,Creating a new class,Replacing a parent method in child class,Using the same name for functions and classes,C,Method overriding redefines a method from the base class in a derived class.
What is the difference between @staticmethod and @classmethod?,classmethod requires an instance,staticmethod takes no self or cls,staticmethod needs self,classmethod cannot access class data,B,staticmethod does not take 'self' or 'cls' and cannot access instance/class data.
Which method is called when using the str() function on an object?,__print__(),__str__(),__init__(),__show__(),B,str(obj) calls the __str__() method of the object.
What is the output of type(object)?,int,str,type,object,C,type(object) returns 'type' as it's the metaclass of all classes.
Which principle allows objects of different classes to be treated as instances of the same class through a common interface?,Encapsulation,Inheritance,Abstraction,Polymorphism,D,Polymorphism allows objects to be treated uniformly across different types.
