"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Delta Lake?","A NoSQL database","An Azure region","A storage layer that brings ACID transactions to big data","A GPU service","C","Delta Lake adds ACID compliance and reliability to data lakes using Apache Spark."
"What is the Lakehouse architecture?","A cloud messaging service","An API manager","A unified architecture combining data lake and data warehouse","A Power BI model","C","Lakehouse blends the scalability of lakes with the management of warehouses."
"What file format does Delta Lake use?","CSV","JSON","Parquet","Avro","C","Delta Lake is built on top of the Parquet file format with transactional support."
"What does 'ACID' stand for in Delta Lake?","Access, Copy, Index, Delete","Atomicity, Consistency, Isolation, Durability","Advanced Computation in Databricks","Automated Clustering in Data","B","ACID ensures reliable transactions, even on big data platforms like Delta Lake."
"What is a Delta Table?","A pipeline component","A feature in Synapse","A transactional table built on top of Parquet with Delta support","A database function","C","Delta Tables are enhanced tables offering ACID operations and schema enforcement."
"What is Databricks?","A mobile app builder","A managed analytics platform for big data and machine learning","A DNS service","A web scraping tool","B","Databricks is a collaborative platform optimized for big data processing with Apache Spark."
"What is the use of Databricks notebooks?","Edit images","Write and run interactive code using multiple languages","Create Azure ARM templates","Access virtual machines","B","Databricks notebooks support interactive data analysis in languages like Python, Scala, and SQL."
"What is time travel in Delta Lake?","Scheduling jobs","Querying previous versions of data","Migrating to another region","Cloud billing optimization","B","Time travel lets you access past versions of Delta tables using versioning or timestamps."
"Which Databricks component allows cluster sharing?","GitHub","Secrets manager","Cluster pools","Blob storage","C","Cluster pools reduce startup time by maintaining a set of warm VMs to share across jobs."
"What is a Databricks job?","A VM configuration","A security group","A task that runs a notebook or script on a cluster","A backup system","C","Jobs in Databricks automate tasks such as notebook runs, scripts, or workflows."
"What does 'OPTIMIZE' do in Delta Lake?","Sorts data into folders","Performs compaction and improves performance","Adds more CPU","Changes table format","B","OPTIMIZE rewrites files to reduce fragmentation and enhance read speed."
"What command enables time travel using a specific version?","SELECT FROM TABLE VERSION AS","READ_TABLE('v1')","OPTIMIZE TABLE WITH HISTORY","SHOW HISTORY TABLE","A","SELECT FROM table VERSION AS OF <number> enables querying past states of Delta tables."
"How does Delta Lake handle schema evolution?","Rejects all changes","Automatically adapts to all fields","Supports controlled schema changes with mergeSchema option","Deletes columns","C","Delta Lake supports safe schema evolution with options like mergeSchema."
"Which service is used to store secrets securely in Databricks?","Azure Monitor","Azure Key Vault","Azure DevOps","Blob Storage","B","Databricks integrates with Azure Key Vault for managing secrets securely in notebooks."
"Which command writes a DataFrame to a Delta table?","write.table()","df.toDelta()","df.write.format('delta')","saveAsDelta()","C","Spark DataFrames can be saved as Delta using df.write.format('delta').save(path)."
"What happens when you delete data in Delta Lake?","Data is lost forever","Table is dropped","Delta logs track the change, and data can be recovered temporarily","It triggers a workflow","C","Delta log stores changes, and time travel enables data recovery."
"Which operation is atomic in Delta Lake?","Group by","Join","Merge (upsert)","Rename column","C","Merge allows atomic upsert operations combining update and insert actions in Delta tables."
"What is a key benefit of Delta Lake over plain Parquet?","Bigger file size","No partitioning","Transaction support and scalable metadata","Better UI","C","Delta enhances Parquet with transactions, schema enforcement, and scalable metadata handling."
"What is a cluster in Databricks?","A group of users","A set of linked SQL views","A set of compute resources for executing notebooks and jobs","A dashboard template","C","A cluster is a collection of VMs that executes Spark computations in Databricks."
"Which command removes old Delta table data files safely?","VACUUM","CLEAR","DELETE FILES","ARCHIVE","A","VACUUM removes obsolete data files from Delta tables based on retention period."
