QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the primary goal of securing an API?,Faster response times,Better frontend integration,Prevent unauthorized access,Enable database optimization,C,"Securing an API is primarily meant to prevent unauthorized access to resources and data."
Which protocol is essential for secure data transmission in APIs?,FTP,HTTP,HTTPS,SMTP,C,"HTTPS ensures encrypted communication over the web, making data transmission secure."
What is the function of an API key?,Encrypts the data,Authenticates the client,Logs request history,Parses JSON,B,"An API key is used to authenticate the client making the request to the API."
Which authentication mechanism is widely used in RESTful APIs?,OAuth 2.0,FTP,DNS,SMTP,A,"OAuth 2.0 is a widely adopted standard for secure authorization in RESTful APIs."
What is rate limiting used for in API security?,Improve bandwidth,Increase server speed,Prevent abuse by limiting requests,Generate encryption,C,"Rate limiting prevents clients from making too many requests, protecting the API from abuse."
Which HTTP header commonly carries a JWT token?,Token-Auth,JWT-Token,Authorization,X-Session,C,"The Authorization header typically contains the Bearer token, which can be a JWT."
What is CORS used for in APIs?,Encrypting tokens,Controlling resource sharing across domains,Blocking IP addresses,Validating API keys,B,"CORS (Cross-Origin Resource Sharing) defines how resources can be shared across different domains."
Which HTTP status code indicates 'Unauthorized'?,200,403,404,401,D,"401 Unauthorized is returned when authentication is required and has failed or not been provided."
How can you verify the authenticity of a JWT token?,Compare with session ID,Recalculate the signature,Parse only the payload,Validate CORS,B,"JWT tokens are verified by recalculating the signature and comparing it with the one in the token."
What is mutual TLS (mTLS) used for?,Caching APIs,Logging errors,Both client and server authentication,Token renewal,C,"mTLS is used to authenticate both the client and server using certificates."
Which type of attack does input validation help prevent?,Brute force,SQL Injection,DDoS,Phishing,B,Input validation helps prevent SQL Injection by ensuring user inputs are properly sanitized and validated.
What is the benefit of using OAuth scopes?,Compress API traffic,Limit access to certain resources,Increase login speed,Add custom headers,B,OAuth scopes allow developers to limit what an access token can do, enhancing security by enforcing least privilege.
What is the best practice for storing API secrets?,Hard-code in codebase,Store in environment variables,Place in comments,Save in cookies,B,Environment variables are secure and flexible for storing secrets, unlike hard-coding or storing in comments.
Which of the following is NOT a secure practice?,Validate input,Use HTTPS,Expose API keys in URLs,Implement access control,C,Exposing API keys in URLs is insecure because URLs can be logged and intercepted.
What is the purpose of a refresh token?,Extends session after access token expiry,Encrypts the payload,Generates client logs,Resets password,A,A refresh token is used to obtain a new access token after the original has expired, without requiring re-authentication.
What is the principle of least privilege?,Users should share credentials,Users get full admin access,Users receive only necessary permissions,Only frontend apps are secured,C,The principle of least privilege means giving users only the access necessary to do their job—no more, no less.
Which status code means "Forbidden" access?,200,404,401,403,D,403 Forbidden means the server understands the request but refuses to authorize it.
How can API replay attacks be prevented?,Use strong passwords,Disable HTTPS,Implement timestamps and nonces,Use GET instead of POST,C,Timestamps and nonces help prevent replay attacks by ensuring requests are unique and time-bound.
Which method is safest for passing tokens?,As a query parameter,In URL fragment,In HTTP headers,In user-agent,C,HTTP headers are the safest method for passing tokens since query parameters and fragments can be logged and exposed.
What tool is often used to test secure APIs manually?,Postman,Firebase,Docker,WordPress,A,Postman is widely used to manually test and debug APIs, including those requiring authentication and secure headers.
