QuestionText, OptionA, OptionB, OptionC, OptionD, CorrectAnswer, Explanation
Which of the following is the primary class used to interact with the database in EF Core?, DbConnection, DbContext, DbSet, EntityModel, B, DbContext is the primary class used to interact with the database in EF Core.
In EF Core, what is the purpose of the DbSet<T> property?, To define foreign keys, To establish a migration, To represent a table in the database, To track model states, C, DbSet<T> represents a table in the database in EF Core.
How do you configure EF Core to use SQL Server in Startup.cs?, UseSql(), UseSQLDatabase(), UseSqlServer(), AddSQLServer(), C, UseSqlServer() is the method used to configure EF Core with SQL Server.
Which EF Core command is used to create a new database migration?, ef migrate, dotnet ef dbupdate, dotnet ef migrations add, ef-core add-migration, C, The command 'dotnet ef migrations add' is used to create a new migration.
What command applies pending migrations to the database?, dotnet ef database update, dotnet ef migrations run, ef-core update-db, update-database, A, 'dotnet ef database update' is used to apply migrations to the database.
What is Fluent API in EF Core used for?, Writing LINQ queries, Handling exceptions, Configuring entity mappings, Generating migrations, C, Fluent API is used to configure model behavior and relationships in EF Core.
What is the method used to apply configuration settings inside DbContext?, OnModelCreating(), ConfigureModel(), EntityConfig(), CreateModel(), A, OnModelCreating() is used in DbContext to configure entity relationships and properties.
Which method is used to fetch all rows from a table using EF Core asynchronously?, ToList(), GetAllAsync(), ToListAsync(), ReadAll(), C, ToListAsync() is the asynchronous method used to retrieve all records in EF Core.
Which of the following supports eager loading in EF Core?, Load(), Include(), LoadAsync(), Read(), B, Include() is used to perform eager loading in EF Core to load related data.
Which keyword is used in LINQ to filter data?, filter, select, where, get, C, The 'where' keyword in LINQ is used to filter results based on a condition.
What is the purpose of AsNoTracking() in EF Core?,Prevents caching,Increases performance for read-only data,Deletes tracking history,Refreshes the context,B,AsNoTracking() improves performance for read-only queries by disabling change tracking.
Which attribute is used to define the primary key explicitly in a model class?,[Column],[Index],[Key],[Primary],C,[Key] attribute marks a property as the primary key in the model class.
Which method is used to save data to the database?,Save(),SaveContext(),SaveChanges(),Submit(),C,SaveChanges() commits changes in the DbContext to the database.
How can you perform lazy loading in EF Core?,Using eager loading,Using virtual navigation properties,By disabling tracking,By enabling eager evaluation,B,EF Core supports lazy loading using virtual navigation properties and proxies.
What happens if you call SaveChanges() without making any changes in context?,Exception is thrown,Nothing happens,Warning is logged,The context is disposed,B,If no changes are made, SaveChanges() simply returns 0 and does nothing.
Which package is required for EF Core SQL Server integration?,Microsoft.EntityFramework.Sql,Microsoft.EFCore.Sql,Microsoft.EntityFrameworkCore.SqlServer,System.Data.SqlServer,C,Microsoft.EntityFrameworkCore.SqlServer is the required NuGet package for SQL Server support in EF Core.
What does .HasKey() do in Fluent API?,Sets a foreign key,Specifies a column type,Specifies a primary key,Configures an index,C,.HasKey() specifies the primary key of an entity in Fluent API.
How do you define a one-to-many relationship in EF Core?,Using [ForeignKey] only,Using HasOne().WithMany(),Using AddRelation(),Using Join(),B,HasOne().WithMany() is used to define a one-to-many relationship in Fluent API.
Which lifecycle method is called when a model is being initialized?,OnCreate(),OnConfiguring(),OnModelCreating(),Configure(),C,OnModelCreating() is called to configure the model's schema when it's initialized.
What is the use of DbContextOptions in EF Core?,To log SQL queries,To configure the database provider and connection string,To build tables,To write LINQ queries,B,DbContextOptions is used to pass configuration settings like provider and connection string to the DbContext.
