"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is a self-hosted integration runtime in ADF?","A managed Azure VM","A runtime hosted on your network or server","A cloud-only execution environment","An Azure VM with SQL Server","B","Self-hosted IR allows ADF to connect securely to on-premises data sources."
"What can triggers in ADF be based on?","Only HTTP events","Only manual input","Schedules, tumbling windows, and storage events","Code commits","C","ADF supports schedule-based, event-based, and tumbling window triggers."
"What is the benefit of Git integration in ADF?","Improves query performance","Allows collaborative development and version control","Speeds up copy activity","Encrypts secrets","B","ADF Git integration enables source control and team collaboration."
"What is tumbling window trigger in ADF?","Runs pipelines based on API calls","A non-repeatable trigger","A periodic trigger that slices time into windows","A high-availability trigger","C","Tumbling window triggers execute pipelines at fixed intervals and guarantee each time window is processed once."
"What is the debug mode in ADF used for?","Deploying pipelines","Publishing changes","Testing pipeline logic without publishing","Restoring backups","C","Debug mode allows running pipelines for testing purposes without saving changes."
"What is the purpose of staging in data flows?","To permanently delete data","To store files in a VM","To temporarily store data for transformation","To manage permissions","C","Staging temporarily stores intermediate data during transformations in mapping data flows."
"What does Git branch in ADF represent?","A backup plan","A link to storage account","An isolated working version of your data factory","An integration runtime","C","A Git branch is a version of the data factory that allows users to develop without affecting others."
"How do you manage pipeline versions in ADF with Git?","Using Azure CLI","Using Key Vault","Through Git branches and commits","Using Azure Monitor","C","Git integration lets you manage pipeline versions through branches and commits."
"What is required to link ADF to GitHub?","Azure Active Directory","A GitHub PAT (Personal Access Token)","Azure API Gateway","Azure DNS","B","You must use a PAT to authenticate ADF with GitHub."
"What activity is used to run notebooks from ADF?","Copy activity","Databricks notebook activity","Azure SQL activity","Monitor activity","B","Databricks notebook activity lets ADF run notebooks in Azure Databricks from within pipelines."
"What is the benefit of parameterizing pipelines?","Improves runtime speed","Avoids JSON use","Increases resource cost","Makes pipelines reusable with different inputs","D","Parameters allow pipelines to be reused across different datasets or configurations."
"Which activity can execute a stored procedure in ADF?","Stored Procedure Activity","Lookup Activity","Web Activity","ForEach Activity","A","Stored Procedure Activity runs stored procedures in supported data stores such as Azure SQL."
"What is the role of ForEach activity in ADF?","Iterates over a list of items","Sorts rows","Creates datasets","Runs pipeline triggers","A","The ForEach activity enables looping over items like datasets, arrays, etc."
"What activity helps retrieve configuration values in ADF?","Lookup","Copy Data","Trigger","Sink","A","Lookup activity can retrieve values from tables or files for configuration use."
"Which integration runtime must be used for Git integration?","Azure IR","GitHub IR","Self-hosted IR","No integration runtime required","D","Git integration is handled at the authoring level and does not require a runtime."
"What is a conditional split in data flow?","An error handler","A loop trigger","A transformation that routes rows to different outputs","A log file","C","Conditional split routes rows based on defined expressions or conditions."
"What happens when you publish changes in Git mode?","They are saved locally","They are deleted","They are committed to Git and merged to collaboration branch","They go to Azure DNS","C","Published changes are committed to the collaboration branch in Git."
"What is required to schedule a pipeline execution?","ADF restart","Integration runtime manual trigger","A configured trigger (schedule or event)","Blob storage access","C","Triggers must be configured to automate pipeline execution."
"Which ADF activity can manage JSON files?","Copy activity","Delete activity","Get Metadata","Data Flow - Flatten or Parse","D","Data Flow activities like Flatten or Parse are used to handle JSON in complex structures."
"How do you manage secrets securely in ADF pipelines?","Store in variables","Add to GitHub repo","Use Azure Key Vault linked services","Hard-code them in datasets","C","Azure Key Vault integration allows secure access to secrets within ADF pipelines."
