"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which file format is commonly used by Delta Lake?","CSV","Parquet","Avro","ORC","B","Delta Lake is built on top of Parquet format and adds ACID transactions and versioning."
"Which command in Spark SQL shows all available databases?","SHOW TABLES","LIST DATABASES","SHOW DATABASES","DESCRIBE DATABASE","C","SHOW DATABASES lists all databases present in the Spark catalog."
"What does the Delta Lake transaction log store?","Only metadata","Only data snapshots","All changes and schema updates to Delta tables","Only audit logs","C","The Delta transaction log maintains a record of all changes including inserts, updates, deletes, and schema evolution."
"Which Spark SQL clause is used to remove duplicate rows?","DISTINCT","UNIQUE","FILTER","REMOVE DUPLICATE","A","DISTINCT removes duplicate rows from the result set in Spark SQL."
"Which feature in Delta Lake supports time travel?","CHECKPOINT","VERSIONED TABLES","DATA RETENTION","TRANSACTION LOG","D","Delta Lake supports time travel through its transaction log, which stores historical versions of data."
"Which clause is used to change the schema of a Delta table?","ALTER TABLE","MODIFY SCHEMA","CHANGE FORMAT","UPDATE COLUMNS","A","ALTER TABLE is the standard SQL clause used to change a table's schema in Delta Lake."
"Which format supports schema evolution and ACID properties?","CSV","Delta","Parquet","JSON","B","Delta format extends Parquet with ACID transactions and schema evolution."
"Which command in Spark SQL is used to filter records?","WHERE","FILTER BY","SELECT ONLY","CONDITION","A","WHERE clause is used to filter records in Spark SQL queries."
"How do you enable schema enforcement in Delta Lake?","Use enforceSchema=True","Set option schemaCheck","It is always enabled by default","Call delta.enforce()","C","Delta Lake enforces schema automatically to prevent corrupt writes."
"Which command can be used to roll back a Delta table to a previous state?","RESTORE TABLE","UPDATE VERSION","SET VERSION","TIME TRAVEL","D","Time travel in Delta Lake lets you query older versions of data using version number or timestamp."
"Which clause is used to change the schema of a Delta table? (alt 10)","ALTER TABLE","MODIFY SCHEMA","CHANGE FORMAT","UPDATE COLUMNS","A","ALTER TABLE is the standard SQL clause used to change a table's schema in Delta Lake."
"Which format supports schema evolution and ACID properties? (alt 11)","CSV","Delta","Parquet","JSON","B","Delta format extends Parquet with ACID transactions and schema evolution."
"Which command in Spark SQL is used to filter records? (alt 12)","WHERE","FILTER BY","SELECT ONLY","CONDITION","A","WHERE clause is used to filter records in Spark SQL queries."
"How do you enable schema enforcement in Delta Lake? (alt 13)","Use enforceSchema=True","Set option schemaCheck","It is always enabled by default","Call delta.enforce()","C","Delta Lake enforces schema automatically to prevent corrupt writes."
"Which command can be used to roll back a Delta table to a previous state? (alt 14)","RESTORE TABLE","UPDATE VERSION","SET VERSION","TIME TRAVEL","D","Time travel in Delta Lake lets you query older versions of data using version number or timestamp."
"Which clause is used to change the schema of a Delta table? (alt 15)","ALTER TABLE","MODIFY SCHEMA","CHANGE FORMAT","UPDATE COLUMNS","A","ALTER TABLE is the standard SQL clause used to change a table's schema in Delta Lake."
"Which format supports schema evolution and ACID properties? (alt 16)","CSV","Delta","Parquet","JSON","B","Delta format extends Parquet with ACID transactions and schema evolution."
"Which command in Spark SQL is used to filter records? (alt 17)","WHERE","FILTER BY","SELECT ONLY","CONDITION","A","WHERE clause is used to filter records in Spark SQL queries."
"How do you enable schema enforcement in Delta Lake? (alt 18)","Use enforceSchema=True","Set option schemaCheck","It is always enabled by default","Call delta.enforce()","C","Delta Lake enforces schema automatically to prevent corrupt writes."
"Which command can be used to roll back a Delta table to a previous state? (alt 19)","RESTORE TABLE","UPDATE VERSION","SET VERSION","TIME TRAVEL","D","Time travel in Delta Lake lets you query older versions of data using version number or timestamp."
"Which clause is used to change the schema of a Delta table? (alt 20)","ALTER TABLE","MODIFY SCHEMA","CHANGE FORMAT","UPDATE COLUMNS","A","ALTER TABLE is the standard SQL clause used to change a table's schema in Delta Lake."
