"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does ETL stand for in data warehousing?","Extract, Transfer, Load","Edit, Transform, Load","Extract, Transform, Load","Evaluate, Transform, Launch","C","ETL stands for Extract, Transform, Load — the three key steps in preparing data for analysis."
"Which component of a data warehouse stores historical business metrics?","Data Lake","Staging Area","Fact Table","Dimension Table","C","Fact tables store quantitative data for analysis and typically represent business metrics over time."
"Which of the following best describes a dimension table?","Stores numerical values only","Contains foreign keys only","Provides descriptive context to facts","Holds ETL logs","C","Dimension tables provide context to the data in fact tables, such as time, geography, or product info."
"Which of the following is a key difference between OLAP and OLTP systems?","OLTP is used for analytics; OLAP for transactions","OLAP is used for reporting and analysis; OLTP for transactions","OLTP uses star schema; OLAP uses ER model","OLTP stores unstructured data; OLAP stores structured data","B","OLAP systems support complex queries and analytics, while OLTP systems support day-to-day transactions."
"In a star schema, how are dimension tables related to the fact table?","Through many-to-many relationships","Through stored procedures","Via foreign key references","They are embedded in the same table","C","In a star schema, the fact table contains foreign keys referencing each dimension table."
"What does a data staging area typically store?","Production queries","Structured reports","Raw, unprocessed data","Visualizations","C","The staging area holds raw data temporarily before it is cleaned and transformed for loading into the warehouse."
"Which tool is primarily used for ETL operations?","Power BI","SSMS","Informatica","Tableau","C","Informatica is a well-known ETL tool for extracting, transforming, and loading data."
"What is the main purpose of a slowly changing dimension (SCD)?","To store only real-time data","To manage data that changes frequently","To track historical changes in dimensional data","To delete outdated facts","C","SCD techniques manage dimensional data that changes slowly over time."
"What is an example of a fact in a sales data warehouse?","Customer Name","Product Category","Store Location","Sales Revenue","D","Facts are numeric measures; 'Sales Revenue' is a typical example."
"What does OLAP stand for?","Online Linear Analytical Process","Operational Lineage Access Protocol","Online Analytical Processing","Offline Application Processing","C","OLAP stands for Online Analytical Processing, used for complex analytical queries."
"Which schema type has a centralized fact table and normalized dimensions?","Star Schema","Snowflake Schema","Galaxy Schema","Flat Schema","B","Snowflake schema normalizes dimension tables, reducing data redundancy."
"What is the primary benefit of a star schema?","Data redundancy","Complex joins","Simplified queries and fast access","Requires less storage","C","Star schema supports fast querying and easy joins between facts and dimensions."
"Which layer in ETL handles filtering and deduplication of data?","Load Layer","Transform Layer","Extract Layer","Visualization Layer","B","Transformation handles business logic, including filtering, deduplication, and data formatting."
"In data warehousing, what is a surrogate key?","A primary key copied from source","A natural key","A generated unique identifier","A key stored in the staging area","C","Surrogate keys are unique identifiers used in place of natural keys, often auto-incremented."
"What is a conformed dimension?","A dimension that exists only in one schema","A dimension shared across multiple fact tables","A lookup table","A flattened table","B","Conformed dimensions can be reused across fact tables and subject areas for consistency."
"What does data granularity refer to?","Format of the data","Size of the database","Level of detail stored in the data warehouse","Indexing method","C","Granularity indicates the level of detail — more granularity means more detailed data."
"Which of the following is NOT a typical ETL tool?","Talend","Apache Airflow","SSIS","Adobe Illustrator","D","Adobe Illustrator is not related to data warehousing or ETL."
"Which phase of ETL is responsible for changing date formats and standardizing codes?","Extract","Load","Transform","Query","C","The Transform phase modifies and standardizes data to match the warehouse schema."
"What is a factless fact table?","Table with no numeric values","Table that holds only nulls","Table with only dimension keys and no measures","A dummy fact table","C","Factless fact tables capture relationships between dimensions without measures."
"What does the Load step in ETL involve?","Transferring data into the data warehouse","Extracting data from source","Cleaning data","Analyzing performance","A","Load is the process of importing transformed data into the target warehouse."
"Which of the following is a batch-based ETL tool?","Apache Kafka","Apache Nifi","SSIS","GraphQL","C","SSIS (SQL Server Integration Services) is a Microsoft tool used for batch ETL processing."
"What is a data mart?","A database engine","A real-time dashboard","A subset of a data warehouse focused on a single subject area","A transaction log","C","A data mart is a focused, subject-specific slice of a data warehouse."
"Which of these is an example of a dimension?","Invoice Total","Shipping Date","Order ID","Customer Name","D","Customer Name is descriptive information — typically part of a dimension table."
"Which tool is best suited for managing workflows in data pipelines?","Apache Airflow","Excel","PowerPoint","MS Paint","A","Apache Airflow is used to author, schedule, and monitor workflows or data pipelines."
"What is the purpose of partitioning a fact table?","Delete old rows","Reduce dimension size","Improve query performance","Store ETL metadata","C","Partitioning helps with query performance and data management in large fact tables."
"What does a data pipeline typically include?","Only source data","A sequence of processes moving data from source to destination","Only a database","A frontend interface","B","Data pipelines involve multiple steps including extraction, transformation, and loading of data."
"What is a dimension hierarchy?","A fact aggregation","A sequence of transformations","A structure for organizing dimension values","A load balancing method","C","Hierarchies define levels within dimensions, like Year > Quarter > Month > Day."
"Which database design is more normalized for dimension tables?","Star Schema","Flat file","Snowflake Schema","Unstructured Schema","C","Snowflake schema uses normalization for dimension tables to reduce redundancy."
"What does CDC stand for in ETL?","Code Data Change","Change Data Capture","Current Date Calendar","Compressed Data Copy","B","CDC refers to identifying and capturing changes in source data."
