"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Data Factory (ADF)?","A storage service","A service for building web apps","A cloud-based ETL and data integration service","A messaging queue system","C","Azure Data Factory is a cloud-based ETL and data integration service that orchestrates and automates data movement and transformation."
"What is a pipeline in ADF?","A data type","A container for activities","A SQL database","A network rule","B","A pipeline is a logical grouping of activities that together perform a task in Azure Data Factory."
"What is a dataset in ADF?","A blob storage container","Metadata that points to data used in activities","A SQL table","A job scheduler","B","Datasets represent data structures within the data stores that ADF uses as inputs and outputs."
"What activity is used to move data from source to destination?","Transform","Copy Data","Publish","Monitor","B","The Copy Data activity copies data from a source data store to a destination."
"What are linked services in ADF?","A log viewer","Data transformation activities","Connection information to data sources and sinks","Azure DevOps tools","C","Linked services are connection strings and credentials for connecting to external data sources."
"What is the role of triggers in ADF?","Build custom functions","Track user access","Initiate pipeline runs","Monitor Azure VMs","C","Triggers in ADF start pipelines based on a schedule or event."
"What transformation allows row filtering in ADF?","Union","Filter","Aggregate","Sink","B","The Filter transformation allows you to pass through only rows that meet a condition."
"What is a mapping data flow in ADF?","A SQL report","A visualization tool","A data transformation feature for designing flows visually","A copy log file","C","Mapping data flows provide a visual way to transform data at scale using ADF."
"Which integration runtime type is used by default in ADF?","Azure-SSIS","Self-hosted","Azure","Hybrid","C","Azure integration runtime is the default runtime used for cloud data movement and transformations."
"How can you author pipelines in ADF?","Using Excel","Using Azure Portal and JSON editor","Only via Power BI","Using Visual Studio Code only","B","Pipelines can be authored using a drag-and-drop interface in Azure Portal or by editing JSON."
"What does the sink refer to in ADF data flow?","An error log","The output or destination of data","The input data","The transformation name","B","Sink refers to the target/destination in a data flow or Copy Data activity."
"How do you monitor pipeline execution in ADF?","Through SQL queries","Using Azure Policy","Via Monitor tab in ADF Studio","Using Logic Apps","C","ADF provides built-in monitoring tools under the Monitor tab to review pipeline runs and failures."
"What happens when you publish in ADF Studio?","Data is copied to another region","Monitoring is disabled","Changes are committed to the data factory","Linked services are deleted","C","Publishing commits the draft pipeline changes into the live environment."
"What is the main benefit of using ADF?","Running Power BI dashboards","Encrypting databases","Orchestrating and automating data workflows","Hosting web APIs","C","ADF is used to design and automate data movement and transformation pipelines."
"Which ADF component connects to on-premise data sources?","Azure Runtime","Linked Dataset","Self-hosted Integration Runtime","Azure Storage Gateway","C","The self-hosted IR allows secure communication between ADF and on-premises data sources."
"What file format is supported by Copy Activity?",".exe",".dll",".csv",".appx","C","ADF Copy Activity supports commonly used data formats like .csv, .json, and .parquet."
"Which tool can be used to view logs and alerts from ADF?","Azure Log Analytics","Excel","Key Vault","PowerShell","A","Azure Log Analytics can integrate with ADF to collect logs and metrics for monitoring and troubleshooting."
"What command can schedule a pipeline run in ADF?","Trigger now","ScheduleActivity()","PipelineTimer","ScheduleRun()","A","The 'Trigger Now' feature in the ADF UI initiates a manual run of the pipeline."
"What format is used to define ADF pipelines programmatically?","XML","YAML","JSON","CSV","C","ADF pipelines are defined in JSON format when working programmatically."
"What does the debug feature in ADF help with?","Data backup","Running pipelines in production","Testing pipeline steps before publishing","Resetting linked services","C","Debugging lets you test pipelines and data flows before finalizing and publishing them."
